comparison,input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,significant
Microglia_3d_HI_vs_Control,Creg1,Creg1,433375,ENSMUSG00000040713,cellular repressor of E1A-stimulated genes 1,1702.8052360666209,1.5735409032017227,0.09770733566856508,16.104634236874094,2.3669349286754156e-58,7.2035644000028865e-56,Up,TRUE
Microglia_3d_HI_vs_Control,Ppp1r15a,Ppp1r15a,17872,ENSMUSG00000040435,"protein phosphatase 1, regulatory subunit 15A",3123.5527359616817,2.7688854953990183,0.17206943963881627,16.09167497268004,2.9183401038347177e-58,8.670249479916572e-56,Up,TRUE
Microglia_3d_HI_vs_Control,Grn,Grn,14824,ENSMUSG00000034708,granulin,14203.57840595774,1.4916824931912225,0.09378223115653042,15.9058115252289,5.775009669396787e-57,1.675827224528677e-54,Up,TRUE
Microglia_3d_HI_vs_Control,Nr4a1,Nr4a1,15370,ENSMUSG00000023034,"nuclear receptor subfamily 4, group A, member 1",2510.1457532306044,4.364284570185334,0.27514926637903303,15.861516287574961,1.1703379517416202e-56,3.318972036779985e-54,Up,TRUE
Microglia_3d_HI_vs_Control,Dusp2,Dusp2,13537,ENSMUSG00000027368,dual specificity phosphatase 2,2468.2996479528942,2.9459163098826173,0.1891767601272671,15.572294968476974,1.1230440553021363e-54,3.1140763826800127e-52,Up,TRUE
Microglia_3d_HI_vs_Control,Atf3,Atf3,11910,ENSMUSG00000026628,activating transcription factor 3,3070.396787012499,2.604768669437605,0.16808866689175264,15.496396738722718,3.668997337073897e-54,9.952554080871323e-52,Up,TRUE
Microglia_3d_HI_vs_Control,Rap2b,Rap2b,74012,ENSMUSG00000036894,"RAP2B, member of RAS oncogene family",532.1230170191443,2.2451381467530016,0.14506377651547903,15.476904025819527,4.9681306574330954e-54,1.3189858370946843e-51,Up,TRUE
Microglia_3d_HI_vs_Control,Scarb2,Scarb2,12492,ENSMUSG00000029426,"scavenger receptor class B, member 2",721.9700553250275,2.020216877110699,0.13199123751418315,15.305689340882317,7.005578790242668e-53,1.8211585863468333e-50,Up,TRUE
Microglia_3d_HI_vs_Control,Dgkz,Dgkz,104418,ENSMUSG00000040479,diacylglycerol kinase zeta,669.1229320068369,2.1096696930107157,0.13847167653133413,15.235387812563445,2.059017625994187e-52,5.243351415746013e-50,Up,TRUE
Microglia_3d_HI_vs_Control,Csf2ra,Csf2ra,12982,ENSMUSG00000059326,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",714.5776079121254,2.099749394650189,0.13823396108663735,15.189822950484526,4.130337480542896e-52,1.0307670216442852e-49,Up,TRUE
Microglia_3d_HI_vs_Control,Apoc2,Apoc2,11813,ENSMUSG00000002992,apolipoprotein C2,146.48545004216294,7.522873430978445,0.49728358883603824,15.12793424087608,1.0596994732568088e-51,2.592731377901659e-49,Up,TRUE
Microglia_3d_HI_vs_Control,H2-K1,H2-K1,14972,ENSMUSG00000061232,"histocompatibility 2, K1, K region",1824.6808220088642,2.4605754861754217,0.16314627135400456,15.082020972678668,2.126585783915901e-51,5.102987963788964e-49,Up,TRUE
Microglia_3d_HI_vs_Control,Gusb,Gusb,110006,ENSMUSG00000025534,"glucuronidase, beta",2544.8937050358986,1.6699143291431577,0.11079588791432574,15.07198832536492,2.4754934323072076e-51,5.8281522732696866e-49,Up,TRUE
Microglia_3d_HI_vs_Control,Cd164,Cd164,53599,ENSMUSG00000019818,CD164 antigen,2065.7520205334927,-1.4507820730379666,0.0974218540621091,-14.891751825140314,3.72870146834731e-50,8.616062392969951e-48,Down,TRUE
Microglia_3d_HI_vs_Control,Tmem86a,Tmem86a,67893,ENSMUSG00000010307,transmembrane protein 86A,1833.368902835498,1.6779421811061206,0.11392128312103694,14.728961394539176,4.20112788657367e-49,9.531213412484775e-47,Up,TRUE
Microglia_3d_HI_vs_Control,Hcar2,Hcar2,80885,ENSMUSG00000045502,hydroxycarboxylic acid receptor 2,182.16328829106695,7.868590964461277,0.5401655275275141,14.566999490837517,4.5546060851107725e-48,1.014863834464504e-45,Up,TRUE
Microglia_3d_HI_vs_Control,Tnf,Tnf,21926,ENSMUSG00000024401,tumor necrosis factor,4047.102108008567,4.277836558894423,0.2944834227368955,14.526578505291388,8.2226095481368e-48,1.800030209502649e-45,Up,TRUE
Microglia_3d_HI_vs_Control,Ddah2,Ddah2,51793,ENSMUSG00000007039,"DDAH family member 2, ADMA independent",413.4867334612666,-1.8987673460763987,0.13199254124072218,-14.385413965274829,6.389464646072526e-47,1.374616204374017e-44,Down,TRUE
Microglia_3d_HI_vs_Control,Ccni,Ccni,12453,ENSMUSG00000063015,cyclin I,613.3697650778728,-2.3229510609317447,0.16153622036115653,-14.380372746980084,6.872342212126551e-47,1.453442137676527e-44,Down,TRUE
Microglia_3d_HI_vs_Control,Srgn,Srgn,19073,ENSMUSG00000020077,serglycin,572.1522665292648,3.5333625189802786,0.24580988068749277,14.374371400767139,7.494744493166422e-47,1.5586570297621768e-44,Up,TRUE
Microglia_3d_HI_vs_Control,Gpr84,Gpr84,80910,ENSMUSG00000063234,G protein-coupled receptor 84,2868.8661529152655,2.590089570599474,0.180266638070256,14.368102707890014,8.204829825206167e-47,1.6783584681790584e-44,Up,TRUE
Microglia_3d_HI_vs_Control,Clec7a,Clec7a,56644,ENSMUSG00000079293,"C-type lectin domain family 7, member a",289.1092938592862,3.8074458847613615,0.2682522554443296,14.193527947993417,1.0047414348494004e-45,2.0221231651694867e-43,Up,TRUE
Microglia_3d_HI_vs_Control,Gadd45b,Gadd45b,17873,ENSMUSG00000015312,growth arrest and DNA-damage-inducible 45 beta,1590.0093510962004,3.735000140048536,0.26319827721308214,14.1908229020235,1.044261012880211e-45,2.0682998283681387e-43,Up,TRUE
Microglia_3d_HI_vs_Control,Gng2,Gng2,14702,ENSMUSG00000043004,"guanine nucleotide binding protein (G protein), gamma 2",543.8906495050048,-1.7245101288005964,0.12160519742765354,-14.181220583327104,1.1974550254320762e-45,2.334663094897101e-43,Down,TRUE
Microglia_3d_HI_vs_Control,Lamp1,Lamp1,16783,ENSMUSG00000031447,lysosomal-associated membrane protein 1,7002.900389676257,0.9866316750622062,0.06981902418709991,14.131272766262763,2.4369958539229166e-45,4.67828219465387e-43,Up,TRUE
Microglia_3d_HI_vs_Control,Igfbp4,Igfbp4,16010,ENSMUSG00000017493,insulin-like growth factor binding protein 4,1760.8709995267293,-2.307924749321526,0.16445746556171842,-14.033566317215296,9.714107622766615e-45,1.8365550744982096e-42,Down,TRUE
Microglia_3d_HI_vs_Control,Rplp0,Rplp0,11837,ENSMUSG00000067274,ribosomal protein lateral stalk subunit P0,3223.463358278136,-1.3650545564729062,0.09750900734235951,-13.9992662593736,1.5748827958302792e-44,2.9330429143836154e-42,Down,TRUE
Microglia_3d_HI_vs_Control,Irf1,Irf1,16362,ENSMUSG00000018899,interferon regulatory factor 1,1093.961195044238,2.691596000773186,0.19272032897367192,13.966331497601859,2.5018560648425007e-44,4.5909058789859886e-42,Up,TRUE
Microglia_3d_HI_vs_Control,Hexa,Hexa,15211,ENSMUSG00000025232,hexosaminidase A,5142.949411606784,1.0412790240052159,0.07474502678651475,13.931081020002791,4.101009888128809e-44,7.416290055662504e-42,Up,TRUE
Microglia_3d_HI_vs_Control,Socs3,Socs3,12702,ENSMUSG00000053113,suppressor of cytokine signaling 3,1033.0549364418468,2.955763757379885,0.21398284661886863,13.813087376318935,2.1252418702980664e-43,3.788395436797039e-41,Up,TRUE
Microglia_3d_HI_vs_Control,H2-D1,H2-D1,14964,ENSMUSG00000073411,"histocompatibility 2, D region locus 1",1107.7061460190132,1.8954203005118073,0.13864663591327378,13.670871190105402,1.515695965292041e-42,2.663782289424519e-40,Up,TRUE
Microglia_3d_HI_vs_Control,Ybx1,Ybx1,22608,ENSMUSG00000028639,Y box protein 1,656.4214067079814,-1.6973958857649252,0.12420259109391564,-13.666348429731562,1.612880964902839e-42,2.7952123166746695e-40,Down,TRUE
Microglia_3d_HI_vs_Control,Nfkbia,Nfkbia,18035,ENSMUSG00000021025,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha",9237.075744570924,1.964918011762043,0.1441329978684387,13.6326728842175,2.5602837144746075e-42,4.3763315327690624e-40,Up,TRUE
