comparison,input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,significant
Microglia_1d_HI_vs_Control,Fbxo5,Fbxo5,67141,ENSMUSG00000019773,F-box protein 5,67.930169274060475,-2.4666565590751004,0.6533732851958953,-3.7752638728342616,1.598383722369383e-4,0.001000589645613555,Down,TRUE
Microglia_1d_HI_vs_Control,Arg2,Arg2,11847,ENSMUSG00000021125,arginase type II,14.530811319290626,4.584101211909713,1.2142767150599911,3.7751701527795802,1.5989848032332713e-4,0.001000589645613555,Up,TRUE
Microglia_1d_HI_vs_Control,Fam69a,Fam69a,NA,NA,NA,40.399075308280686,-3.6472303340772756,0.9663639235942986,-3.7741789040631297,1.605355289878231e-4,0.0010040459575533928,Down,TRUE
Microglia_1d_HI_vs_Control,Tmem123,Tmem123,71929,ENSMUSG00000050912,transmembrane protein 123,489.4101919306245,0.698554776584375,0.18511841322831246,3.7735564193866824,1.6093680302882346e-4,0.0010060247834903036,Up,TRUE
Microglia_1d_HI_vs_Control,Atg7,Atg7,74244,ENSMUSG00000030314,autophagy related 7,219.9734712102977,1.1952028434762325,0.3168085043613377,3.7726349735644638,1.615325302082174e-4,0.0010092164196245613,Up,TRUE
Microglia_1d_HI_vs_Control,Mepce,Mepce,231803,ENSMUSG00000029726,methylphosphate capping enzyme,85.47385862901933,-2.2775720319739605,0.6037826049907306,-3.7721723235284768,1.6183242157760355e-4,0.0010104630266017857,Down,TRUE
Microglia_1d_HI_vs_Control,Atg3,Atg3,67841,ENSMUSG00000022663,autophagy related 3,448.8268859145872,0.8444637539720182,0.22387311177287042,3.7720642165762435,1.6190257235207487e-4,0.0010104630266017857,Up,TRUE
Microglia_1d_HI_vs_Control,Cept1,Cept1,99712,ENSMUSG00000040774,choline/ethanolaminephosphotransferase 1,241.02734320121172,0.8238230163775623,0.21847476194860177,3.7707926033642933,1.627298747713715e-4,0.0010150918293633131,Up,TRUE
Microglia_1d_HI_vs_Control,Cited2,Cited2,17684,ENSMUSG00000039910,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",710.5423056310374,-1.2737987465538403,0.33790804591462714,-3.7696608943004186,1.6346950027191609e-4,0.0010191691305748286,Down,TRUE
Microglia_1d_HI_vs_Control,Pld3,Pld3,18807,ENSMUSG00000003363,phospholipase D family member 3,1689.8287805638474,0.8034823893665234,0.21321119876483013,3.7684811774486415,1.6424386747830358e-4,0.0010234586316261063,Up,TRUE
Microglia_1d_HI_vs_Control,Sf3b6,Sf3b6,66055,ENSMUSG00000037361,"splicing factor 3B, subunit 6",358.8023816434347,0.6527236195878328,0.1732344897145266,3.767861819337807,1.6465179501532447e-4,0.0010254614159335921,Up,TRUE
Microglia_1d_HI_vs_Control,Mcm7,Mcm7,17220,ENSMUSG00000029730,minichromosome maintenance complex component 7,240.78591756460492,-0.9297695562678098,0.24682739616835658,-3.7668815159952116,1.652994006162246e-4,0.0010289540420711629,Down,TRUE
Microglia_1d_HI_vs_Control,Sephs1,Sephs1,109079,ENSMUSG00000026662,selenophosphate synthetase 1,225.06584439294087,-0.9420844513027219,0.2503057584600875,-3.763734630391821,1.67394519267118e-4,0.0010414487361437704,Down,TRUE
Microglia_1d_HI_vs_Control,Psme2,Psme2,19188,ENSMUSG00000079197,"proteasome (prosome, macropain) activator subunit 2 (PA28 beta)",189.76546138539217,1.2394606929922283,0.3293360361536863,3.7635137274009938,1.6754252546089497e-4,0.0010418226714388914,Up,TRUE
Microglia_1d_HI_vs_Control,4933439C10Rik,4933439C10Rik,74476,ENSMUSG00000072893,RIKEN cDNA 4933439C10 gene,16.50831847594612,-2.9489741327913186,0.7836659685866023,-3.763049884774255,1.6785370324331453e-4,0.0010429659554691767,Down,TRUE
Microglia_1d_HI_vs_Control,Rrp12,Rrp12,107094,ENSMUSG00000035049,ribosomal RNA processing 12 homolog,148.57134218847986,2.1058801202486026,0.5596313500600955,3.76297739578468,1.679023829763069e-4,0.0010429659554691767,Up,TRUE
Microglia_1d_HI_vs_Control,Sp3os,Sp3os,100503849,ENSMUSG00000063714,"trans-acting transcription factor 3, opposite strand",40.583476984693334,-1.6896610532725373,0.44916053642515746,-3.761819920156947,1.6868148309505797e-4,0.0010472566462245297,Down,TRUE
Microglia_1d_HI_vs_Control,Naa60,Naa60,74763,ENSMUSG00000005982,"N(alpha)-acetyltransferase 60, NatF catalytic subunit",532.080019702378,-0.751877642311855,0.19988310421372185,-3.761586779780655,1.6883882145655034e-4,0.0010476846659178193,Down,TRUE
Microglia_1d_HI_vs_Control,Ubxn7,Ubxn7,224111,ENSMUSG00000053774,UBX domain protein 7,82.07241574568668,-1.6543923450594054,0.44015969327235144,-3.7586184522255657,1.7085414870772703e-4,0.0010596354633615806,Down,TRUE
Microglia_1d_HI_vs_Control,Esyt1,Esyt1,23943,ENSMUSG00000025366,extended synaptotagmin-like protein 1,185.90140990440673,1.3063617892849662,0.3475940706497457,3.758297104559433,1.7107367788635582e-4,0.0010604420660612391,Up,TRUE
Microglia_1d_HI_vs_Control,Yars,Yars,NA,NA,NA,416.4621469725268,0.8026725042218944,0.21359699288909004,3.757882980303384,1.713569788195314e-4,0.0010616429236639238,Up,TRUE
Microglia_1d_HI_vs_Control,Trio,Trio,223435,ENSMUSG00000022263,triple functional domain (PTPRF interacting),113.45407923969394,-1.5062830785769596,0.4008906633302738,-3.7573413809740144,1.7172815095054417e-4,0.0010633866484147595,Down,TRUE
Microglia_1d_HI_vs_Control,Wdr44,Wdr44,72404,ENSMUSG00000036769,WD repeat domain 44,101.05598568590796,-1.6295449128570356,0.4337489408859994,-3.7568850532025224,1.720414711050308e-4,0.0010647705041967755,Down,TRUE
Microglia_1d_HI_vs_Control,Aimp2,Aimp2,231872,ENSMUSG00000029610,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2,287.6645010767142,0.9925237815557937,0.26420125427785957,3.7566959485815303,1.7217147012662257e-4,0.0010650189269001725,Up,TRUE
Microglia_1d_HI_vs_Control,Nuf2,Nuf2,66977,ENSMUSG00000026683,"NUF2, NDC80 kinetochore complex component",72.17222945617432,-2.5428469816227435,0.6771861686050443,-3.7550190767493503,1.7332827604349884e-4,0.0010711988696507873,Down,TRUE
Microglia_1d_HI_vs_Control,Dcaf12,Dcaf12,68970,ENSMUSG00000028436,DDB1 and CUL4 associated factor 12,542.9133423063795,-0.962836451490644,0.25641546866369735,-3.7549858302560355,1.733512851831092e-4,0.0010711988696507873,Down,TRUE
Microglia_1d_HI_vs_Control,Slc12a2,Slc12a2,20496,ENSMUSG00000024597,"solute carrier family 12, member 2",170.5073531413456,-1.9164749966389538,0.5104089968049309,-3.754782945903667,1.7349175908064064e-4,0.0010715082483708977,Down,TRUE
Microglia_1d_HI_vs_Control,Pag1,Pag1,94212,ENSMUSG00000027508,phosphoprotein associated with glycosphingolipid microdomains 1,212.3924185658456,-0.7764950081238632,0.20684155380973718,-3.7540571216077825,1.7399518536132888e-4,0.001074057779636703,Down,TRUE
Microglia_1d_HI_vs_Control,Sbf2,Sbf2,319934,ENSMUSG00000038371,SET binding factor 2,186.50071587561482,-1.7178476350022946,0.4577036781733134,-3.7531873063773302,1.746002923520671e-4,0.0010772319963335238,Down,TRUE
Microglia_1d_HI_vs_Control,Ubn1,Ubn1,170644,ENSMUSG00000039473,ubinuclein 1,235.85838824039686,-1.5015709821247603,0.40011925427007017,-3.7528086091833974,1.748643596782672e-4,0.001078299891210626,Down,TRUE
Microglia_1d_HI_vs_Control,Epor,Epor,13857,ENSMUSG00000006235,erythropoietin receptor,100.42789726407416,-1.563049367065638,0.41659900966937297,-3.7519277069480474,1.7548007061947505e-4,0.001081533955788881,Down,TRUE
Microglia_1d_HI_vs_Control,Sertad1,Sertad1,55942,ENSMUSG00000008384,SERTA domain containing 1,400.8804164877893,-0.9528541477937418,0.25398139411728343,-3.751669098066818,1.7566121332437723e-4,0.0010820350532455174,Down,TRUE
Microglia_1d_HI_vs_Control,Prr13,Prr13,66151,ENSMUSG00000023048,proline rich 13,445.2799451136386,-0.8729670973153365,0.23269498080404646,-3.7515510403314893,1.7574396536429473e-4,0.0010820350532455174,Down,TRUE
Microglia_1d_HI_vs_Control,Ndc80,Ndc80,67052,ENSMUSG00000024056,NDC80 kinetochore complex component,80.58693525160044,-2.2315311946831495,0.5950062449280634,-3.7504332327687466,1.7652930644027173e-4,0.0010863059916563346,Down,TRUE
Microglia_1d_HI_vs_Control,Hs3st3b1,Hs3st3b1,54710,ENSMUSG00000070407,heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1,28.761688275377775,3.4533656419477925,0.9208592913411304,3.750155614891331,1.767248641374387e-4,0.0010869450387944596,Up,TRUE
Microglia_1d_HI_vs_Control,Emr1,Emr1,NA,NA,NA,2987.4815054415812,-0.9140229207163626,0.2439286445810035,-3.7470913770147036,1.7889693029390504e-4,0.0010997336192133623,Down,TRUE
Microglia_1d_HI_vs_Control,Nat10,Nat10,98956,ENSMUSG00000027185,N-acetyltransferase 10,118.33297616343805,1.2558341072624855,0.335336212820195,3.7449999709272532,1.8039379663165148e-4,0.0011083604342552273,Up,TRUE
Microglia_1d_HI_vs_Control,8030442B05Rik,8030442B05Rik,77543,ENSMUSG00000102674,RIKEN cDNA 8030442B05 gene,6.656812688922758,-4.968076717941601,1.3275876388000674,-3.7421836214383326,1.8242813369449262e-4,0.0011202788811125008,Down,TRUE
Microglia_1d_HI_vs_Control,Nlrp3,Nlrp3,216799,ENSMUSG00000032691,"NLR family, pyrin domain containing 3",681.5984124781819,1.4419529481305762,0.3853592916192819,3.7418403538979996,1.8267755595271457e-4,0.0011212296184109649,Up,TRUE
Microglia_1d_HI_vs_Control,Fkbp3,Fkbp3,30795,ENSMUSG00000020949,FK506 binding protein 3,377.5912194338202,0.9998633978946774,0.2673117562129986,3.7404392985169315,1.8369890789767264e-4,0.0011269148325068407,Up,TRUE
Microglia_1d_HI_vs_Control,Hnrnpab,Hnrnpab,15384,ENSMUSG00000020358,heterogeneous nuclear ribonucleoprotein A/B,1256.0187327975198,-0.9836346835238033,0.2630219825747262,-3.7397432484349347,1.8420831343674392e-4,0.0011294552151331035,Down,TRUE
