gene_symbol,n_groups,mean_log2FC
Sgpp1,5,1.2913478793204953
Banf1,5,0.07129433723872983
Map2k2,5,0.20892815943042234
Map1b,5,0.2907724507895454
Man1a2,5,0.029478049045437885
Magt1,5,-0.11897261491536326
Shoc2,5,0.017672476921750002
Sik3,5,-0.06045995555261883
Skp1,5,-0.09313261352933047
Yme1l1,5,-0.1938387275276474
Sipa1l1,5,-0.1647367688052497
Lsamp,5,0.05866396888548921
Lrrtm2,5,-0.3497196656549662
Sirt2,5,0.031328127668278596
Lrrc58,5,0.06882980672612053
Skil,5,-0.18045233986818102
Atp6v1g1,5,0.11038688946263481
Senp7,5,-0.19617179624283473
Mrpl54,5,0.25468746379300805
Atp1a3,5,-0.04459184061407791
Mpzl1,5,-0.2671838252821071
Kpna6,5,0.22584290901459492
Kpna1,5,-0.24411634004290558
Atp2b2,5,-0.15839297664359508
Sec31a,5,-0.01001167091075214
Sec24a,5,-0.05132737363134948
Klhl24,5,-0.09856923096063862
Btrc,5,0.27341136955878825
Selenom,5,0.21903364317164242
Bud23,5,0.12133179649617269
Bzw1,5,-0.12121137204020793
Klf3,5,-0.25585201044145695
Klf13,5,0.34280384801577235
Zc3h12c,5,0.2015788646518089
Wdr44,5,-0.22371287881607804
Slitrk2,5,-0.1930824050433471
Kpnb1,5,-0.09869617417757189
Brox,5,-0.1097943261517138
Senp6,5,-0.04642655259915214
Lamtor2,5,0.3072043597416115
Lifr,5,0.37096323684743676
Bnip3l,5,-0.2694731675670277
Atp6v0b,5,0.1027081440519275
Slc2a1,5,0.16683116411596577
Lemd3,5,-0.04083184253625371
Slc35a5,5,-0.09265768509130441
Larp4,5,0.0649074644012391
Mindy2,5,0.15146469213388356
Kras,5,0.11978374855728247
Zbtb33,5,-0.3148000297580956
Mkln1,5,0.04780126755132266
Mlf2,5,0.007611177276258921
Selenot,5,-0.1759303515838432
Mon2,5,0.0071913460819981
Morc3,5,-0.13134440848255421
Ksr2,5,0.20462004639776646
Klhl5,5,-0.17946577181189324
Herc2,5,0.09604843496137987
Snx14,5,-0.09176974917646472
Tmem229a,5,-0.26524007172369496
Fam199x,5,0.1278019680149058
Tmem170b,5,0.061008269220075746
Cpd,5,-0.2779711565821774
Cpeb2,5,-0.24792292727859913
Tmem178b,5,0.22731319975590591
Ube2g1,5,-0.20913298310495562
Fam13b,5,-0.1681060700910978
Ube2e3,5,-0.05429181220332374
Fam120a,5,-0.1322294835091173
Ube2d3,5,-0.3020147264499789
Cracdl,5,0.24712712795365305
Cox6c,5,-0.1509553870445737
Crbn,5,-0.2700863204187342
Creb1,5,-0.13438192997175452
Extl1,5,0.20128267672084044
Tmem256,5,0.32295455332302797
Evl,5,0.08425807359475188
Evi5,5,-0.09853310959020505
Crkl,5,0.023554540411941428
Errfi1,5,0.2979127330236419
Csde1,5,-0.1091434461884372
Ergic3,5,0.17875133911890373
Cox7a2,5,0.011304647895111352
Fance,5,1.176232894442584
Tmf1,5,0.08490042192614645
Ubl5,5,0.07719328734453527
Ubxn1,5,0.1391572901400804
Fto,5,0.0187545059972976
Cntnap2,5,0.17650393986108187
Fry,5,0.1971261786670704
Frs2,5,0.06590895219441174
Timm8b,5,0.040913594933236354
Frat1,5,0.2589454973556502
Fpgt,5,-0.20206692143506447
Foxo1,5,0.13928172476636247
Ubqln1,5,1.0606943765506565
Ube4b,5,0.06110918931658308
Fau,5,0.20315946944051647
Tlr3,5,-0.37538460742029084
Flot1,5,0.1723361028999633
Tm7sf2,5,6.16402380683918
Fkbp2,5,0.3130961108965597
Fis1,5,0.2016967279550064
Fem1c,5,-0.16014197097600888
Ube2q2,5,-0.17493365744164086
Cox14,5,0.05613986226564598
Fbf1,5,0.13246554963838594
Cox17,5,0.10657170057842225
Epm2aip1,5,-0.2654284337478592
Epha10,5,6.034555227489957
Timm13,5,0.23642453273265474
Dnajb9,5,-0.21295606666256348
Tram1,5,-0.19694705946969207
Dstn,5,-0.21060576810417203
Trappc3,5,0.06576724785483602
Trib2,5,-0.29819764005724847
Trim2,5,-0.10963526602922512
Dock5,5,6.744719909786491
Dazap1,5,0.09274806331059494
Dnm1l,5,-0.22370101722924504
Dbp,5,0.44624913432748464
Dcaf10,5,0.8049126862334252
Ttbk1,5,0.16826042859306722
Dusp26,5,0.23943963425662274
Dcp2,5,0.3228247530469329
Dctn1,5,0.23748315050257254
Dmap1,5,0.09931349678960266
Dctn4,5,-0.08366187975900592
Ddb1,5,0.1174173729416061
Dhx15,5,-0.18056599956734193
Trp53inp1,5,-0.010816927595820735
Dgcr6,5,0.23734840140411603
Denr,5,0.050732445493447555
Dennd4a,5,0.10578586834306569
Dusp11,5,-0.12551316548253605
Dusp4,5,-0.14175554920007105
Cstf2,5,-0.2545215961864567
Tomm22,5,0.02132564024815603
Elovl5,5,-0.23065249892291353
Tnks2,5,-0.15593909654876445
Tnpo1,5,-0.21499785786324704
Elmod3,5,-0.9791825570924313
Elavl1,5,-0.1967284800816714
Eif4g2,5,-0.1861273722950112
Eif4enif1,5,0.10165807377607179
Tob2,5,0.2939277995579315
Ctsf,5,0.19456486830006364
Eif3g,5,0.27743339044784543
