symbol,group,log2FC
D430041D05Rik,Conjugate|brainstem,0.368765752527831
Agap1,Conjugate|brainstem,0.1933791450892552
Epb41l1,Conjugate|brainstem,0.2787946645247292
Smcr8,Conjugate|brainstem,0.3416549575225923
Map2,Conjugate|brainstem,0.3706807136387937
Ralgapb,Conjugate|brainstem,0.2267967115558235
Plxna4,Conjugate|brainstem,0.3569605125000649
Fry,Conjugate|brainstem,0.3445437257044344
Slc1a2,Conjugate|brainstem,0.36914584774109
Clpb,Conjugate|brainstem,0.1959077677890635
Pcnx3,Conjugate|brainstem,0.1532543233678425
Dmxl2,Conjugate|brainstem,0.3154046065233043
Sbno1,Conjugate|brainstem,0.1066626634171075
Lamc1,Conjugate|brainstem,0.2486119601459125
Ap2s1,Conjugate|brainstem,-0.2240600312066302
Prrc2b,Conjugate|brainstem,0.3857440933248199
Ankfy1,Conjugate|brainstem,0.1800437362204237
Hecw1,Conjugate|brainstem,0.3997959052942726
Megf8,Conjugate|brainstem,0.2016708214722939
Slc24a2,Conjugate|brainstem,0.4016151705858988
Vps13c,Conjugate|brainstem,0.2880706724081764
Sos1,Conjugate|brainstem,0.3346284604326314
Aak1,Conjugate|brainstem,0.2385186399504867
Ppp1r9a,Conjugate|brainstem,0.2865887228218595
Camta1,Conjugate|brainstem,0.2740471511948925
Brd4,Conjugate|brainstem,0.1560387515782047
D130017N08Rik,Conjugate|brainstem,0.2296216059410238
Atp6ap1,Conjugate|brainstem,-0.0782185321246694
Myo5a,Conjugate|brainstem,0.3834279234732377
Dock3,Conjugate|brainstem,0.320894932879801
Rb1cc1,Conjugate|brainstem,0.3201351800108392
Tmtc2,Conjugate|brainstem,0.3430381454565125
Klf13,Conjugate|brainstem,0.2521807797846839
Mtcl3,Conjugate|brainstem,0.3060319130257332
Cit,Conjugate|brainstem,0.2539277782005696
Arfgef2,Conjugate|brainstem,0.2735709018610043
Sik3,Conjugate|brainstem,0.2022148468383284
Kcnq2,Conjugate|brainstem,0.1783468653775549
Gm21955,Conjugate|brainstem,0.4428552546823885
Camsap1,Conjugate|brainstem,0.2450085660921177
Kif26b,Conjugate|brainstem,0.3746485445793783
Arhgap32,Conjugate|brainstem,0.2942935421907619
Ndufs3,Conjugate|brainstem,-0.2050398192495064
Tecpr2,Conjugate|brainstem,0.2133161066985078
Ncoa2,Conjugate|brainstem,0.3390169413118349
Smg7,Conjugate|brainstem,0.1650592425442117
Mbd5,Conjugate|brainstem,0.3295884615314441
Traf3,Conjugate|brainstem,0.21250543045071
Ssh1,Conjugate|brainstem,0.1709820905384606
Nf1,Conjugate|brainstem,0.2943176474125729
Mtln,Conjugate|brainstem,-0.2808852333549199
Dip2b,Conjugate|brainstem,0.2436226895930942
Zc3h4,Conjugate|brainstem,0.1849673535515101
Clpp,Conjugate|brainstem,-0.1912839440699585
Ubash3b,Conjugate|brainstem,0.200257314882093
Gm20716,Conjugate|brainstem,-0.3742104179460755
Gbf1,Conjugate|brainstem,0.211187835092362
Plin4,Conjugate|brainstem,0.6542065094799235
Herc2,Conjugate|brainstem,0.2742198868146264
Kansl1,Conjugate|brainstem,0.1913319790102393
Snx29,Conjugate|brainstem,0.3818616183129547
Dock4,Conjugate|brainstem,0.344497960482821
Clasp1,Conjugate|brainstem,0.2879049803664687
Dpy19l4,Conjugate|brainstem,0.2760020423496482
Itpr2,Conjugate|brainstem,0.2871843287757978
A330074K22Rik,Conjugate|brainstem,0.6834530676441549
Slc9a7,Conjugate|brainstem,0.8194176643192284
Fryl,Conjugate|brainstem,0.2621551536922012
Ctif,Conjugate|brainstem,0.3083741292762955
Hivep1,Conjugate|brainstem,0.3024489907058973
Atp5mg,Conjugate|brainstem,-0.2396545984867557
Zfp800,Conjugate|brainstem,0.4493835530806845
Cracd,Conjugate|brainstem,0.3563742443243459
Dlgap2,Conjugate|brainstem,0.471689358149077
Psmd13,Conjugate|brainstem,-0.1811128760485796
Gm7292,Conjugate|brainstem,0.8758331053079296
Ash1l,Conjugate|brainstem,0.3439786528835478
Stxbp5,Conjugate|brainstem,0.2557226347401744
Usp9x,Conjugate|brainstem,0.3674965908618555
Rnf214,Conjugate|brainstem,0.2044563349955457
Tjp1,Conjugate|brainstem,0.2079618468784865
Cox17,Conjugate|brainstem,-0.2640403168461904
Rtl8c,Conjugate|brainstem,-0.16864058694127
Dynll1,Conjugate|brainstem,-0.2117605482485515
Plce1,Conjugate|brainstem,0.2959981239582985
Araf,Conjugate|brainstem,-0.1086182921501688
Dock5,Conjugate|brainstem,0.2020427933415332
Rbm3,Conjugate|brainstem,-0.3567816603631281
Cnot1,Conjugate|brainstem,0.2524601366584734
Adcy9,Conjugate|brainstem,0.6143206119022347
