gene,accession,condition
Arglu1,Acc3,Obesity/GLP-1R
Arhgap20,Acc3,Obesity/GLP-1R
Arhgap23,Acc3,Obesity/GLP-1R
Arhgap29,Acc3,Obesity/GLP-1R
Arhgap32,Acc3,Obesity/GLP-1R
Arhgap33,Acc3,Obesity/GLP-1R
Arhgap35,Acc3,Obesity/GLP-1R
Arhgap42,Acc3,Obesity/GLP-1R
Arhgap5,Acc3,Obesity/GLP-1R
Arhgef1,Acc3,Obesity/GLP-1R
Arhgef12,Acc3,Obesity/GLP-1R
Arhgef26,Acc3,Obesity/GLP-1R
Arhgef28,Acc3,Obesity/GLP-1R
Arhgef3,Acc3,Obesity/GLP-1R
Arhgef37,Acc3,Obesity/GLP-1R
Arid1a,Acc3,Obesity/GLP-1R
Arid2,Acc3,Obesity/GLP-1R
Arid4a,Acc3,Obesity/GLP-1R
Arid5b,Acc3,Obesity/GLP-1R
Arih1,Acc3,Obesity/GLP-1R
Ark2n,Acc3,Obesity/GLP-1R
Arl10,Acc3,Obesity/GLP-1R
Arl14ep,Acc3,Obesity/GLP-1R
Arl15,Acc3,Obesity/GLP-1R
Arl4d,Acc3,Obesity/GLP-1R
Arl5a,Acc3,Obesity/GLP-1R
Arl5b,Acc3,Obesity/GLP-1R
Arl6,Acc3,Obesity/GLP-1R
Arl6ip1,Acc3,Obesity/GLP-1R
Arl6ip6,Acc3,Obesity/GLP-1R
Armc1,Acc3,Obesity/GLP-1R
Armcx2,Acc3,Obesity/GLP-1R
Armcx4,Acc3,Obesity/GLP-1R
Armcx6,Acc3,Obesity/GLP-1R
Arnt2,Acc3,Obesity/GLP-1R
Arrdc2,Acc3,Obesity/GLP-1R
Arsb,Acc3,Obesity/GLP-1R
Arsg,Acc3,Obesity/GLP-1R
Arsk,Acc3,Obesity/GLP-1R
Arxes1,Acc3,Obesity/GLP-1R
Arxes2,Acc3,Obesity/GLP-1R
Asah1,Acc3,Obesity/GLP-1R
Asah2,Acc3,Obesity/GLP-1R
Asap1,Acc3,Obesity/GLP-1R
Asb3,Acc3,Obesity/GLP-1R
Ascc3,Acc3,Obesity/GLP-1R
Asf1a,Acc3,Obesity/GLP-1R
Ash1l,Acc3,Obesity/GLP-1R
Aspa,Acc3,Obesity/GLP-1R
Asphd1,Acc3,Obesity/GLP-1R
Astn1,Acc3,Obesity/GLP-1R
Atad2,Acc3,Obesity/GLP-1R
Atad2b,Acc3,Obesity/GLP-1R
Atf1,Acc3,Obesity/GLP-1R
Atf2,Acc3,Obesity/GLP-1R
Atf6,Acc3,Obesity/GLP-1R
Atg16l2,Acc3,Obesity/GLP-1R
Atg2b,Acc3,Obesity/GLP-1R
Atg4c,Acc3,Obesity/GLP-1R
Atl2,Acc3,Obesity/GLP-1R
Atl3,Acc3,Obesity/GLP-1R
Atm,Acc3,Obesity/GLP-1R
Atosa,Acc3,Obesity/GLP-1R
Atox1,Acc3,Obesity/GLP-1R
Atp10a,Acc3,Obesity/GLP-1R
Atp10b,Acc3,Obesity/GLP-1R
Atp11b,Acc3,Obesity/GLP-1R
Atp11c,Acc3,Obesity/GLP-1R
Atp13a3,Acc3,Obesity/GLP-1R
Atp1a3,Acc3,Obesity/GLP-1R
Atp2a2,Acc3,Obesity/GLP-1R
Atp2b2,Acc3,Obesity/GLP-1R
Atp2b3,Acc3,Obesity/GLP-1R
Atp2b4,Acc3,Obesity/GLP-1R
Atp2c1,Acc3,Obesity/GLP-1R
Atp5f1e,Acc3,Obesity/GLP-1R
Atp5if1,Acc3,Obesity/GLP-1R
Atp5me,Acc3,Obesity/GLP-1R
Atp5mf,Acc3,Obesity/GLP-1R
Atp5mg,Acc3,Obesity/GLP-1R
Atp5mj,Acc3,Obesity/GLP-1R
Atp5pd,Acc3,Obesity/GLP-1R
Atp5pf,Acc3,Obesity/GLP-1R
Atp6ap2,Acc3,Obesity/GLP-1R
Atp6v1a,Acc3,Obesity/GLP-1R
Atp6v1f,Acc3,Obesity/GLP-1R
Atp8a1,Acc3,Obesity/GLP-1R
Atp8a2,Acc3,Obesity/GLP-1R
Atr,Acc3,Obesity/GLP-1R
Atrn,Acc3,Obesity/GLP-1R
Atrnl1,Acc3,Obesity/GLP-1R
Atxn1,Acc3,Obesity/GLP-1R
Atxn3,Acc3,Obesity/GLP-1R
Avl9,Acc3,Obesity/GLP-1R
Avpi1,Acc3,Obesity/GLP-1R
Azin1,Acc3,Obesity/GLP-1R
B230219D22Rik,Acc3,Obesity/GLP-1R
B3galt2,Acc3,Obesity/GLP-1R
B4galt4,Acc3,Obesity/GLP-1R
B9d1,Acc3,Obesity/GLP-1R
BC005537,Acc3,Obesity/GLP-1R
BC005624,Acc3,Obesity/GLP-1R
Babam1,Acc3,Obesity/GLP-1R
Bace1,Acc3,Obesity/GLP-1R
Bach1,Acc3,Obesity/GLP-1R
Bach2,Acc3,Obesity/GLP-1R
Bad,Acc3,Obesity/GLP-1R
Bag1,Acc3,Obesity/GLP-1R
Bag4,Acc3,Obesity/GLP-1R
Banp,Acc3,Obesity/GLP-1R
Bax,Acc3,Obesity/GLP-1R
Bbx,Acc3,Obesity/GLP-1R
Bcap29,Acc3,Obesity/GLP-1R
Bcas3,Acc3,Obesity/GLP-1R
Bckdha,Acc3,Obesity/GLP-1R
Bckdk,Acc3,Obesity/GLP-1R
Bcl2l1,Acc3,Obesity/GLP-1R
Bclaf3,Acc3,Obesity/GLP-1R
Bcorl1,Acc3,Obesity/GLP-1R
Bcr,Acc3,Obesity/GLP-1R
Bcs1l,Acc3,Obesity/GLP-1R
Bdnf,Acc3,Obesity/GLP-1R
Bdp1,Acc3,Obesity/GLP-1R
Bet1,Acc3,Obesity/GLP-1R
Bex1,Acc3,Obesity/GLP-1R
Bex2,Acc3,Obesity/GLP-1R
Bex3,Acc3,Obesity/GLP-1R
Bfsp2,Acc3,Obesity/GLP-1R
Bhlhe41,Acc3,Obesity/GLP-1R
Bicd1,Acc3,Obesity/GLP-1R
Birc6,Acc3,Obesity/GLP-1R
Bivm,Acc3,Obesity/GLP-1R
Bltp1,Acc3,Obesity/GLP-1R
Bltp3a,Acc3,Obesity/GLP-1R
Bmi1,Acc3,Obesity/GLP-1R
Bmp2k,Acc3,Obesity/GLP-1R
Bmpr1a,Acc3,Obesity/GLP-1R
Bmpr1b,Acc3,Obesity/GLP-1R
Bnip2,Acc3,Obesity/GLP-1R
Bnip3l,Acc3,Obesity/GLP-1R
Bod1l,Acc3,Obesity/GLP-1R
Bola1,Acc3,Obesity/GLP-1R
Bola3,Acc3,Obesity/GLP-1R
Bptf,Acc3,Obesity/GLP-1R
Brcc3,Acc3,Obesity/GLP-1R
Brd4,Acc3,Obesity/GLP-1R
Brdt,Acc3,Obesity/GLP-1R
Bri3bp,Acc3,Obesity/GLP-1R
Brinp3,Acc3,Obesity/GLP-1R
Bsg,Acc3,Obesity/GLP-1R
Bsn,Acc3,Obesity/GLP-1R
Bsx,Acc3,Obesity/GLP-1R
Btbd3,Acc3,Obesity/GLP-1R
Btbd7,Acc3,Obesity/GLP-1R
Btg2,Acc3,Obesity/GLP-1R
Btg3,Acc3,Obesity/GLP-1R
Btrc,Acc3,Obesity/GLP-1R
Bud13,Acc3,Obesity/GLP-1R
Bzw1,Acc3,Obesity/GLP-1R
C130021I20Rik,Acc3,Obesity/GLP-1R
C130074G19Rik,Acc3,Obesity/GLP-1R
C1d,Acc3,Obesity/GLP-1R
C1galt1,Acc3,Obesity/GLP-1R
C1qa,Acc3,Obesity/GLP-1R
C1qb,Acc3,Obesity/GLP-1R
C1qc,Acc3,Obesity/GLP-1R
C1ql3,Acc3,Obesity/GLP-1R
C1qtnf4,Acc3,Obesity/GLP-1R
C2cd2,Acc3,Obesity/GLP-1R
C2cd3,Acc3,Obesity/GLP-1R
C3,Acc3,Obesity/GLP-1R
Cabcoco1,Acc3,Obesity/GLP-1R
Cachd1,Acc3,Obesity/GLP-1R
Cacna1c,Acc3,Obesity/GLP-1R
Cacna1i,Acc3,Obesity/GLP-1R
Cacnb4,Acc3,Obesity/GLP-1R
Cacng8,Acc3,Obesity/GLP-1R
Cacul1,Acc3,Obesity/GLP-1R
Cacybp,Acc3,Obesity/GLP-1R
Cad,Acc3,Obesity/GLP-1R
Cadps,Acc3,Obesity/GLP-1R
Calb1,Acc3,Obesity/GLP-1R
Calcrl,Acc3,Obesity/GLP-1R
Cald1,Acc3,Obesity/GLP-1R
Calm3,Acc3,Obesity/GLP-1R
Caln1,Acc3,Obesity/GLP-1R
Caly,Acc3,Obesity/GLP-1R
Camk1d,Acc3,Obesity/GLP-1R
Camk1g,Acc3,Obesity/GLP-1R
Camk2d,Acc3,Obesity/GLP-1R
Camk4,Acc3,Obesity/GLP-1R
Camsap1,Acc3,Obesity/GLP-1R
Camsap2,Acc3,Obesity/GLP-1R
Camta1,Acc3,Obesity/GLP-1R
Camta2,Acc3,Obesity/GLP-1R
Cand1,Acc3,Obesity/GLP-1R
Caprin2,Acc3,Obesity/GLP-1R
Caps2,Acc3,Obesity/GLP-1R
Capza2,Acc3,Obesity/GLP-1R
Car11,Acc3,Obesity/GLP-1R
Car13,Acc3,Obesity/GLP-1R
Car2,Acc3,Obesity/GLP-1R
Carf,Acc3,Obesity/GLP-1R
Carm1,Acc3,Obesity/GLP-1R
Carmil1,Acc3,Obesity/GLP-1R
Carmil2,Acc3,Obesity/GLP-1R
Carmil3,Acc3,Obesity/GLP-1R
Casd1,Acc3,Obesity/GLP-1R
Caskin2,Acc3,Obesity/GLP-1R
Casq1,Acc3,Obesity/GLP-1R
Castor1,Acc3,Obesity/GLP-1R
Cav1,Acc3,Obesity/GLP-1R
Cav2,Acc3,Obesity/GLP-1R
Cavin1,Acc3,Obesity/GLP-1R
Cbfb,Acc3,Obesity/GLP-1R
Cbl,Acc3,Obesity/GLP-1R
Cblb,Acc3,Obesity/GLP-1R
Cbll1,Acc3,Obesity/GLP-1R
Cbx3,Acc3,Obesity/GLP-1R
Cc2d1a,Acc3,Obesity/GLP-1R
Ccdc106,Acc3,Obesity/GLP-1R
Ccdc107,Acc3,Obesity/GLP-1R
Ccdc117,Acc3,Obesity/GLP-1R
Ccdc12,Acc3,Obesity/GLP-1R
Ccdc124,Acc3,Obesity/GLP-1R
Ccdc126,Acc3,Obesity/GLP-1R
Ccdc159,Acc3,Obesity/GLP-1R
Ccdc181,Acc3,Obesity/GLP-1R
Ccdc186,Acc3,Obesity/GLP-1R
Ccdc39,Acc3,Obesity/GLP-1R
Ccdc40,Acc3,Obesity/GLP-1R
Ccdc50,Acc3,Obesity/GLP-1R
Ccdc57,Acc3,Obesity/GLP-1R
Ccdc73,Acc3,Obesity/GLP-1R
Ccdc85a,Acc3,Obesity/GLP-1R
Ccdc88a,Acc3,Obesity/GLP-1R
Ccdc92,Acc3,Obesity/GLP-1R
Ccdc9b,Acc3,Obesity/GLP-1R
Ccn3,Acc3,Obesity/GLP-1R
Ccnc,Acc3,Obesity/GLP-1R
Ccnd3,Acc3,Obesity/GLP-1R
Ccne2,Acc3,Obesity/GLP-1R
Ccng2,Acc3,Obesity/GLP-1R
Ccnh,Acc3,Obesity/GLP-1R
Ccni,Acc3,Obesity/GLP-1R
Ccnl1,Acc3,Obesity/GLP-1R
Ccnl2,Acc3,Obesity/GLP-1R
