gene,accession,condition
Hint2,Acc3,Obesity/GLP-1R
Hint3,Acc3,Obesity/GLP-1R
Hip1,Acc3,Obesity/GLP-1R
Hipk2,Acc3,Obesity/GLP-1R
Hipk3,Acc3,Obesity/GLP-1R
Hivep1,Acc3,Obesity/GLP-1R
Hivep3,Acc3,Obesity/GLP-1R
Hk1,Acc3,Obesity/GLP-1R
Hlcs,Acc3,Obesity/GLP-1R
Hmbox1,Acc3,Obesity/GLP-1R
Hmgb2,Acc3,Obesity/GLP-1R
Hmgcll1,Acc3,Obesity/GLP-1R
Hmgcr,Acc3,Obesity/GLP-1R
Hmgcs2,Acc3,Obesity/GLP-1R
Hmox2,Acc3,Obesity/GLP-1R
Hnmt,Acc3,Obesity/GLP-1R
Hnrnpa2b1,Acc3,Obesity/GLP-1R
Hnrnph1,Acc3,Obesity/GLP-1R
Hnrnpll,Acc3,Obesity/GLP-1R
Hnrnpul1,Acc3,Obesity/GLP-1R
Homer1,Acc3,Obesity/GLP-1R
Homer2,Acc3,Obesity/GLP-1R
Hook1,Acc3,Obesity/GLP-1R
Hook2,Acc3,Obesity/GLP-1R
Hook3,Acc3,Obesity/GLP-1R
Hpca,Acc3,Obesity/GLP-1R
Hprt1,Acc3,Obesity/GLP-1R
Hps3,Acc3,Obesity/GLP-1R
Hr,Acc3,Obesity/GLP-1R
Hras,Acc3,Obesity/GLP-1R
Hs3st1,Acc3,Obesity/GLP-1R
Hs3st2,Acc3,Obesity/GLP-1R
Hs3st5,Acc3,Obesity/GLP-1R
Hs6st2,Acc3,Obesity/GLP-1R
Hs6st3,Acc3,Obesity/GLP-1R
Hsd11b1,Acc3,Obesity/GLP-1R
Hsd17b4,Acc3,Obesity/GLP-1R
Hsd17b7,Acc3,Obesity/GLP-1R
Hsf2,Acc3,Obesity/GLP-1R
Hspa12a,Acc3,Obesity/GLP-1R
Hspa13,Acc3,Obesity/GLP-1R
Hspa4l,Acc3,Obesity/GLP-1R
Hspa5,Acc3,Obesity/GLP-1R
Htr1b,Acc3,Obesity/GLP-1R
Htr2a,Acc3,Obesity/GLP-1R
Htr2c,Acc3,Obesity/GLP-1R
Htr6,Acc3,Obesity/GLP-1R
Htra1,Acc3,Obesity/GLP-1R
Htt,Acc3,Obesity/GLP-1R
Huwe1,Acc3,Obesity/GLP-1R
Hycc1,Acc3,Obesity/GLP-1R
Hycc2,Acc3,Obesity/GLP-1R
Id4,Acc3,Obesity/GLP-1R
Idh1,Acc3,Obesity/GLP-1R
Idi1,Acc3,Obesity/GLP-1R
Ids,Acc3,Obesity/GLP-1R
Ier2,Acc3,Obesity/GLP-1R
Ier3,Acc3,Obesity/GLP-1R
Iffo2,Acc3,Obesity/GLP-1R
Ifit2,Acc3,Obesity/GLP-1R
Ifitm10,Acc3,Obesity/GLP-1R
Ifitm2,Acc3,Obesity/GLP-1R
Ift43,Acc3,Obesity/GLP-1R
Igf2r,Acc3,Obesity/GLP-1R
Igfbp3,Acc3,Obesity/GLP-1R
Igsf10,Acc3,Obesity/GLP-1R
Igsf3,Acc3,Obesity/GLP-1R
Ik,Acc3,Obesity/GLP-1R
Ikzf2,Acc3,Obesity/GLP-1R
Ikzf5,Acc3,Obesity/GLP-1R
Il1r1,Acc3,Obesity/GLP-1R
Il1rap,Acc3,Obesity/GLP-1R
Il4,Acc3,Obesity/GLP-1R
Il6st,Acc3,Obesity/GLP-1R
Ilkap,Acc3,Obesity/GLP-1R
Impa1,Acc3,Obesity/GLP-1R
Impact,Acc3,Obesity/GLP-1R
Impg2,Acc3,Obesity/GLP-1R
Inha,Acc3,Obesity/GLP-1R
Inka2,Acc3,Obesity/GLP-1R
Ino80b,Acc3,Obesity/GLP-1R
Inpp4b,Acc3,Obesity/GLP-1R
Inpp5d,Acc3,Obesity/GLP-1R
Insc,Acc3,Obesity/GLP-1R
Insig1,Acc3,Obesity/GLP-1R
Insig2,Acc3,Obesity/GLP-1R
Ints6,Acc3,Obesity/GLP-1R
Ints6l,Acc3,Obesity/GLP-1R
Ints8,Acc3,Obesity/GLP-1R
Iqsec1,Acc3,Obesity/GLP-1R
Iqsec2,Acc3,Obesity/GLP-1R
Iqsec3,Acc3,Obesity/GLP-1R
Irak3,Acc3,Obesity/GLP-1R
Ireb2,Acc3,Obesity/GLP-1R
Irf2bp2,Acc3,Obesity/GLP-1R
Irf2bpl,Acc3,Obesity/GLP-1R
Irs1,Acc3,Obesity/GLP-1R
Irs2,Acc3,Obesity/GLP-1R
Isoc1,Acc3,Obesity/GLP-1R
Itch,Acc3,Obesity/GLP-1R
Itfg1,Acc3,Obesity/GLP-1R
Itga4,Acc3,Obesity/GLP-1R
Itga6,Acc3,Obesity/GLP-1R
Itgam,Acc3,Obesity/GLP-1R
Itgav,Acc3,Obesity/GLP-1R
Itgb3bp,Acc3,Obesity/GLP-1R
Itgb4,Acc3,Obesity/GLP-1R
Itgb8,Acc3,Obesity/GLP-1R
Itgbl1,Acc3,Obesity/GLP-1R
Itm2a,Acc3,Obesity/GLP-1R
Itpkb,Acc3,Obesity/GLP-1R
Itpr2,Acc3,Obesity/GLP-1R
Itsn1,Acc3,Obesity/GLP-1R
Ivns1abp,Acc3,Obesity/GLP-1R
Izumo4,Acc3,Obesity/GLP-1R
Jade2,Acc3,Obesity/GLP-1R
Jade3,Acc3,Obesity/GLP-1R
Jak1,Acc3,Obesity/GLP-1R
Jam2,Acc3,Obesity/GLP-1R
Jmjd4,Acc3,Obesity/GLP-1R
Jmjd8,Acc3,Obesity/GLP-1R
Jmy,Acc3,Obesity/GLP-1R
Jph1,Acc3,Obesity/GLP-1R
Jph3,Acc3,Obesity/GLP-1R
Jpt2,Acc3,Obesity/GLP-1R
Jrk,Acc3,Obesity/GLP-1R
Kank3,Acc3,Obesity/GLP-1R
Kank4,Acc3,Obesity/GLP-1R
Kansl1l,Acc3,Obesity/GLP-1R
Kat2b,Acc3,Obesity/GLP-1R
Kat6a,Acc3,Obesity/GLP-1R
Katnbl1,Acc3,Obesity/GLP-1R
Kbtbd2,Acc3,Obesity/GLP-1R
Kbtbd3,Acc3,Obesity/GLP-1R
Kbtbd7,Acc3,Obesity/GLP-1R
Kcna1,Acc3,Obesity/GLP-1R
Kcna2,Acc3,Obesity/GLP-1R
Kcna3,Acc3,Obesity/GLP-1R
Kcna5,Acc3,Obesity/GLP-1R
Kcna6,Acc3,Obesity/GLP-1R
Kcnb1,Acc3,Obesity/GLP-1R
Kcnc1,Acc3,Obesity/GLP-1R
Kcnc3,Acc3,Obesity/GLP-1R
Kcnd2,Acc3,Obesity/GLP-1R
Kcng2,Acc3,Obesity/GLP-1R
Kcnh5,Acc3,Obesity/GLP-1R
Kcnh7,Acc3,Obesity/GLP-1R
Kcnip4,Acc3,Obesity/GLP-1R
Kcnj2,Acc3,Obesity/GLP-1R
Kcnj6,Acc3,Obesity/GLP-1R
Kcnk12,Acc3,Obesity/GLP-1R
Kcnk13,Acc3,Obesity/GLP-1R
Kcnk6,Acc3,Obesity/GLP-1R
Kcnk9,Acc3,Obesity/GLP-1R
Kcnma1,Acc3,Obesity/GLP-1R
Kcnmb4,Acc3,Obesity/GLP-1R
Kcnq5,Acc3,Obesity/GLP-1R
Kcnt2,Acc3,Obesity/GLP-1R
Kctd10,Acc3,Obesity/GLP-1R
Kctd12b,Acc3,Obesity/GLP-1R
Kctd13,Acc3,Obesity/GLP-1R
Kctd16,Acc3,Obesity/GLP-1R
Kctd18,Acc3,Obesity/GLP-1R
Kctd4,Acc3,Obesity/GLP-1R
Kctd9,Acc3,Obesity/GLP-1R
Kdm1b,Acc3,Obesity/GLP-1R
Kdm4a,Acc3,Obesity/GLP-1R
Kdm6a,Acc3,Obesity/GLP-1R
Kdm7a,Acc3,Obesity/GLP-1R
Kdr,Acc3,Obesity/GLP-1R
Khdc4,Acc3,Obesity/GLP-1R
Kics2,Acc3,Obesity/GLP-1R
Kidins220,Acc3,Obesity/GLP-1R
Kif17,Acc3,Obesity/GLP-1R
Kif1a,Acc3,Obesity/GLP-1R
Kif1b,Acc3,Obesity/GLP-1R
Kif21a,Acc3,Obesity/GLP-1R
Kif26b,Acc3,Obesity/GLP-1R
Kif2a,Acc3,Obesity/GLP-1R
Kif3a,Acc3,Obesity/GLP-1R
Kif3c,Acc3,Obesity/GLP-1R
Kif5c,Acc3,Obesity/GLP-1R
Kif6,Acc3,Obesity/GLP-1R
Kirrel3,Acc3,Obesity/GLP-1R
Klf10,Acc3,Obesity/GLP-1R
Klf13,Acc3,Obesity/GLP-1R
Klf15,Acc3,Obesity/GLP-1R
Klf3,Acc3,Obesity/GLP-1R
Klf6,Acc3,Obesity/GLP-1R
Klhl11,Acc3,Obesity/GLP-1R
Klhl15,Acc3,Obesity/GLP-1R
Klhl23,Acc3,Obesity/GLP-1R
Klhl24,Acc3,Obesity/GLP-1R
Klhl28,Acc3,Obesity/GLP-1R
Klhl4,Acc3,Obesity/GLP-1R
Klhl42,Acc3,Obesity/GLP-1R
Klhl7,Acc3,Obesity/GLP-1R
Kpna1,Acc3,Obesity/GLP-1R
Kpna3,Acc3,Obesity/GLP-1R
Kpna4,Acc3,Obesity/GLP-1R
Kptn,Acc3,Obesity/GLP-1R
Kras,Acc3,Obesity/GLP-1R
Kri1,Acc3,Obesity/GLP-1R
Krit1,Acc3,Obesity/GLP-1R
Krt1,Acc3,Obesity/GLP-1R
Krt18,Acc3,Obesity/GLP-1R
Ksr2,Acc3,Obesity/GLP-1R
Ky,Acc3,Obesity/GLP-1R
Kyat1,Acc3,Obesity/GLP-1R
L1cam,Acc3,Obesity/GLP-1R
L2hgdh,Acc3,Obesity/GLP-1R
Lactb2,Acc3,Obesity/GLP-1R
Lage3,Acc3,Obesity/GLP-1R
Lamc1,Acc3,Obesity/GLP-1R
Lamp2,Acc3,Obesity/GLP-1R
Lamtor2,Acc3,Obesity/GLP-1R
Lamtor4,Acc3,Obesity/GLP-1R
Lancl3,Acc3,Obesity/GLP-1R
Lap3,Acc3,Obesity/GLP-1R
Laptm4a,Acc3,Obesity/GLP-1R
Laptm5,Acc3,Obesity/GLP-1R
Large1,Acc3,Obesity/GLP-1R
Larp4,Acc3,Obesity/GLP-1R
Lats2,Acc3,Obesity/GLP-1R
Lbr,Acc3,Obesity/GLP-1R
Lcor,Acc3,Obesity/GLP-1R
Lcorl,Acc3,Obesity/GLP-1R
Ldb3,Acc3,Obesity/GLP-1R
Ldlrad3,Acc3,Obesity/GLP-1R
Ldlrad4,Acc3,Obesity/GLP-1R
Lemd3,Acc3,Obesity/GLP-1R
Leng9,Acc3,Obesity/GLP-1R
Leprotl1,Acc3,Obesity/GLP-1R
Lfng,Acc3,Obesity/GLP-1R
Lgals9,Acc3,Obesity/GLP-1R
Lgalsl,Acc3,Obesity/GLP-1R
Lgr4,Acc3,Obesity/GLP-1R
Lgr5,Acc3,Obesity/GLP-1R
Lifr,Acc3,Obesity/GLP-1R
Limk1,Acc3,Obesity/GLP-1R
Lims1,Acc3,Obesity/GLP-1R
Lims2,Acc3,Obesity/GLP-1R
Lin37,Acc3,Obesity/GLP-1R
Lin7b,Acc3,Obesity/GLP-1R
Lin7c,Acc3,Obesity/GLP-1R
Lingo4,Acc3,Obesity/GLP-1R
Lipe,Acc3,Obesity/GLP-1R
Lipo3,Acc3,Obesity/GLP-1R
Lmbrd2,Acc3,Obesity/GLP-1R
Lmf1,Acc3,Obesity/GLP-1R
Lmf2,Acc3,Obesity/GLP-1R
Lmln,Acc3,Obesity/GLP-1R
Lmtk2,Acc3,Obesity/GLP-1R
Lmtk3,Acc3,Obesity/GLP-1R
Lnpep,Acc3,Obesity/GLP-1R
Lnpk,Acc3,Obesity/GLP-1R
Lonrf1,Acc3,Obesity/GLP-1R
Lonrf2,Acc3,Obesity/GLP-1R
Lonrf3,Acc3,Obesity/GLP-1R
Loricrin,Acc3,Obesity/GLP-1R
Lpcat2,Acc3,Obesity/GLP-1R
Lpgat1,Acc3,Obesity/GLP-1R
Lrba,Acc3,Obesity/GLP-1R
Lrch2,Acc3,Obesity/GLP-1R
Lrfn1,Acc3,Obesity/GLP-1R
Lrfn3,Acc3,Obesity/GLP-1R
Lrif1,Acc3,Obesity/GLP-1R
Lrig2,Acc3,Obesity/GLP-1R
Lrig3,Acc3,Obesity/GLP-1R
Lrp1,Acc3,Obesity/GLP-1R
Lrp12,Acc3,Obesity/GLP-1R
Lrp4,Acc3,Obesity/GLP-1R
Lrp5,Acc3,Obesity/GLP-1R
Lrrc23,Acc3,Obesity/GLP-1R
Lrrc4,Acc3,Obesity/GLP-1R
Lrrc45,Acc3,Obesity/GLP-1R
Lrrc4b,Acc3,Obesity/GLP-1R
Lrrc4c,Acc3,Obesity/GLP-1R
Lrrc57,Acc3,Obesity/GLP-1R
Lrrc58,Acc3,Obesity/GLP-1R
Lrrc7,Acc3,Obesity/GLP-1R
Lrrc8c,Acc3,Obesity/GLP-1R
Lrrc8d,Acc3,Obesity/GLP-1R
Lrrk2,Acc3,Obesity/GLP-1R
Lrrn1,Acc3,Obesity/GLP-1R
Lrrn2,Acc3,Obesity/GLP-1R
Lrrn3,Acc3,Obesity/GLP-1R
Lrrtm4,Acc3,Obesity/GLP-1R
Lsm3,Acc3,Obesity/GLP-1R
Lsm4,Acc3,Obesity/GLP-1R
Lsm7,Acc3,Obesity/GLP-1R
Lsr,Acc3,Obesity/GLP-1R
Ltk,Acc3,Obesity/GLP-1R
Ltn1,Acc3,Obesity/GLP-1R
Luc7l2,Acc3,Obesity/GLP-1R
Luc7l3,Acc3,Obesity/GLP-1R
Luzp1,Acc3,Obesity/GLP-1R
Ly6e,Acc3,Obesity/GLP-1R
Ly75,Acc3,Obesity/GLP-1R
Lypla1,Acc3,Obesity/GLP-1R
Lysmd3,Acc3,Obesity/GLP-1R
Lyst,Acc3,Obesity/GLP-1R
Lzic,Acc3,Obesity/GLP-1R
Lztfl1,Acc3,Obesity/GLP-1R
Lzts2,Acc3,Obesity/GLP-1R
Lzts3,Acc3,Obesity/GLP-1R
Macir,Acc3,Obesity/GLP-1R
Mad1l1,Acc3,Obesity/GLP-1R
Mad2l1,Acc3,Obesity/GLP-1R
Maf,Acc3,Obesity/GLP-1R
Maff,Acc3,Obesity/GLP-1R
Mafk,Acc3,Obesity/GLP-1R
Magi2,Acc3,Obesity/GLP-1R
Magi3,Acc3,Obesity/GLP-1R
Magoh,Acc3,Obesity/GLP-1R
Magt1,Acc3,Obesity/GLP-1R
Maip1,Acc3,Obesity/GLP-1R
Mal2,Acc3,Obesity/GLP-1R
Mamdc4,Acc3,Obesity/GLP-1R
Maml3,Acc3,Obesity/GLP-1R
Man1a2,Acc3,Obesity/GLP-1R
Man2b2,Acc3,Obesity/GLP-1R
Manea,Acc3,Obesity/GLP-1R
Map1a,Acc3,Obesity/GLP-1R
Map1b,Acc3,Obesity/GLP-1R
Map2,Acc3,Obesity/GLP-1R
Map2k6,Acc3,Obesity/GLP-1R
Map3k10,Acc3,Obesity/GLP-1R
Map3k13,Acc3,Obesity/GLP-1R
Map3k2,Acc3,Obesity/GLP-1R
Map3k6,Acc3,Obesity/GLP-1R
Map3k9,Acc3,Obesity/GLP-1R
Map6,Acc3,Obesity/GLP-1R
Map6d1,Acc3,Obesity/GLP-1R
Map7d1,Acc3,Obesity/GLP-1R
Mapk4,Acc3,Obesity/GLP-1R
Mapk8,Acc3,Obesity/GLP-1R
Mapkapk2,Acc3,Obesity/GLP-1R
Mapre1,Acc3,Obesity/GLP-1R
Marchf6,Acc3,Obesity/GLP-1R
Marchf7,Acc3,Obesity/GLP-1R
Marf1,Acc3,Obesity/GLP-1R
Mars2,Acc3,Obesity/GLP-1R
Marveld1,Acc3,Obesity/GLP-1R
Mast3,Acc3,Obesity/GLP-1R
Mast4,Acc3,Obesity/GLP-1R
Mat2b,Acc3,Obesity/GLP-1R
Matk,Acc3,Obesity/GLP-1R
Matr3,Acc3,Obesity/GLP-1R
Mbd5,Acc3,Obesity/GLP-1R
Mbd6,Acc3,Obesity/GLP-1R
Mbip,Acc3,Obesity/GLP-1R
Mbnl1,Acc3,Obesity/GLP-1R
Mbnl2,Acc3,Obesity/GLP-1R
Mbtd1,Acc3,Obesity/GLP-1R
Mbtps2,Acc3,Obesity/GLP-1R
Mccc1,Acc3,Obesity/GLP-1R
Mcee,Acc3,Obesity/GLP-1R
Mchr1,Acc3,Obesity/GLP-1R
Mcmdc2,Acc3,Obesity/GLP-1R
Mcph1,Acc3,Obesity/GLP-1R
Mcrip1,Acc3,Obesity/GLP-1R
Mcts1,Acc3,Obesity/GLP-1R
Mdga1,Acc3,Obesity/GLP-1R
Mdga2,Acc3,Obesity/GLP-1R
Mdm4,Acc3,Obesity/GLP-1R
Me1,Acc3,Obesity/GLP-1R
Me2,Acc3,Obesity/GLP-1R
Mea1,Acc3,Obesity/GLP-1R
Mecp2,Acc3,Obesity/GLP-1R
Med12l,Acc3,Obesity/GLP-1R
Med13,Acc3,Obesity/GLP-1R
Med21,Acc3,Obesity/GLP-1R
Med29,Acc3,Obesity/GLP-1R
Med31,Acc3,Obesity/GLP-1R
Med7,Acc3,Obesity/GLP-1R
Mef2a,Acc3,Obesity/GLP-1R
Mef2c,Acc3,Obesity/GLP-1R
Meg3,Acc3,Obesity/GLP-1R
Megf10,Acc3,Obesity/GLP-1R
Megf6,Acc3,Obesity/GLP-1R
Megf8,Acc3,Obesity/GLP-1R
Megf9,Acc3,Obesity/GLP-1R
Memo1,Acc3,Obesity/GLP-1R
Mertk,Acc3,Obesity/GLP-1R
Metap1d,Acc3,Obesity/GLP-1R
Mettl4,Acc3,Obesity/GLP-1R
Mettl5,Acc3,Obesity/GLP-1R
Mettl9,Acc3,Obesity/GLP-1R
Mex3b,Acc3,Obesity/GLP-1R
Mex3c,Acc3,Obesity/GLP-1R
Mfap1b,Acc3,Obesity/GLP-1R
Mfap3l,Acc3,Obesity/GLP-1R
Mff,Acc3,Obesity/GLP-1R
Mfsd14b,Acc3,Obesity/GLP-1R
Mfsd8,Acc3,Obesity/GLP-1R
Mgat5,Acc3,Obesity/GLP-1R
Mgll,Acc3,Obesity/GLP-1R
Mgp,Acc3,Obesity/GLP-1R
Mib1,Acc3,Obesity/GLP-1R
Micall1,Acc3,Obesity/GLP-1R
Micu3,Acc3,Obesity/GLP-1R
Mid2,Acc3,Obesity/GLP-1R
Mideas,Acc3,Obesity/GLP-1R
Midn,Acc3,Obesity/GLP-1R
Mier1,Acc3,Obesity/GLP-1R
Mier3,Acc3,Obesity/GLP-1R
Miga1,Acc3,Obesity/GLP-1R
Miip,Acc3,Obesity/GLP-1R
Minar1,Acc3,Obesity/GLP-1R
Minar2,Acc3,Obesity/GLP-1R
Mindy2,Acc3,Obesity/GLP-1R
Mindy3,Acc3,Obesity/GLP-1R
Mink1,Acc3,Obesity/GLP-1R
Mipol1,Acc3,Obesity/GLP-1R
Mkks,Acc3,Obesity/GLP-1R
Mllt3,Acc3,Obesity/GLP-1R
Mlph,Acc3,Obesity/GLP-1R
Mmd,Acc3,Obesity/GLP-1R
Mme,Acc3,Obesity/GLP-1R
Mmel1,Acc3,Obesity/GLP-1R
Mmgt1,Acc3,Obesity/GLP-1R
Mmp16,Acc3,Obesity/GLP-1R
Mnt,Acc3,Obesity/GLP-1R
Mob1a,Acc3,Obesity/GLP-1R
Mob1b,Acc3,Obesity/GLP-1R
Mob4,Acc3,Obesity/GLP-1R
Mon2,Acc3,Obesity/GLP-1R
Morc3,Acc3,Obesity/GLP-1R
Morf4l2,Acc3,Obesity/GLP-1R
Morn2,Acc3,Obesity/GLP-1R
Mosmo,Acc3,Obesity/GLP-1R
Mospd1,Acc3,Obesity/GLP-1R
Mpnd,Acc3,Obesity/GLP-1R
Mpp7,Acc3,Obesity/GLP-1R
Mpzl1,Acc3,Obesity/GLP-1R
Mrap2,Acc3,Obesity/GLP-1R
Mreg,Acc3,Obesity/GLP-1R
Mrpl1,Acc3,Obesity/GLP-1R
Mrpl11,Acc3,Obesity/GLP-1R
Mrpl13,Acc3,Obesity/GLP-1R
Mrpl14,Acc3,Obesity/GLP-1R
Mrpl2,Acc3,Obesity/GLP-1R
Mrpl39,Acc3,Obesity/GLP-1R
Mrpl52,Acc3,Obesity/GLP-1R
Mrpl54,Acc3,Obesity/GLP-1R
Mrps12,Acc3,Obesity/GLP-1R
Mrps14,Acc3,Obesity/GLP-1R
Mrps15,Acc3,Obesity/GLP-1R
Mrps18c,Acc3,Obesity/GLP-1R
Mrps21,Acc3,Obesity/GLP-1R
Mrps34,Acc3,Obesity/GLP-1R
Mrps6,Acc3,Obesity/GLP-1R
Mrps9,Acc3,Obesity/GLP-1R
Mrtfa,Acc3,Obesity/GLP-1R
Mrtfb,Acc3,Obesity/GLP-1R
Msantd2,Acc3,Obesity/GLP-1R
Msantd4,Acc3,Obesity/GLP-1R
Msmo1,Acc3,Obesity/GLP-1R
Mt1,Acc3,Obesity/GLP-1R
Mt2,Acc3,Obesity/GLP-1R
Mt3,Acc3,Obesity/GLP-1R
Mta3,Acc3,Obesity/GLP-1R
Mtcl2,Acc3,Obesity/GLP-1R
Mtcl3,Acc3,Obesity/GLP-1R
Mtcp1,Acc3,Obesity/GLP-1R
Mterf3,Acc3,Obesity/GLP-1R
Mtf2,Acc3,Obesity/GLP-1R
Mtg2,Acc3,Obesity/GLP-1R
Mtln,Acc3,Obesity/GLP-1R
Mtm1,Acc3,Obesity/GLP-1R
Mtmr1,Acc3,Obesity/GLP-1R
Mtmr10,Acc3,Obesity/GLP-1R
Mtmr4,Acc3,Obesity/GLP-1R
Mtmr9,Acc3,Obesity/GLP-1R
Mtor,Acc3,Obesity/GLP-1R
Mtpap,Acc3,Obesity/GLP-1R
Mtpn,Acc3,Obesity/GLP-1R
Mvb12a,Acc3,Obesity/GLP-1R
Mvd,Acc3,Obesity/GLP-1R
Mxd4,Acc3,Obesity/GLP-1R
Mybl1,Acc3,Obesity/GLP-1R
Mycbp,Acc3,Obesity/GLP-1R
Mycbpap,Acc3,Obesity/GLP-1R
Mycl,Acc3,Obesity/GLP-1R
Myh10,Acc3,Obesity/GLP-1R
Myl6b,Acc3,Obesity/GLP-1R
Myo16,Acc3,Obesity/GLP-1R
Myo1d,Acc3,Obesity/GLP-1R
Myo1e,Acc3,Obesity/GLP-1R
Myo5a,Acc3,Obesity/GLP-1R
Myo5b,Acc3,Obesity/GLP-1R
Myo9a,Acc3,Obesity/GLP-1R
Myoc,Acc3,Obesity/GLP-1R
Myrf,Acc3,Obesity/GLP-1R
Myt1l,Acc3,Obesity/GLP-1R
Mzt1,Acc3,Obesity/GLP-1R
Naa16,Acc3,Obesity/GLP-1R
Naa30,Acc3,Obesity/GLP-1R
Naa38,Acc3,Obesity/GLP-1R
Naa50,Acc3,Obesity/GLP-1R
Nab1,Acc3,Obesity/GLP-1R
Nabp1,Acc3,Obesity/GLP-1R
Nabp2,Acc3,Obesity/GLP-1R
Nacc1,Acc3,Obesity/GLP-1R
Nadk2,Acc3,Obesity/GLP-1R
Nadsyn1,Acc3,Obesity/GLP-1R
Nae1,Acc3,Obesity/GLP-1R
Naif1,Acc3,Obesity/GLP-1R
Nalcn,Acc3,Obesity/GLP-1R
Napg,Acc3,Obesity/GLP-1R
Nars2,Acc3,Obesity/GLP-1R
Nat1,Acc3,Obesity/GLP-1R
Nat14,Acc3,Obesity/GLP-1R
Nat8f1,Acc3,Obesity/GLP-1R
Nat9,Acc3,Obesity/GLP-1R
Nbas,Acc3,Obesity/GLP-1R
Nbea,Acc3,Obesity/GLP-1R
Nbeal2,Acc3,Obesity/GLP-1R
Ncam2,Acc3,Obesity/GLP-1R
Ncan,Acc3,Obesity/GLP-1R
Ncapg2,Acc3,Obesity/GLP-1R
Ncf1,Acc3,Obesity/GLP-1R
Ncoa2,Acc3,Obesity/GLP-1R
Ncoa4,Acc3,Obesity/GLP-1R
Ncoa7,Acc3,Obesity/GLP-1R
Ncor2,Acc3,Obesity/GLP-1R
Ndfip1,Acc3,Obesity/GLP-1R
Ndfip2,Acc3,Obesity/GLP-1R
Ndn,Acc3,Obesity/GLP-1R
Ndrg2,Acc3,Obesity/GLP-1R
Ndst1,Acc3,Obesity/GLP-1R
Ndst4,Acc3,Obesity/GLP-1R
Ndufa11,Acc3,Obesity/GLP-1R
Ndufa12,Acc3,Obesity/GLP-1R
Ndufa13,Acc3,Obesity/GLP-1R
Ndufa2,Acc3,Obesity/GLP-1R
Ndufa3,Acc3,Obesity/GLP-1R
Ndufa4,Acc3,Obesity/GLP-1R
Ndufa5,Acc3,Obesity/GLP-1R
Ndufa6,Acc3,Obesity/GLP-1R
Ndufa8,Acc3,Obesity/GLP-1R
Ndufaf4,Acc3,Obesity/GLP-1R
Ndufb10,Acc3,Obesity/GLP-1R
Ndufb4,Acc3,Obesity/GLP-1R
Ndufb5,Acc3,Obesity/GLP-1R
Ndufb7,Acc3,Obesity/GLP-1R
Ndufb9,Acc3,Obesity/GLP-1R
Ndufc1,Acc3,Obesity/GLP-1R
Ndufc2,Acc3,Obesity/GLP-1R
Ndufs3,Acc3,Obesity/GLP-1R
Ndufs5,Acc3,Obesity/GLP-1R
Ndufs6,Acc3,Obesity/GLP-1R
Ndufs7,Acc3,Obesity/GLP-1R
Ndufv3,Acc3,Obesity/GLP-1R
Nebl,Acc3,Obesity/GLP-1R
Nedd1,Acc3,Obesity/GLP-1R
Nefl,Acc3,Obesity/GLP-1R
Nek1,Acc3,Obesity/GLP-1R
Nelfe,Acc3,Obesity/GLP-1R
Nell1,Acc3,Obesity/GLP-1R
Nenf,Acc3,Obesity/GLP-1R
Neo1,Acc3,Obesity/GLP-1R
Nepro,Acc3,Obesity/GLP-1R
Nes,Acc3,Obesity/GLP-1R
Net1,Acc3,Obesity/GLP-1R
Neto1,Acc3,Obesity/GLP-1R
Neto2,Acc3,Obesity/GLP-1R
Nexmif,Acc3,Obesity/GLP-1R
Nf1,Acc3,Obesity/GLP-1R
Nfasc,Acc3,Obesity/GLP-1R
Nfe2l2,Acc3,Obesity/GLP-1R
Nfe2l3,Acc3,Obesity/GLP-1R
Nfia,Acc3,Obesity/GLP-1R
Nfix,Acc3,Obesity/GLP-1R
Nfkbia,Acc3,Obesity/GLP-1R
Nfkbib,Acc3,Obesity/GLP-1R
Nfkbil1,Acc3,Obesity/GLP-1R
Nhp2,Acc3,Obesity/GLP-1R
Nhs,Acc3,Obesity/GLP-1R
Niban2,Acc3,Obesity/GLP-1R
Nid1,Acc3,Obesity/GLP-1R
Nipa1,Acc3,Obesity/GLP-1R
Nipa2,Acc3,Obesity/GLP-1R
Nipal4,Acc3,Obesity/GLP-1R
Nipsnap3b,Acc3,Obesity/GLP-1R
Nkain4,Acc3,Obesity/GLP-1R
Nkap,Acc3,Obesity/GLP-1R
Nkrf,Acc3,Obesity/GLP-1R
Nkx2-2,Acc3,Obesity/GLP-1R
Nkx2-9,Acc3,Obesity/GLP-1R
Nle1,Acc3,Obesity/GLP-1R
Nme1,Acc3,Obesity/GLP-1R
Nme2,Acc3,Obesity/GLP-1R
Nme5,Acc3,Obesity/GLP-1R
Nme6,Acc3,Obesity/GLP-1R
Nmt2,Acc3,Obesity/GLP-1R
Nol12,Acc3,Obesity/GLP-1R
Nol3,Acc3,Obesity/GLP-1R
Nop14,Acc3,Obesity/GLP-1R
Nop53,Acc3,Obesity/GLP-1R
Nos3,Acc3,Obesity/GLP-1R
Nostrin,Acc3,Obesity/GLP-1R
Notch1,Acc3,Obesity/GLP-1R
Notch4,Acc3,Obesity/GLP-1R
Npas3,Acc3,Obesity/GLP-1R
Npat,Acc3,Obesity/GLP-1R
Npc1,Acc3,Obesity/GLP-1R
Nphp3,Acc3,Obesity/GLP-1R
