Accession,Condition,GeneSet,Term,NES,FDR
Acc5,Obesity/GLP-1R,Hallmark,prerank,-1.1213505713402554,0.7021943573667712
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.1073690630797552,0.434654919236417
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.09816251890003,0.439173161640122
Acc5,Obesity/GLP-1R,Hallmark,prerank,-1.0962378316517714,0.634796238244514
Acc5,Obesity/GLP-1R,Hallmark,prerank,-1.0881159389778692,0.535423197492163
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.0824274674502257,0.4551041496709632
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.0297818644075223,0.5621984476610028
Acc5,Obesity/GLP-1R,Hallmark,prerank,1.0160765016810929,0.5808901716542609
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.9543509558285167,0.738913362701909
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.9366433357357383,0.7571408270569845
Acc5,Obesity/GLP-1R,Hallmark,prerank,-0.8428685512392682,1.0
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.83976802775782,0.9720998531571219
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.8256275788079923,0.9739687625150181
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.8222028558504862,0.9529239008378683
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.8108485995480165,0.9468428781204111
Acc5,Obesity/GLP-1R,Hallmark,prerank,-0.801599796622372,1.0
Acc5,Obesity/GLP-1R,Hallmark,prerank,-0.7888069870580615,1.0
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.7420548996598821,1.0
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.7397674072920394,1.0
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.7393287013137997,0.977200711028673
Acc5,Obesity/GLP-1R,Hallmark,prerank,-0.7268736409753603,1.0
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.6952176830584658,0.982265898565458
Acc5,Obesity/GLP-1R,Hallmark,prerank,-0.6760877904141674,0.9786833855799373
Acc5,Obesity/GLP-1R,Hallmark,prerank,0.5862555127402992,0.9903083700440528
Acc6,Obesity/GLP-1R,Hallmark,prerank,1.5429602116044794,0.11421725239616613
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.533811460878182,0.208110992529349
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.4938938986805728,0.15608324439701174
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.4364749648051405,0.22545357524012807
Acc6,Obesity/GLP-1R,Hallmark,prerank,-1.4022810828775172,0.2575373532550694
