Term,k,M,K,N,pval,odds_ratio,genes,padj,neg_log10_pval,combined_score,Accession,GeneSet,Condition
Cocaine addiction,17,48,3316,30178,7.050225207973177e-06,3.234541870004951,"ADCY5,ATF2,BDNF,CREB1,CREB5,DLG4,DRD2,FOSB,GNAI1,GNAI3,GRIN1,GRIN2A,GRIN2B,GRIN2D,GRIN3A,GRM3,RGS9",3.5858904075035987e-05,5.15179700995642,7.435460577369358,Acc3,KEGG,Obesity/GLP-1R
Glucagon signaling pathway,26,95,3316,30178,7.837694521873838e-06,2.5024374559083946,"ACACA,ACACB,ATF2,CALM3,CAMK2D,CREB1,CREB5,CRTC2,EP300,FOXO1,GYS1,ITPR2,PDE3B,PLCB1,PLCB2,PPARA,PPARGC1A,PPP3CB,PPP3R1,PPP4R3A,PPP4R3B,PRKAA2,PYGL,SIK2,SIRT1,SLC2A1",3.918847260936919e-05,5.105811667376146,6.3999263122323855,Acc3,KEGG,Obesity/GLP-1R
Adrenergic signaling in cardiomyocytes,34,142,3316,30178,8.878310071628931e-06,2.1912014422233104,"ADCY3,ADCY4,ADCY5,ADCY9,ADRA1A,AGT,ATF2,ATP1A3,ATP2A2,ATP2B2,ATP2B3,ATP2B4,CACNA1C,CACNB4,CACNG8,CALM3,CAMK2D,CREB1,CREB5,GNAI1,GNAI3,PLCB1,PLCB2,PPP1CB,PPP2R3A,PPP2R5B,PPP2R5E,RAPGEF3,RAPGEF4,RPS6KA5,RYR2,SCN4B,SLC8A1,TPM4",4.365169118550891e-05,5.05166969147489,5.861944747179246,Acc3,KEGG,Obesity/GLP-1R
Chemokine signaling pathway,39,173,3316,30178,9.477368323210658e-06,2.064067465542547,"ADCY3,ADCY4,ADCY5,ADCY9,BAD,CDC42,CHUK,CRK,CX3CR1,CXCL12,DOCK2,FOXO3,GNAI1,GNAI3,GNG13,GRK4,GRK5,GSK3B,HRAS,KRAS,NCF1,NFKBIA,NFKBIB,NRAS,PARD3,PIK3CB,PIK3R1,PIK3R3,PLCB1,PLCB2,RAP1B,ROCK1,ROCK2,SHC3,SHC4,SOS1,SOS2,STAT1,WASL",4.575286461699498e-05,5.023312240866209,5.624820076908956,Acc3,KEGG,Obesity/GLP-1R
MAPK signaling pathway,57,290,3316,30178,9.615856292385386e-06,1.8025091547380865,"ATF2,BDNF,CACNA1C,CACNA1I,CACNB4,CACNG8,CDC25B,CDC42,CHUK,CRK,DDIT3,DUSP16,DUSP4,DUSP6,EGFR,ERBB3,ERBB4,FGF10,FGF2,FGFR2,FOS,GADD45G,HRAS,IL1R1,IL1RAP,KDR,KRAS,MAP2K6,MAP3K13,MAP3K2,MAP3K6,MAPK8,MAPKAPK2,MEF2C,NF1,NRAS,NTRK2,PGF,PLA2G4A,PPP3CB,PPP3R1,RAP1B,RAPGEF2,RASA1,RASA2,RASGRF1,RASGRF2,RPS6KA3,RPS6KA5,RPS6KA6,SOS1,SOS2,TAOK1,TGFA,TGFBR1,VEGFA,VEGFB",4.575286461699498e-05,5.01701203576255,5.170106873417229,Acc3,KEGG,Obesity/GLP-1R
Colorectal cancer,24,86,3316,30178,1.2053709414861409e-05,2.550893152953193,"APC,APC2,BAD,BAX,CDKN1A,EGFR,FOS,GADD45G,GSK3B,HRAS,KRAS,MAPK8,MTOR,NRAS,PIK3CB,PIK3R1,PIK3R3,RPS6KB1,RPS6KB2,SMAD4,SOS1,SOS2,TGFA,TGFBR1",5.644197265689072e-05,4.918879282508342,6.233199715715533,Acc3,KEGG,Obesity/GLP-1R
Herpes simplex virus 1 infection,70,385,3316,30178,1.6485373394775916e-05,1.6687493523696968,"2610008E11RIK,BAD,BAX,BCL2L1,C3,CFP,CHUK,EIF2S1,EIF4EBP1,HCFC1,HCFC2,JAK1,MTOR,NFKBIA,PIK3CB,PIK3R1,PIK3R3,POU2F1,PPP1CB,RHEB,RSL1,SRSF1,SRSF2,SRSF6,SRSF7,STAT1,TLR3,TRAF3,ZFP11,ZFP119A,ZFP119B,ZFP13,ZFP169,ZFP182,ZFP189,ZFP248,ZFP26,ZFP266,ZFP300,ZFP386,ZFP40,ZFP418,ZFP420,ZFP455,ZFP458,ZFP52,ZFP54,ZFP560,ZFP595,ZFP597,ZFP60,ZFP607B,ZFP626,ZFP641,ZFP68,ZFP707,ZFP719,ZFP729A,ZFP729B,ZFP780B,ZFP811,ZFP867,ZFP868,ZFP874B,ZFP930,ZFP933,ZFP938,ZFP954,ZFP958,ZIK1",7.488457001880592e-05,4.78290121161126,4.694943444644012,Acc3,KEGG,Obesity/GLP-1R
Amphetamine addiction,20,66,3316,30178,1.6753836004207427e-05,2.76838651372191,"ADCY5,ARC,ATF2,CACNA1C,CALM3,CAMK2D,CAMK4,CREB1,CREB5,FOS,FOSB,GRIN1,GRIN2A,GRIN2B,GRIN2D,GRIN3A,PPP1CB,PPP3CB,PPP3R1,SIRT1",7.488457001880592e-05,4.775885739986872,6.335914152142868,Acc3,KEGG,Obesity/GLP-1R
Renin secretion,20,66,3316,30178,1.6753836004207427e-05,2.76838651372191,"ADCY5,ADCYAP1R1,AGT,AQP1,CACNA1C,CALM3,CLCA3A1,CREB1,GNAI1,GNAI3,GUCY1A2,ITPR2,KCNJ2,KCNMA1,PDE3B,PLCB1,PLCB2,PPP3CB,PPP3R1,PTGER2",7.488457001880592e-05,4.775885739986872,6.335914152142868,Acc3,KEGG,Obesity/GLP-1R
Regulation of lipolysis in adipocytes,18,56,3316,30178,1.7896626834771798e-05,2.935661008286156,"ADCY3,ADCY4,ADCY5,ADCY9,GNAI1,GNAI3,IRS1,IRS2,LIPE,MGLL,NPY,NPY1R,PDE3B,PIK3CB,PIK3R1,PIK3R3,PNPLA2,PTGS1",7.879858083966688e-05,4.747228817349351,6.5040777965647765,Acc3,KEGG,Obesity/GLP-1R
