input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME
1700003E24Rik,1700003E24Rik,100042663,ENSMUSG00000095110,RIKEN cDNA 1700003E24 gene
1700003F12Rik,1700003F12Rik,75480,ENSMUSG00000038523,RIKEN cDNA 1700003F12 gene
1700003G13Rik,1700003G13Rik,NA,NA,NA
1700003G18Rik,1700003G18Rik,69350,NA,RIKEN cDNA 1700003G18 gene
1700003H04Rik,1700003H04Rik,384775,ENSMUSG00000039174,RIKEN cDNA 1700003H04 gene
1700003L19Rik,1700003L19Rik,75493,ENSMUSG00000101565,RIKEN cDNA 1700003L19 gene
1700003M02Rik,1700003M02Rik,NA,NA,NA
1700003M07Rik,1700003M07Rik,72225,ENSMUSG00000085389,RIKEN cDNA 1700003M07 gene
1700003P14Rik,1700003P14Rik,75890,ENSMUSG00000100727,RIKEN cDNA 1700003P14 gene
1700006A11Rik,1700006A11Rik,71824,ENSMUSG00000027973,RIKEN cDNA 1700006A11 gene
1700006E09Rik,1700006E09Rik,NA,NA,NA
1700006F04Rik,1700006F04Rik,75432,ENSMUSG00000100274,RIKEN cDNA 1700006F04 gene
1700006H21Rik,1700006H21Rik,72257,ENSMUSG00000102000,RIKEN cDNA 1700006H21 gene
1700007B14Rik,1700007B14Rik,NA,NA,NA
1700007F19Rik,1700007F19Rik,67850,ENSMUSG00000100666,RIKEN cDNA 1700007F19 gene
1700007G11Rik,1700007G11Rik,NA,NA,NA
1700007J10Rik,1700007J10Rik,69320,ENSMUSG00000086330,RIKEN cDNA 1700007J10 gene
1700007K09Rik,1700007K09Rik,NA,NA,NA
1700007K13Rik,1700007K13Rik,NA,NA,NA
1700007L15Rik,1700007L15Rik,100502742,ENSMUSG00000097318,RIKEN cDNA 1700007L15 gene
1700007P06Rik,1700007P06Rik,69308,ENSMUSG00000089730,RIKEN cDNA 1700007P06 gene
1700008F21Rik,1700008F21Rik,NA,NA,NA
1700008I05Rik,1700008I05Rik,NA,NA,NA
1700008J07Rik,1700008J07Rik,629159,ENSMUSG00000101225,RIKEN cDNA 1700008J07 gene
1700008K24Rik,1700008K24Rik,69311,ENSMUSG00000101012,RIKEN cDNA 1700008K24 gene
1700008O03Rik,1700008O03Rik,69349,ENSMUSG00000008028,RIKEN cDNA 1700008O03 gene
1700008P02Rik,1700008P02Rik,69347,ENSMUSG00000069118,RIKEN cDNA 1700008P02 gene
1700009C05Rik,1700009C05Rik,74220,ENSMUSG00000101404,RIKEN cDNA 1700009C05 gene
1700009J07Rik,1700009J07Rik,75188,ENSMUSG00000096573,RIKEN cDNA 1700009J07 gene
1700009N14Rik,1700009N14Rik,75471,ENSMUSG00000028287,RIKEN cDNA 1700009N14 gene
1700009P17Rik,1700009P17Rik,NA,NA,NA
1700010B08Rik,1700010B08Rik,75485,ENSMUSG00000057047,RIKEN cDNA 1700010B08 gene
1700010D01Rik,1700010D01Rik,76386,ENSMUSG00000071721,RIKEN cDNA 1700010D01 gene
1700010I02Rik,1700010I02Rik,75476,ENSMUSG00000100010,RIKEN cDNA 1700010I02 gene
1700010I14Rik,1700010I14Rik,66931,ENSMUSG00000023873,RIKEN cDNA 1700010I14 gene
1700010J16Rik,1700010J16Rik,69355,ENSMUSG00000100314,RIKEN cDNA 1700010J16 gene
1700010K23Rik,1700010K23Rik,75501,NA,RIKEN cDNA 1700010K23 gene
1700011A15Rik,1700011A15Rik,NA,NA,NA
1700011B04Rik,1700011B04Rik,100503727,ENSMUSG00000102099,RIKEN cDNA 1700011B04 gene
1700011E24Rik,1700011E24Rik,NA,NA,NA
1700011H14Rik,1700011H14Rik,NA,NA,NA
1700011I03Rik,1700011I03Rik,NA,NA,NA
1700011L22Rik,1700011L22Rik,67687,ENSMUSG00000031682,RIKEN cDNA 1700011L22 gene
1700011M02Rik,1700011M02Rik,NA,NA,NA
1700012A03Rik,1700012A03Rik,76382,ENSMUSG00000029766,RIKEN cDNA 1700012A03 gene
1700012B07Rik,1700012B07Rik,69324,ENSMUSG00000020617,RIKEN cDNA 1700012B07 gene
1700012B09Rik,1700012B09Rik,69325,ENSMUSG00000031927,RIKEN cDNA 1700012B09 gene
1700012D01Rik,1700012D01Rik,72243,ENSMUSG00000040195,RIKEN cDNA 1700012D01 gene
1700012D14Rik,1700012D14Rik,NA,NA,NA
1700012I11Rik,1700012I11Rik,69334,ENSMUSG00000102069,RIKEN cDNA 1700012I11 gene
1700012L04Rik,1700012L04Rik,NA,NA,NA
1700012P22Rik,1700012P22Rik,NA,NA,NA
1700013D24Rik,1700013D24Rik,76921,ENSMUSG00000079346,RIKEN cDNA 1700013D24 gene
1700013F07Rik,1700013F07Rik,NA,NA,NA
1700013G24Rik,1700013G24Rik,69380,ENSMUSG00000041399,RIKEN cDNA 1700013G24 gene
1700013H16Rik,1700013H16Rik,75514,ENSMUSG00000054727,RIKEN cDNA 1700013H16 gene
1700015E13Rik,1700015E13Rik,NA,NA,NA
1700015F17Rik,1700015F17Rik,NA,NA,NA
1700015G11Rik,1700015G11Rik,NA,NA,NA
1700016C15Rik,1700016C15Rik,NA,NA,NA
1700016D06Rik,1700016D06Rik,NA,NA,NA
