category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Substance dependence,mmu05031,Amphetamine addiction,26/1133,51/5304,0.5098039215686274,2.386584289496911,5.185412811991326,2.6518324419115227e-6,4.8430834597015706e-5,3.437832639375603e-5,12314/14683/18752/19055/12315/15182/18751/12322/14799/12323/19049/14810/19056/14812/12326/19046/14800/18750/242443/19045/18747/19058/75600/433759/53623/19047,26
Cellular Processes,Cellular community - eukaryotes,mmu04510,Focal adhesion,54/1133,142/5304,0.38028169014084506,1.7802419104210434,4.911567537006006,3.276608012900346e-6,5.684914902382101e-5,4.0354014474667416e-5,12443/19353/215449/18752/64099/18751/22340/15461/14784/22323/18479/11855/19878/26417/170758/17906/19046/19211/12540/12444/26395/104099/11848/18481/19354/67938/18750/19699/19045/214230/19877/224105/12643/109905/57342/26414/12827/11652/12841/18708/14360/12445/16419/12387/26420/12015/107746/12043/12928/11798/19047/26413/16403/18719,54
Organismal Systems,Endocrine system,mmu04926,Relaxin signaling pathway,39/1133,93/5304,0.41935483870967744,1.9631580445861687,4.883533459233753,5.165034916248219e-6,8.534605313991106e-5,6.058236443118212e-5,14702/14678/16653/14700/14683/14681/22340/15461/14784/14693/216869/14704/26417/18762/14688/26416/26395/14677/18033/18750/18747/21803/26414/18795/12827/11652/432530/18708/21812/18176/210044/109689/26420/14708/26400/14696/26413/13618/14706,39
Environmental Information Processing,Signal transduction,mmu04371,Apelin signaling pathway,39/1133,94/5304,0.4148936170212766,1.9422733845373796,4.803719753133623,7.043948519899674e-6,1.111022789275085e-4,7.886526094050352e-5,14702/14678/16653/12443/12314/14700/12315/15461/66734/18754/14693/19079/14704/26417/12326/17906/14688/17260/26395/14677/66922/17258/18747/20130/18795/11652/75600/432530/17532/21812/18176/210044/20104/14708/18576/14696/21780/26413/14706,39
Organismal Systems,Circulatory system,mmu04261,Adrenergic signaling in cardiomyocytes,42/1133,105/5304,0.4,1.872550750220653,4.706316288703019,9.500071484717035e-6,1.4332716544333962e-4,1.0173989599193529e-4,14678/11931/12314/14683/12315/12322/59069/12323/320707/269643/11932/26417/12297/17906/72930/19046/58200/98660/26416/14677/18750/19045/19052/18747/12293/12300/18795/11652/75600/432530/210044/52432/26932/56508/235542/12043/11606/19047/19053/26413/11941/12295,42
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,41/1133,103/5304,0.39805825242718446,1.8634606980351158,4.611831525100793,1.3939145247909672e-5,1.973518018578572e-4,1.4008894777715327e-4,14678/16653/12443/12314/14683/18752/19055/12315/18751/14681/12322/15461/12323/19079/19056/19878/26417/12297/12326/19046/17260/26395/13629/11848/14677/18750/18019/19045/18747/12293/19877/12300/19058/18795/75600/432530/18176/210044/19047/26413/12295,41
Cellular Processes,Cellular community - eukaryotes,mmu04540,Gap junction,29/1133,64/5304,0.453125,2.1212488967343335,4.703076530065069,1.4218429528664062e-5,1.973518018578572e-4,1.4008894777715327e-4,14678/16653/22142/14683/18752/22152/18751/15461/14784/108071/73710/26417/22143/22153/26395/14677/21872/18750/18747/22151/18795/22154/432530/15560/18176/210044/14745/26413/14816,29
Environmental Information Processing,Signal transduction,mmu04071,Sphingolipid signaling pathway,41/1133,104/5304,0.3942307692307692,1.8455428067078552,4.538436575941954,1.8360963136415457e-5,2.4504823878216016e-4,1.7394596655551483e-4,14678/16653/19353/18752/18751/15461/18754/269643/19878/26417/170758/72930/18762/26416/19211/26395/11848/14677/19354/18033/18750/19052/19877/11539/26414/18795/11652/18708/18176/14360/22059/52432/104725/26420/26932/235542/14127/81535/12043/19053/26413,41
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,72/1133,216/5304,0.3333333333333333,1.5604589585172108,4.382811709243421,2.113489894246071e-5,2.716225901123654e-4,1.9280960438736088e-4,16653/16002/19353/215449/18752/19055/18751/22340/15461/14784/16478/18479/17762/235584/19056/216869/18212/26417/68652/12297/170758/20111/16179/26416/17260/12540/60597/26395/66922/19354/19043/18033/18750/18747/19099/21803/12293/224105/19042/12300/26406/109905/19058/20130/26414/14182/11652/17532/14184/21812/19259/18176/26921/18015/110651/22059/109689/26420/26400/14183/17187/12064/12928/269881/12290/19418/12291/18099/26413/16590/216965/12295,72
Organismal Systems,Nervous system,mmu04730,Long-term depression,21/1133,42/5304,0.5,2.3406884377758166,4.546034851874738,3.5759980131619916e-5,4.431683252025754e-4,3.145802763458293e-4,14678/16653/14683/18752/18751/14681/15461/14799/26417/14800/26395/14677/18750/19052/18795/14687/18176/53623/19053/26413/14816,21
