category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,mmu05162,Measles,42/1012,108/5304,0.3888888888888889,2.038208168642951,5.29276926130064,1.05200176844326e-6,2.9720378355870624e-5,2.3485866774960352e-5,24088/21929/18035/16176/12487/14281/246730/56417/20846/170743/18036/15975/20847/18707/16175/54123/15976/16186/56489/246728/16193/15977/17858/11783/23960/12028/71609/22034/71586/16476/17857/228607/15481/16453/54131/16151/16160/14102/56480/20850/16391/19106,42
Cellular Processes,Cell growth and death,mmu04217,Necroptosis,40/1012,101/5304,0.39603960396039606,2.0756858294525107,5.299567579388179,1.095891604407497e-6,2.9720378355870624e-5,2.3485866774960352e-5,18412/21929/21926/16176/14325/216799/110095/20846/15975/13058/20847/16175/15976/208092/11796/15977/21937/12334/58203/20597/26926/15980/12028/71609/56532/16453/263876/234852/268749/106759/14102/20850/74568/12362/14319/16391/68953/66824/19106/225471,40
Organismal Systems,Immune system,mmu04610,Complement and coagulation cascades,20/1012,36/5304,0.5555555555555556,2.9117259552042163,5.5882421528853525,1.1070628040868714e-6,2.9720378355870624e-5,2.3485866774960352e-5,12267/12273/20720/16414/18793/17174/16411/12260/18792/12259/14962/19128/12509/12946/21824/12262/12266/21788/14068/12268,20
Human Diseases,Infectious disease: bacterial,mmu05133,Pertussis,27/1012,59/5304,0.4576271186440678,2.398472566490253,5.244793867117754,2.4346019820463837e-6,5.632475010395673e-5,4.4509378758065646e-5,21926/16362/16176/12475/83430/14281/15900/16414/216799/16175/12260/12259/16193/16402/16153/107607/22034/16476/54131/12262/12266/16160/106759/12362/66824/12268/225471,27
Organismal Systems,Immune system,mmu04620,Toll-like receptor signaling pathway,35/1012,86/5304,0.4069767441860465,2.1330085485798325,5.143415248201494,2.4585087481021062e-6,5.632475010395673e-5,4.4509378758065646e-5,24088/20302/20750/20303/21926/18035/16176/12475/26410/15945/14281/20846/170743/15975/20847/18707/54123/15976/56489/16193/15977/21897/26397/170744/20304/22034/16476/21939/54131/16151/16160/106759/56480/16391/225471,35
Organismal Systems,Immune system,mmu04621,NOD-like receptor signaling pathway,50/1012,141/5304,0.3546099290780142,1.8585484820452445,5.017004974837373,2.5822235004679304e-6,5.632475010395673e-5,4.4509378758065646e-5,13030/21929/21926/18035/16176/20310/15951/14825/246730/216799/20846/18036/15975/13058/20296/18439/20847/13057/54123/15976/22368/11796/56489/59027/637515/246728/16193/17951/12363/17948/15977/77040/107607/23960/18753/20304/56532/22034/16476/28240/228607/54131/16151/268749/106759/56480/12362/16391/66824/17952,50
Environmental Information Processing,Signaling molecules and interaction,mmu04061,Viral protein interaction with cytokine and cytokine receptor,24/1012,50/5304,0.48,2.5157312252964426,5.228575440652287,3.1111107137393403e-6,6.386927288794294e-5,5.0471269783263605e-5,20302/12977/20303/21926/57266/20310/15945/14825/12767/20305/20296/21938/16155/16186/20307/17000/16193/16153/50930/21937/20308/20304/16195/16154,24
Human Diseases,Infectious disease: parasitic,mmu05144,Malaria,17/1012,30/5304,0.5666666666666667,2.9699604743083,5.253748636126526,5.008393032526108e-6,9.710717601953398e-5,7.673678213578015e-5,24088/21926/16176/15894/21825/16414/16408/20296/16971/15234/16193/16153/12491/12946/21939/21826/12845,17
Metabolism,Glycan biosynthesis and metabolism,mmu00531,Glycosaminoglycan degradation,11/1012,15/5304,0.7333333333333333,3.8434782608695652,5.354636221874266,7.452357306912957e-6,1.3688803684803273e-4,1.0817272102001081e-4,110006/15211/50917/75612/27419/12091/15442/52120/15586/15932/27029,11
Human Diseases,Infectious disease: bacterial,mmu05150,Staphylococcus aureus infection,18/1012,34/5304,0.5294117647058824,2.774703557312253,5.040587799521549,9.600501631751043e-6,1.675287534740557e-4,1.3238586460625126e-4,12267/15894/246256/12273/16414/17174/16408/14961/12260/12259/16153/14962/12262/14129/12266/19204/12268/14999,18
Metabolism,Lipid metabolism,mmu00600,Sphingolipid metabolism,19/1012,38/5304,0.5,2.6205533596837944,4.867835791974294,1.599748135186407e-5,2.658629043714553e-4,2.100922363001698e-4,15211/20397/19156/11605/18010/12091/14420/208449/14421/11886/13244/20597/11883/20598/67630/56336/241447/71949/56632,19
Human Diseases,Endocrine and metabolic disease,mmu04936,Alcoholic liver disease,37/1012,100/5304,0.37,1.9392094861660079,4.60378506376814,1.7607056675282498e-5,2.778867900075408e-4,2.1959384401138804e-4,12267/11669/21926/18035/16176/12475/20310/20250/12273/12894/14825/12260/20787/12259/16172/56489/16193/53859/15977/26397/21937/80911/71609/22034/110695/54131/56752/12262/16151/12266/56484/16160/106759/14102/56480/12268/72535,37
Organismal Systems,Immune system,mmu04612,Antigen processing and presentation,23/1012,51/5304,0.45098039215686275,2.3636363636363638,4.751176615062053,1.8313456074995524e-5,2.778867900075408e-4,2.1959384401138804e-4,13030/13039/14972/21926/14964/14828/15040/14827/65972/14991/21354/12317/14961/21355/19141/12504/21356/12010/15481/16149/15015/18044/14999,23
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,37/1012,101/5304,0.36633663366336633,1.9200093922435721,4.532598472872147,2.2792839614944388e-5,3.314458760673163e-4,2.619177183822557e-4,12977/21929/21926/16362/12702/18035/16176/26410/20310/15894/19225/15945/14281/14825/217344/16477/20296/18707/21938/11796/16193/53859/15977/26397/21937/71609/20304/12051/56532/16476/16151/14102/16449/12608/74568/11491/26427,37
Human Diseases,Infectious disease: bacterial,mmu05134,Legionellosis,23/1012,52/5304,0.4423076923076923,2.3181818181818183,4.6380544550366984,2.6995192075696594e-5,3.675668220360473e-4,2.90461491097706e-4,24088/21926/18035/16176/12475/20310/14825/16414/12750/18034/12747/16193/17951/17948/11783/12946/15481/12266/16160/12362/12176/66824/17952,23
Environmental Information Processing,Signal transduction,mmu04630,JAK-STAT signaling pathway,36/1012,98/5304,0.3673469387755102,1.925304509155441,4.489178225000398,2.7383201641653954e-5,3.675668220360473e-4,2.90461491097706e-4,12982/12702/18413/16190/12575/83430/20846/18712/17210/15975/16188/20847/12983/18707/15976/16155/16186/12986/16193/16153/15977/15980/59004/54607/110157/16195/57914/16453/56717/12984/16160/20850/16154/16391/50931/16162,36
Organismal Systems,Immune system,mmu04623,Cytosolic DNA-sensing pathway,25/1012,59/5304,0.423728813559322,2.220807931935419,4.578485204334698,2.987664998099295e-5,3.861833645691311e-4,3.0517279902612693e-4,20303/18035/16176/13423/15951/15945/216799/56417/18036/54123/56489/16193/72935/15977/58203/20304/22040/56532/228607/54131/16151/56480/74568/12362/66824,25
Organismal Systems,Development and regeneration,mmu04380,Osteoclast differentiation,39/1012,111/5304,0.35135135135135137,1.8414699284264504,4.350229223120811,4.1552829868446515e-5,5.06515331448303e-4,4.002624546507477e-4,12977/18412/21926/12702/18035/16176/246256/83433/21682/21813/14281/16477/11433/19261/20846/15975/14282/17342/20847/18707/16175/13057/15976/18034/53859/15977/18733/21937/53313/15980/14284/22034/16476/14129/16151/16177/16416/17969/16391,39
Human Diseases,Infectious disease: parasitic,mmu05140,Leishmaniasis,25/1012,60/5304,0.4166666666666667,2.183794466403162,4.4775640025654795,4.2088666510030904e-5,5.06515331448303e-4,4.002624546507477e-4,24088/21926/18035/16176/246256/19225/14281/16414/20846/18036/13058/14961/16175/13057/16153/16401/15980/12946/22034/16476/14129/12266/16160/17969/14999,25
Metabolism,Carbohydrate metabolism,mmu00010,Glycolysis / Gluconeogenesis,20/1012,44/5304,0.45454545454545453,2.382321236076177,4.470577821994208,5.5965276119152754e-5,6.510627121861437e-4,5.144878015164219e-4,11669/18746/16828/11674/21991/66681/18641/74551/14433/14751/18648/18655/110695/353204/56752/67689/58810/72141/72535/17330,20
Organismal Systems,Immune system,mmu04657,IL-17 signaling pathway,25/1012,61/5304,0.4098360655737705,2.1479945571178645,4.378607642966255,5.8611217477521755e-5,6.598488677308094e-4,5.214308651650493e-4,21929/21926/18035/16176/20310/19225/15945/14281/14825/22027/14282/20296/50772/16172/56489/16193/20201/20202/71609/16819/22034/16476/16151/56480/12608,25
Human Diseases,Immune disease,mmu05330,Allograft rejection,13/1012,23/5304,0.5652173913043478,2.962364667468637,4.579380844847664,7.009517976115451e-5,7.644755542700914e-4,6.041097729415292e-4,14972/21926/14964/12487/15040/14991/14961/16153/21939/16160/14102/15015/14999,13
Human Diseases,Infectious disease: bacterial,mmu05152,Tuberculosis,45/1012,139/5304,0.3237410071942446,1.696761168140586,4.041823912415962,1.0811133085729544e-4,0.0011433592263392761,9.035141526191837e-4,13033/24088/21926/56644/16783/16176/12475/27060/246256/16784/11975/83430/16414/54411/20846/16411/14961/16175/16155/16193/16153/56619/15977/21897/21937/108960/11783/12795/15980/12028/110157/71609/12946/22034/114143/108664/14129/16149/12266/16160/12608/16154/56632/18044/14999,45
Human Diseases,Immune disease,mmu05332,Graft-versus-host disease,13/1012,24/5304,0.5416666666666666,2.838932806324111,4.384052369779005,1.2640337113324306e-4,0.0012974934272206421,0.0010253152704925602,14972/21926/14964/16176/12487/15040/14991/14961/16175/16193/14102/15015/14999,13
Environmental Information Processing,Signal transduction,mmu04064,NF-kappa B signaling pathway,31/1012,86/5304,0.36046511627906974,1.8892361430278517,4.036783961634046,1.4693184030270247e-4,0.0014651203504469474,0.0011577787115581368,20303/21929/12045/21926/17873/18035/16176/12475/20310/15894/19225/14825/12047/217069/18792/18034/11796/17000/53859/50930/21937/59004/71609/22034/12046/21939/12044/16151/106759/16177/225471,31
Organismal Systems,Immune system,mmu04622,RIG-I-like receptor signaling pathway,20/1012,48/5304,0.4166666666666667,2.183794466403162,4.000280628630759,2.443392644888833e-4,0.002368733425183897,0.0018718388098271184,21926/18035/15945/80861/56417/18036/100038882/217069/54123/56489/15977/26401/71609/22034/71586/228607/54131/16151/16160/56480,20
