category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,mmu04925,Aldosterone synthesis and secretion,43/1761,97/7649,0.44329896907216493,1.9254933642436056,5.016466341682946,2.5093654315915667e-6,3.9781881536825624e-5,2.3397577739951735e-5,15370/231991/67972/18750/269060/12322/11941/18754/227541/208647/18795/18751/224129/12288/14682/12323/223604/11911/16438/12912/11606/12313/101540/16835/432530/18752/16521/18749/239556/75292/16890/12315/18797/16527/14672/11931/12326/381290/320707/11909/11908/18976/12314,43
Human Diseases,Cancer: overview,mmu05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,39/1761,85/7649,0.4588235294117647,1.9929251427998798,5.034077853321392,2.594898709597503e-6,3.9781881536825624e-5,2.3397577739951735e-5,18019/18018/16476/19419/19697/26397/23797/19055/20848/18035/24088/14281/19211/18566/12675/19056/117149/26413/19058/18033/381319/17874/26406/58988/12995/18709/18037/60533/18021/56717/22034/15170/13649/16151/72508/21898/16653/18710/26399,39
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,60/1761,151/7649,0.3973509933774834,1.725915813937746,4.9268771121140755,2.62172858265613e-6,3.9781881536825624e-5,2.3397577739951735e-5,18019/18018/12293/18750/16519/16476/12443/12322/20191/16520/227541/18795/19055/18751/224129/12288/12296/13712/14281/14682/12323/241113/228785/19056/16438/207565/329251/16522/26413/30955/12298/12313/19058/19225/12295/19079/432530/18752/16521/17260/54720/18749/18021/12315/14677/19877/18797/12294/108079/107589/12326/13649/320207/232807/54195/81905/140723/20190/16653/12314,60
Environmental Information Processing,Signaling molecules and interaction,mmu04082,Neuroactive ligand signaling,72/1761,191/7649,0.3769633507853403,1.6373609711283748,4.878212075814209,2.746500104288143e-6,3.993868901652341e-5,2.348980352351702e-5,14812/14400/18750/14811/108071/18442/14402/14708/70839/242425/14397/15550/14394/18795/11554/110886/14395/18751/14810/224129/74191/14702/12669/14799/70155/14682/14406/15562/14407/14680/11552/20510/12672/108073/14401/72961/11539/242443/12671/53623/11549/15552/14816/432530/18752/14411/11548/14658/66066/18749/11553/14800/14707/14677/18797/14809/14404/14706/15465/214084/14672/18440/14813/13492/11551/14805/15561/11540/21333/18976/18441/15551,72
Human Diseases,Cancer: specific types,mmu05224,Breast cancer,58/1761,145/7649,0.4,1.737421919363998,4.902564859359001,2.9923523475164775e-6,4.173914736712173e-5,2.4548736952461887e-5,17873/216795/15213/17869/16476/12443/23882/14367/54485/13388/22411/21414/18034/22421/13197/56637/23797/17977/12571/14281/14365/19211/15205/16449/14257/109880/18128/57265/26413/14369/14362/12006/16450/16001/14370/18129/21415/22419/14366/58988/18709/13543/56717/212398/16590/15214/19645/14371/56636/13649/14172/72508/18131/12005/14165/16653/18710/14368,58
Organismal Systems,Nervous system,mmu04720,Long-term potentiation,32/1761,65/7649,0.49230769230769234,2.138365439217228,5.040329579166609,3.166473124360384e-6,4.173914736712173e-5,2.4548736952461887e-5,14812/18750/14811/12322/108071/18795/19055/18751/14810/12288/14799/14682/12323/11911/19056/16438/109880/223864/26413/12313/19058/14816/432530/18752/18749/14800/12315/18797/14813/12326/16653/12314,32
Human Diseases,Infectious disease: viral,mmu05167,Kaposi sarcoma-associated herpesvirus infection,70/1761,185/7649,0.3783783783783784,1.643507221019998,4.845328099051252,3.229103091439217e-6,4.173914736712173e-5,2.4548736952461887e-5,18019/22695/15894/11601/18018/17869/12524/16476/12443/14102/12774/14825/22339/14972/21414/14708/16193/19697/20310/56637/23797/19055/15015/20848/18035/17164/14702/12571/12768/14281/12675/16391/19056/16438/26398/26414/12912/26413/30955/12313/21937/14964/19058/18033/19225/16195/21415/18591/17096/18709/54720/66066/18021/56717/14707/12315/19645/14706/225326/26419/15162/54131/16151/54123/110557/320207/16653/18710/12314/26399,70
Human Diseases,Endocrine and metabolic disease,mmu04933,AGE-RAGE signaling pathway in diabetic complications,44/1761,101/7649,0.43564356435643564,1.8922416943568292,4.936248013957601,3.3984195027363526e-6,4.235887165910668e-5,2.4913225677954467e-5,20296/15894/16176/18018/13614/13653/16175/18712/18750/18787/16476/12443/22339/20293/21803/18754/21926/16193/19697/20339/18795/23797/18751/20848/12826/18799/14268/26414/11606/26413/21813/18033/12827/21809/18762/18709/20850/21808/20851/18797/26419/16653/18710/56458,44
Environmental Information Processing,Signal transduction,mmu04015,Rap1 signaling pathway,76/1761,206/7649,0.36893203883495146,1.6024765275687356,4.793684521285234,3.754181289981017e-6,4.517963000701293e-5,2.657224506520139e-5,12977/14812/21825/11601/15901/13836/18750/14811/58220/22339/70549/238130/26397/18795/23797/51791/18751/14810/224129/53978/14682/14254/217692/14257/109880/244668/22323/16542/223864/18595/15234/54519/106952/13636/26413/74206/12313/101540/21894/16001/14062/18762/16414/18591/432530/18752/22324/217944/18709/75292/50791/12927/16590/12315/14677/14186/18797/18590/16822/12801/56636/13649/14172/65086/18053/11540/13800/107746/64143/18441/14165/16653/18710/12314/26399/16399,76
Human Diseases,Infectious disease: viral,mmu05165,Human papillomavirus infection,110/1761,326/7649,0.3374233128834356,1.4656166497702434,4.6985353814016015,4.315570776707373e-6,5.0204473369029104e-5,2.9527589524839922e-5,21825/231991/216795/15213/58220/12443/19303/14102/14367/22339/23859/14972/22411/16362/21414/21926/19697/208647/22421/21923/13685/56637/12445/23797/15015/16402/20750/12826/12571/14365/19211/53310/16400/15205/103806/12675/16391/19664/14268/22215/16449/16404/18128/27060/55927/12912/57265/26413/14369/21937/14964/14362/12006/18033/19225/12827/269643/14370/16403/18762/18129/81877/105782/21415/235542/11975/12824/22419/226519/14366/58988/21826/433586/18709/22371/13543/18749/56717/21960/26931/11966/76252/15214/19645/21827/14371/231655/13649/73699/54131/17858/16151/110557/84653/72508/51792/16775/18131/14083/12005/19219/74915/16777/433759/73834/16653/18710/16399/56458/14368,110
