category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cancer: specific types,mmu05216,Thyroid cancer,10/619,37/7649,0.2702702702702703,3.339737152338122,4.233115760928321,5.231126261531896e-4,0.003367537530861158,0.0025008454495920023,17873/23882/21416/12443/17869/13197/19016/21415/19713/12575,10
Human Diseases,Infectious disease: parasitic,mmu05145,Toxoplasmosis,19/619,104/7649,0.18269230769230768,2.2575338635516338,3.831319217779912,5.891304751840196e-4,0.00371512891493596,0.00275897838002398,193740/15511/21937/21803/15944/19697/20848/21926/24088/26397/18035/12774/12703/14678/54396/16145/17874/21809/16452,19
Human Diseases,Infectious disease: viral,mmu05161,Hepatitis B,24/619,146/7649,0.1643835616438356,2.031292185805652,3.733208821395456,6.068141854250505e-4,0.0037501116659268124,0.002784957735213916,16476/18019/11911/231991/21803/17869/19697/20848/14102/21926/18018/24088/26397/18035/14281/13654/16193/17874/21809/12575/12447/208647/117149/16452,24
Cellular Processes,Cellular community - eukaryotes,mmu04550,Signaling pathways regulating pluripotency of stem cells,22/619,130/7649,0.16923076923076924,2.0911892630794084,3.7233453445902174,6.761151800406646e-4,0.00409646256142285,0.0030421694375410706,216795/16600/17125/14367/22411/17869/20848/15901/16878/22421/22419/26380/76073/22417/12006/14370/19712/14173/16873/15902/16452/75590,22
Organismal Systems,Immune system,mmu04621,NOD-like receptor signaling pathway,25/619,158/7649,0.15822784810126583,1.9552258645017486,3.6000316576386764,8.402583934605485e-4,0.004993073914986722,0.0037080228699271165,16476/14825/20293/16176/15944/19697/21926/14469/18035/21929/13057/56338/19766/16391/54396/13030/55932/16193/17874/20296/12363/22051/18797/20310/216799,25
Human Diseases,Infectious disease: parasitic,mmu05140,Leishmaniasis,14/619,68/7649,0.20588235294117646,2.5440938895752163,3.7949539824202536,9.074517060870792e-4,0.005290614663790707,0.003928986532809995,16476/16176/21803/19697/21926/24088/18035/14131/14281/13057/16175/17874/21809/16452,14
Organismal Systems,Endocrine system,mmu04920,Adipocytokine signaling pathway,14/619,69/7649,0.2028985507246377,2.5072229636393435,3.731719968634899,0.0010558042290717536,0.00604154642191059,0.004486653449076848,12702/21937/20525/19697/20848/21926/384783/18035/19079/241113/94180/12491/16452/21938,14
Human Diseases,Cancer: overview,mmu05206,MicroRNAs in cancer,26/619,170/7649,0.15294117647058825,1.8898983179701607,3.4816465605864235,0.0011193184529712742,0.006288534581238613,0.004670075076511727,15368/16402/18792/18712/21825/12443/12125/17869/20848/12505/13078/56289/17210/384783/12703/22352/13636/21859/20677/93759/12571/74747/20724/12575/12447/18590,26
Human Diseases,Infectious disease: bacterial,mmu05152,Tuberculosis,24/619,157/7649,0.15286624203821655,1.8889723511313705,3.339494997341642,0.0017237094711175553,0.00951118261741651,0.007063320765105771,12475/12795/12608/21937/16176/21803/19697/16149/56644/21926/24088/14131/240354/16175/21897/22337/16193/17874/18044/21809/14127/27060/117149/16452,24
Human Diseases,Endocrine and metabolic disease,mmu04932,Non-alcoholic fatty liver disease,23/619,149/7649,0.15436241610738255,1.9074606151944575,3.319188288090383,0.0018715021693206275,0.010145511760001297,0.007534394698280642,12702/16476/11911/13198/21937/12125/16176/21803/19697/14102/21926/12606/384783/22433/14281/16175/19016/19079/241113/13666/16193/26403/208104,23
Cellular Processes,Cellular community - eukaryotes,mmu04530,Tight junction,23/619,154/7649,0.14935064935064934,1.8455300757400919,3.1451778150207375,0.00289594101083022,0.015428375385285137,0.011457625051923555,16476/56332/58220/12443/12394/231830/21873/17886/11867/70737/70497/75723/218518/19079/241113/17698/12741/22323/434204/73699/434782/71978/15163,23
