Category,ID,Term,Genes,adj_pval
BP,GO:0043410,Positive Regulation Of MAPK Cascade,"BCAR3, TENM1, FLT1, PTPRJ, ARRB1, TNF, CX3CL1, PIK3CG, ICAM1, ROBO1, IGF1R, CCN2, CD36, IL11, EDN1, GPR37, FBXW7, PRKCA, ADRA2B, MTURN, DOK2, IL1B, DOK6, KIT, ADAM8, CD44, ROCK1, C5AR1, IQGAP1, PRKCZ, RASGRP1, THBS1, GPNMB, CCL7, ERBB4, CCL4, GCNT2, CCL3, CCL2, PTK2B, CCR1, CCL24, CD74, TGFB1, GDF15, NTRK3, LIF, OSM, VEGFA, NELL1, BMP2, IL6, PTPRC, GPR183, TAOK1, F2RL1, ACKR3, FGFR3",1.4187630054946164e-08
BP,GO:0098815,Modulation Of Excitatory Postsynaptic Potential,"NLGN3, NLGN1, NLGN2, NRXN1, PTEN, WNT7A, PRKCZ, GRIN2B, SLC8A2, GRIN1, STX1B, GRIN2A, DLG4, PTK2B, SHANK3, SHANK1",1.7403466637344244e-08
BP,GO:0007416,Synapse Assembly,"GABRB3, NLGN3, GABRA2, GABRB2, GPM6A, GABRA1, NLGN1, NLGN2, FZD5, BDNF, NRXN1, LRRC4, PTEN, WNT7A, GABRG2, NPAS4, PTPRD, SDK1, CDH2, SLITRK1, SRGAP3, SHANK3, PCDHB9, SHANK2",2.5040445954082504e-08
BP,GO:0048523,Negative Regulation Of Cellular Process,"SEMA5A, ACVRL1, BTG3, TENM1, BTG2, CDKN1A, TES, BTG1, ATP8A2, BMPR2, CELF1, PDE3B, PTEN, PTPRJ, CXCL1, CLU, ETS1, IFIT3, PPP1R9B, RND1, BCL7A, ADAMTS1, MYC, CYP1B1, CCN4, CCN2, SOX7, SOX4, KLF10, EPHA4, KLF11, DUSP1, WNT9A, CBFA2T3, TENT5C, SFRP4, IL1A, IL1B, IRF1, TXNIP, MYH9, CRYAB, VGLL4, CEBPA, DCUN1D3, ADAM22, TOB2, DLL1, THBS1, TOB1, DLL4, BRINP2, BRINP1, GPNMB, TMEM127, CLMN, ERBB4, LMNA, PDPN, SLIT1, PLXNA1, PTK2B, IGFBP7, S100A11, PLXNA4, CDKN2B, TGFB1, OSGIN1, OSM, INHBA, MYO16, NR4A1, BMP2, IL6, REST, RGCC, MYO1C, STRN, NF2, TGFBI, HSPA1B, PTPN2, HSPA1A",3.348071328140905e-08
BP,GO:0051963,Regulation Of Synapse Assembly,"ROBO2, NLGN3, NLGN1, NLGN2, CLSTN2, CLSTN3, BDNF, NRXN1, CLSTN1, MYCBP2, WNT7A, PTPRD, SLITRK1, SLITRK4, SLITRK3, SLIT1, SLITRK5, MDGA1, TLR2, LRRC4B",3.685331431509065e-08
BP,GO:0070372,Regulation Of ERK1 And ERK2 Cascade,"RGS14, C5AR1, PTEN, ARRB1, PRKCZ, TNF, RASGRP1, CX3CL1, ICAM1, SPRED2, DUSP10, GPNMB, CCL7, ERBB4, CCL4, GCNT2, CCL3, TIMP3, CCL2, PTK2B, CCN2, CD36, FAM83D, CCR1, EPHA4, CCL24, CD74, EPHA7, TGFB1, FBXW7, NTRK3, FN1, PRKCA, MTURN, DUSP6, NELL1, BMP2, PTPRC, GPR183, IL1B, CNKSR3, F2RL1, ACKR3, SPRY1, FGFR3, CD44, PTPN2, EPHA2",8.657579060662886e-08
BP,GO:2000147,Positive Regulation Of Cell Motility,"SEMA5A, FLT1, CSF1, FAM107A, NEDD9, THBS1, CXCL16, IGF1R, PPP3CA, CDH5, GPNMB, CCL7, PLAU, CLEC7A, PDPN, GCNT2, CCL3, HAS2, PTK2B, CCR1, EPHA4, CCL24, SUN2, EDN1, TGFB1, HSPA5, HGF, NTRK3, STAT3, PRKCA, SEMA4F, RHOC, VEGFA, BMP2, DAB2, MYO1C, IL1B, TRIP6, KIT, CNTN1, PECAM1, F2RL1, ITGA6, EPHA2, HBEGF",9.048165602299017e-08
BP,GO:0098916,Anterograde Trans-Synaptic Signaling,"GABRB3, GRIA1, NLGN3, GABRB2, CHRM3, GABRB1, NLGN1, CHRM1, NLGN2, KCNA1, NRXN1, SLC1A1, HTR4, CACNA1E, GRIN2A, MAPK1, DLGAP1, NPTX1, BSN, SLC12A6, ASIC2, SLC12A7, SLC12A5, HOMER1, KCND2, SYT1, HTR1A, GRIN2B, SYN2, SYN1, GRIN1, CACNB2, DLG2, DLG4, KCNQ2, KCNQ3, PMP22, APBA1, AMPH, PCDHB9, APBA2, SCN2B",1.0288990954596295e-07
BP,GO:0001819,Positive Regulation Of Cytokine Production,"CD86, SERPINE1, TNF, PIK3CG, SCAMP5, TRIM6, PDE4B, CYP1B1, CCBE1, FCER1G, IL1R1, IL16, RUNX1, IL17RA, FOXP1, TLR1, IL1A, IRF4, DDIT3, IL1B, IRF1, IRF7, IRF5, LCP1, PLCB1, RAB7B, ATF4, TLR2, PTGER4, CD274, CEBPB, PTGS2, PRKCZ, RASGRP1, MALT1, HSPD1, CLEC7A, HMOX1, NLRP3, RIPK1, CD14, EGR1, CD74, TGFB1, CADM1, FZD5, STAT3, OSM, SORL1, AGT, IL6, PTPRC, RGCC, CNTN1, F2RL1, HSPA1B, HSPA1A",1.0533366292326161e-07
BP,GO:0050806,Positive Regulation Of Synaptic Transmission,"NLGN3, SLC24A2, LGI1, NLGN1, NLGN2, CLSTN2, RGS14, SYT1, CLSTN3, NRXN1, CLSTN1, AKAP5, TNF, PRKCZ, GRIN2B, SLC8A2, GRIN1, STX1B, GRIN2A, DLG4, CCL2, PTK2B, SHANK3, SHANK2",1.2778019171558754e-07
