ID,logFC
Il4ra,1.738013926092536
Gpr183,1.7216834023223777
Anks1b,-1.7200500116983846
Snph,-1.6864402601413546
Klf6,1.6697042253428729
Prkca,-1.6349242865663547
Ell2,1.5844222103597656
Tgm2,1.5796588804140617
Pmaip1,1.566099095863411
Pik3ap1,1.5512207735758068
Dusp16,1.5357082727180993
Adm,1.5202752958998815
Hspa5,1.511748174704812
Bsn,-1.5056662803114362
Trib1,1.4594485914972295
Cebpd,1.448371220260949
Hbegf,1.439830979356744
Slitrk5,-1.4353468475415077
Scn8a,-1.431410566063395
Sbno2,1.429984196806815
Celsr2,-1.4249746708035396
Plxna4,-1.36581318433187
Btbd3,-1.3342423610133247
Tlr13,1.2929359592576566
Uhmk1,-1.2682129123356014
Agap2,-1.2641153203556077
Cd68,1.229506248266815
Nes,1.2191757486111194
Gng7,-1.2048379413916577
Map2k3,1.1628488745952592
Epha5,-1.1628002149555543
Coq10b,1.1368194502770086
Tubb4a,-1.1244598016507068
Cd63,1.1011756460891644
Nfatc2,1.0751965451140395
Nfe2l2,1.0727608337534025
Bcl2l11,1.0621893962287623
Zfp704,-1.059192845436009
Pgm2,1.0316727677668909
Herc2,-1.007255270018634
Baz1a,0.9674533782117196
Fkbp5,-0.9439901352233298
Adgrl4,0.9078213368130642
Ppp1r9b,-0.8953502110532304
Sgpl1,0.8884133367215185
Insig1,0.8815958047089056
Celf2,-0.8718444824112823
Hmgb2,0.8378447415328003
Ptpre,-0.83417441870526
Rcan1,0.8182493688198276
Fcrls,0.8129883392912838
Arl4d,0.7511651317020848
Nf1,-0.7279555222461834
Gpr146,0.6568452032323968
Slc16a6,0.5940026792027953
Cd47,-0.5192403654882156
Ptk2b,-0.4684319418165769
Mbnl2,-0.4177025953810826
Ppp1r18,0.3842102509235519
Myo5a,-0.3097745957072872
Dnajb14,-0.2921825824085802
Klhdc8b,-0.0924261760481792
Gdf15,5.872681172234903
Il1b,4.837921759852769
Ccl7,4.549901362275203
Cxcl2,3.950334349548999
Tnfaip6,3.85168196723189
Il6,3.809605848829577
Trib3,3.691993336004592
Cd300lb,3.625993526504182
Serpine1,3.103790637833615
Rsad2,2.9693006210378483
Ccl12,2.822041860714404
Thsd4,-2.55125594942148
Kcne4,2.5260236221492915
Gabrb3,-2.4452871826873874
Dusp1,2.419017393784328
Epha2,2.4009792768804408
Angpt2,2.396490799618696
Brinp1,-2.382908043797157
Jag1,2.32767909952983
Edn1,2.2679955932255567
Astn1,-2.2609233087755656
Pcdh19,-2.2429886488333426
Gadd45g,2.2191407731704085
Iqsec3,-2.215270228963889
Cd180,2.2107100420766
Wipf3,-2.1839816076177354
Htra1,-2.153675081058004
Itga5,2.110791763698333
Plscr1,2.057579431310917
Sv2b,-2.0378292790132515
Slc24a2,-2.03173996247876
Tenm4,-1.9588917338646807
Nlgn1,-1.9588227612396265
Map3k8,1.9541275778190617
Sik1,1.9441709768245607
Dusp2,1.9192505767838524
Map3k14,1.907448337239077
Chrm1,-1.885150385346356
Add2,-1.8558611601566
Cdkl5,-1.844859627098249
Bag3,1.842604284704333
Rhbdf2,1.8403792500849003
Grm5,-1.833543925426267
Dlgap1,-1.8314222326335583
Gla,1.814092557225231
Pcdh1,-1.8137763708483596
St6galnac5,-1.8099667966269544
Gadd45a,1.7997468644501045
Dpp6,-1.774628344116687
Rasl10b,-1.7729358280327596
Cebpb,1.7622520696284023
Hpcal4,-1.7438786200024587
Map2,-1.7368663981457213
Rnf125,1.7318398557926855
Tnfaip3,1.7294808467542286
Atp2b3,-1.7237137046756943
Cacna2d1,-1.7208982403705846
Jph4,-1.7129517278374051
Lsamp,-1.712189090865608
Bdnf,-1.707741646759286
Sult1a1,-1.687698578033524
Adora1,-1.661776954703433
Clmn,-1.655002845009144
Slc17a7,-1.6546007133167586
Slc16a10,1.6275864035689105
Myt1l,-1.6263067492465766
Gpr37,-1.60611658524351
Cacna1e,-1.599543064566762
Tmod2,-1.5969599013010882
Cplx2,-1.5938147632265454
Epha4,-1.589272741469063
Cnksr2,-1.5740590893784066
Robo1,-1.5709067680086548
Ehd4,1.5625344273446984
Nfkb2,1.5596681779860877
Mafk,1.5504445260125153
Gabra4,-1.5441876044610627
Arhgap25,1.5394122276847786
S100a6,1.5278327770400328
Mgat3,-1.526810583360007
St8sia3,-1.521675053500002
Dab2,1.5162376548893397
Sox7,1.5071201464356514
Pdk4,1.50293765642664
Tenm1,-1.4979919837076994
Camk2b,-1.4807416781989675
Frrs1l,-1.478785416572393
Odc1,1.4784352973241224
Nlgn3,-1.4761723379265683
Tagln2,1.47078250575529
Btg2,1.4590008087242088
Shank3,-1.4476559000268716
Nfatc1,1.441839539650289
Cd83,1.436640411802053
Map1b,-1.436112712876998
Dusp5,1.4319423016621695
Arrdc3,1.429662745091952
Clstn2,-1.4224182003645842
Cap2,-1.418834456515346
Cdh11,-1.4182658195064557
Fzd3,-1.404651432793609
Ptgs2,1.4037938810504609
Id1,1.3773551631905954
Ddit3,1.366422858882462
Psd3,-1.3591514546468788
Ehd3,-1.3409687812754834
Arhgef17,-1.3359719916223634
Tmcc2,-1.3213465569589036
Dagla,-1.3165089022608534
Fbxo30,1.316204179173852
Pvr,1.3053052499434334
Synpo,-1.3008904298917716
Tiparp,1.3001770830862862
Arid5a,1.2666385474613389
Rbfox1,-1.259234318237174
Slc1a1,-1.2566726948760234
Map9,-1.2506770060387973
Rell1,1.2451739028838098
Prkcb,-1.2371471481123264
Pcdh17,-1.236690081991372
Atp2b1,-1.2329725284176472
Rhoc,1.1947897950269286
Sowahc,1.1900108360796402
Myc,1.1799899721672131
Vldlr,-1.1750197063551169
Prkch,1.1526374838422342
Pde4b,1.1490770609805965
Nr1d1,1.1460536292917447
Lsm11,-1.1413852759292795
Fry,-1.129806204236356
Ccnl1,1.1250377160627325
Smad7,1.1102601057666095
Hsph1,1.0965820103190755
Swap70,1.0855457279610328
Nr2c2,-1.0729195561632032
Spty2d1,1.05529617779381
Dnajb1,1.041081979842628
Sort1,-1.0404034059385567
Syngap1,-1.0371567573494551
Sgip1,-1.0293304912842616
Srgap3,-1.0147839887124854
Atf4,1.0137306516151268
Pxdc1,1.0136700027787395
Atp2b2,-1.0135740654066634
Slc24a3,-1.0105500042764797
Herc3,-1.0102175217122178
Per1,1.004101160162507
Tbc1d16,-1.000910339450962
Tuba4a,-0.999926597989618
Mcl1,0.9978954591527688
Tob1,0.9970581448254172
Zfp36l1,0.9884948397883192
