"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_3064941",-0.0873311891666666,0.95009643,-1.50770968435128,0.15156435004407,0.485194947642301,-5.35680349815882
"ILMN_2723474",-0.0924346249999999,0.947180264285714,-1.50770014289483,0.151566772583675,0.485194947642301,-5.35681649282605
"ILMN_2644123",-0.0903717224999998,0.948359015714286,-1.50767297225614,0.151573671283141,0.485194947642301,-5.35685349663494
"ILMN_2740838",-0.0927600483333331,0.946994291428571,-1.50764966578871,0.151579589068127,0.485194947642301,-5.35688523741972
"ILMN_2654554",0.119671325833334,1.06838368142857,1.50764900073593,0.15157975793565,0.485194947642301,-5.35688614314141
"ILMN_2737496",-0.0837557699999999,0.95213958,-1.50747641959472,0.151623584360242,0.485268063096557,-5.35712116786284
"ILMN_2965275",0.1087257,1.06212897142857,1.50737287008908,0.151649885508133,0.485268063096557,-5.35726217426673
"ILMN_2920318",-0.0955699033333331,0.94538851,-1.50733599470022,0.151659252625927,0.485268063096557,-5.35731238683801
"ILMN_1219477",0.122174248333333,1.06981382285714,1.50706589642272,0.151727877968687,0.485346480890032,-5.35768014724517
"ILMN_2723931",-0.0828292333333331,0.952669042857143,-1.50706275908362,0.151728675242033,0.485346480890032,-5.357684418697
"ILMN_2841840",0.0975508925000001,1.05574336714286,1.50698028597333,0.151749634899678,0.485346480890032,-5.3577967025492
"ILMN_3001871",-0.0876858833333331,0.949893814285714,-1.50694222143117,0.151759309411659,0.485346480890032,-5.35784852437368
"ILMN_3163115",-0.0864969083333332,0.950573228571429,-1.50683499416927,0.151786565143145,0.485373240976034,-5.35799450049636
"ILMN_1236683",0.108302078333334,1.06188684857143,1.50665859011264,0.151831413590752,0.485405501520724,-5.3582346352134
"ILMN_2750605",-0.0911975099999998,0.947887187142857,-1.50664321288817,0.151835323575793,0.485405501520724,-5.35825556688435
"ILMN_2888454",0.1261441925,1.07208244571429,1.50657243106336,0.151853322439394,0.485405501520724,-5.35835191395548
"ILMN_2744752",-0.0913426291666665,0.947804158571429,-1.5063977224289,0.15189775612285,0.485487144165284,-5.35858971018489
"ILMN_2677504",-0.0947877641666666,0.94583555,-1.50628848701573,0.151925543509311,0.485515569152937,-5.35873838033511
"ILMN_1216228",-0.104697491666667,0.940172828571428,-1.50594288542885,0.152013485886424,0.48566344554535,-5.35920869395277
"ILMN_2672725",-0.0927293858333332,0.947011712857143,-1.50587096795885,0.152031791476841,0.48566344554535,-5.359306553161
"ILMN_2647885",-0.0979018908333334,0.944056095714286,-1.50583912166832,0.152039898095074,0.48566344554535,-5.35934988579428
"ILMN_2642546",-0.0804308449999998,0.954039497142857,-1.5057369238644,0.152065915451088,0.48566344554535,-5.35948893979645
"ILMN_2911520",-0.0924869599999999,0.947150308571429,-1.50572512415353,0.152068919642482,0.48566344554535,-5.35950499445724
"ILMN_2507286",-0.1116065125,0.93622485,-1.50549310810755,0.152128000709348,0.48566344554535,-5.35982065607351
"ILMN_2592239",-0.0899666933333333,0.948590414285714,-1.50546077030493,0.152136236800077,0.48566344554535,-5.35986464932411
"ILMN_2927643",-0.0851125641666665,0.951364215714286,-1.50539840845996,0.152152120743801,0.48566344554535,-5.35994948614698
"ILMN_2770066",-0.0986030791666664,0.94365535,-1.50536698242204,0.152160125673181,0.48566344554535,-5.35999223702725
"ILMN_2776025",0.106326091666667,1.0607577,1.50528939196465,0.152179891241341,0.48566344554535,-5.3600977855376
"ILMN_2748402",0.0909378258333336,1.05196450857143,1.50515391643156,0.152214407727668,0.48566344554535,-5.36028206711573
"ILMN_1237625",-0.111667978333333,0.93618971,-1.50513660173494,0.152218819641338,0.48566344554535,-5.36030561867311
"ILMN_2634283",-0.0842504883333332,0.951856997142857,-1.50507019759929,0.152235740900439,0.48566344554535,-5.36039594013016
"ILMN_1377920",-0.0889543933333333,0.949169001428571,-1.50481619244269,0.152300481601237,0.48566344554535,-5.36074140519124
"ILMN_2800732",-0.0829452841666665,0.952602681428571,-1.50479831441528,0.152305039209878,0.48566344554535,-5.36076571895343
"ILMN_2614403",-0.0952426024999999,0.945575645714286,-1.50470910028073,0.152327784088306,0.48566344554535,-5.36088704520935
"ILMN_1219688",-0.0981715741666666,0.943901944285714,-1.50466209752049,0.152339768443736,0.48566344554535,-5.36095096420515
"ILMN_2693151",-0.086708865,0.950452077142857,-1.504625388973,0.152349128618092,0.48566344554535,-5.36100088308601
"ILMN_2673599",-0.105513318333333,0.939706728571428,-1.50459895760589,0.152355868550446,0.48566344554535,-5.36103682577147
"ILMN_2828677",0.132532555,1.07573280857143,1.50454722144984,0.152369061861595,0.48566344554535,-5.36110717781293
"ILMN_2598972",-0.0857301783333332,0.95101124,-1.50445102506207,0.152393595577406,0.48566344554535,-5.36123798316321
"ILMN_2882658",-0.10072165,0.942444771428571,-1.50438468995737,0.152410515459589,0.48566344554535,-5.36132818030994
"ILMN_1252389",0.106242225,1.06070974285714,1.50432320297783,0.152426200147608,0.48566344554535,-5.3614117827366
"ILMN_3141499",-0.103664390833333,0.940763278571428,-1.50428518598426,0.152435898561299,0.48566344554535,-5.36146347229977
"ILMN_2978444",-0.104157159166666,0.94048159,-1.50425222801793,0.152444306797244,0.48566344554535,-5.36150828260628
"ILMN_3021928",-0.0837563249999998,0.952139222857143,-1.50389534408055,0.15253537983875,0.485871455688265,-5.36199346256133
"ILMN_2846120",-0.0842256183333331,0.951871008571429,-1.50384819859828,0.152547414269873,0.485871455688265,-5.36205754997512
"ILMN_1217679",-0.1022252375,0.941585478571428,-1.50368179904626,0.15258989602536,0.485920481902034,-5.36228373403096
"ILMN_2594926",-0.0954376374999999,0.945464107142857,-1.50363143570989,0.152602755717923,0.485920481902034,-5.36235218839685
"ILMN_1254035",0.0820519583333335,1.0468868,1.5035657243096,0.152619535721342,0.485920481902034,-5.36244150145696
"ILMN_2705367",-0.108438204166666,0.938035258571429,-1.50347287634831,0.152643247919602,0.485935770786673,-5.36256769282965
"ILMN_2838139",-0.0876980958333332,0.949886735714286,-1.50307798685451,0.152744132093684,0.486171476688057,-5.36310432994468
"ILMN_2460929",-0.0960558291666666,0.945111021428572,-1.50303496216526,0.152755127165793,0.486171476688057,-5.36316279226151
"ILMN_3048899",0.0946798191666668,1.05410267714286,1.50288402396997,0.152793705044575,0.486195193546874,-5.36336787857539
"ILMN_2642288",-0.0869475858333332,0.950315648571428,-1.50285775603835,0.152800419624258,0.486195193546874,-5.36340356840225
"ILMN_1252649",-0.0851665474999999,0.951333421428571,-1.5027375154535,0.152831158535722,0.486232794464832,-5.36356693150186
"ILMN_2644963",-0.0892073124999999,0.949024392857143,-1.50258233466043,0.15287083737199,0.486263363202041,-5.36377775129061
"ILMN_3119914",0.123490801666667,1.07056609571429,1.50255192979339,0.152878612729474,0.486263363202041,-5.36381905572218
"ILMN_2752464",-0.0828976916666664,0.952629957142857,-1.50241405421645,0.152913875436304,0.486315328847364,-5.36400634929274
"ILMN_2600661",-0.0834246599999998,0.952328815714286,-1.50225386928416,0.152954852456568,0.486385452738079,-5.36422393245088
"ILMN_1237300",0.0997209266666668,1.05698341,1.50193903596396,0.153035416911618,0.4865165534121,-5.36465152825423
"ILMN_2673252",-0.0910895375,0.947948935714286,-1.50191587173401,0.153041345934848,0.4865165534121,-5.36468298649334
"ILMN_2477324",-0.0840716741666665,0.95195889,-1.50187081720707,0.153052878459875,0.4865165534121,-5.36474417187424
"ILMN_2667404",0.0884635933333335,1.05055068142857,1.5016944674941,0.153098025352854,0.48659987105656,-5.36498364692358
"ILMN_1221898",-0.0806931575000001,0.953889624285714,-1.50155425714752,0.153133928222246,0.486653790938295,-5.36517403145465
"ILMN_1214880",-0.115710058333333,0.93388,-1.50127780614251,0.153204738059775,0.486809654146416,-5.36554937168453
"ILMN_2698231",-0.0892852758333333,0.948979825714286,-1.50121487227794,0.153220861685652,0.486809654146416,-5.36563481045019
"ILMN_2700931",-0.080861855,0.953793245714286,-1.50101660452322,0.153271667051217,0.486910870097061,-5.36590396061477
"ILMN_2649828",0.0996070916666668,1.05691837142857,1.50087428990471,0.153308143305984,0.486966546172296,-5.36609713767622
"ILMN_2648080",-0.0921714266666667,0.94733068,-1.50072914585946,0.153345352227008,0.486996336333931,-5.366294141401
"ILMN_1254656",0.102740279166667,1.05870866428571,1.50059366856018,0.153380089796769,0.486996336333931,-5.36647801172687
