"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5842",0.0141,0.0141,0.282109721967679,0.792930119217791,0.893380107408242,-6.94559323534805
"27065",-0.006669,-0.006669,-0.282025360698383,0.792990008698173,0.893422796116528,-6.94562257821739
"3090",-0.0206666666666667,-0.0206666666666667,-0.281823882924946,0.793133048318432,0.893559161025474,-6.9456926230096
"20730",-0.00766666666666667,-0.00766666666666667,-0.28174872138621,0.793186412017349,0.893572154827583,-6.94571874103141
"24343",0.0170666666666667,0.0170666666666667,0.281745653312704,0.793188590338838,0.893572154827583,-6.94571980702021
"22886",-0.00955,-0.00955,-0.281620500462906,0.793277450421515,0.893614758211988,-6.94576328135843
"4757",-0.0130666666666667,-0.0130666666666667,-0.281617047780671,0.793279901924137,0.893614758211988,-6.94576448045426
"43959",0.00872666666666667,0.00872666666666667,0.281599412265516,0.793292423687906,0.893614758211988,-6.94577060494329
"38289",0.0118,0.0118,0.281560502945961,0.793320050787403,0.89362109074438,-6.94578411613287
"23616",-0.0181666666666667,-0.0181666666666667,-0.281525213188248,0.793345108185592,0.89362452841198,-6.94579636889002
"8849",0.00733333333333333,0.00733333333333333,0.281452764477203,0.793396551169544,0.893657685808228,-6.94582151878776
"11601",0.0278666666666667,0.0278666666666667,0.281253189525424,0.793538268249537,0.893748760880102,-6.9458907673194
"34792",-0.0339,-0.0339,-0.281235911015183,0.793550538090461,0.893748760880102,-6.94589676040531
"19853",-0.00716666666666667,-0.00716666666666667,-0.281215043368234,0.793565356753246,0.893748760880102,-6.94590399792034
"43920",-0.00687333333333333,-0.00687333333333333,-0.281214922045421,0.793565442908071,0.893748760880102,-6.94590403999717
"40491",-0.0176666666666667,-0.0176666666666667,-0.281151374991721,0.793610570003755,0.893774797195698,-6.94592607681109
"37793",0.0109666666666667,0.0109666666666667,0.281088870793657,0.793654957507607,0.893799999152123,-6.94594774733068
"29267",-0.0129333333333333,-0.0129333333333333,-0.280943271887466,0.793758358675666,0.893891657999449,-6.94599820930666
"18116",-0.00856666666666666,-0.00856666666666667,-0.280777469897949,0.793876114039299,0.893999476304648,-6.94605564281221
"16379",-0.00923666666666667,-0.00923666666666667,-0.280652037087179,0.793965203063395,0.89405016904407,-6.94609907092873
"4473",0.0095,0.0095,0.280635141121081,0.793977203771348,0.89405016904407,-6.94610491933303
"9553",0.0115333333333333,0.0115333333333333,0.28062109885955,0.793987177630706,0.89405016904407,-6.94610977969354
"39640",0.00862666666666667,0.00862666666666667,0.280481243691352,0.79408651584881,0.894092681744445,-6.94615817417607
"18457",-0.0437333333333333,-0.0437333333333333,-0.28047275139456,0.794092548028214,0.894092681744445,-6.94616111204544
"2401",-0.00800000000000001,-0.008,-0.28043966828198,0.794116047526932,0.894092681744445,-6.94617255617705
"21089",0.00829,0.00829,0.280423584492269,0.794127472214862,0.894092681744445,-6.94617811942474
"18608",0.0116,0.0116,0.280412176096222,0.794135575901363,0.894092681744445,-6.94618206530774
"6847",0.00793333333333334,0.00793333333333333,0.280366768076245,0.794167830742714,0.894092681744445,-6.94619776929835
"29893",-0.00905,-0.00905,-0.280339218353873,0.794187400484576,0.894092681744445,-6.9462072959559
"11093",-0.0138,-0.0138,-0.280319976197496,0.794201069119791,0.894092681744445,-6.94621394933614
"5399",-0.0130333333333333,-0.0130333333333333,-0.280243487823258,0.794255403421707,0.894117476736182,-6.9462403924737
"23704",0.0246333333333333,0.0246333333333333,0.280168668299113,0.79430855364053,0.894117476736182,-6.94626625197649
"16354",0.00965333333333333,0.00965333333333333,0.280127826396834,0.794337567455049,0.894117476736182,-6.94628036517029
"2282",0.00669333333333333,0.00669333333333333,0.280124732657032,0.79433976524396,0.894117476736182,-6.94628143415255
"38768",0.0115,0.0115,0.280117045449847,0.79434522623665,0.894117476736182,-6.94628409027012
"41106",0.00836666666666667,0.00836666666666667,0.28007956922219,0.794371849561694,0.894117476736182,-6.9462970382206
"33253",-0.00691666666666667,-0.00691666666666667,-0.280072012508647,0.794377217936042,0.894117476736182,-6.94629964884667
"43619",-0.00716666666666666,-0.00716666666666667,-0.280040232217662,0.794399795167135,0.894118106483985,-6.94631062727971
"4578",-0.0067,-0.0067,-0.279950993157508,0.794463193370487,0.894161106102325,-6.94634144833887
"10717",0.009,0.009,0.279924469825634,0.794482036750082,0.894161106102325,-6.94635060705547
"18734",0.008,0.008,0.279873131084095,0.794518510618206,0.894177374322942,-6.94636833236733
"35676",0.0085,0.0085,0.279761288912821,0.794597971710461,0.894224573166741,-6.94640693642314
"1721",0.0228333333333333,0.0228333333333333,0.279752114962513,0.794604489712179,0.894224573166741,-6.94641010229791
"26909",-0.00717333333333334,-0.00717333333333333,-0.279712259992786,0.794632806518853,0.89423165881295,-6.94642385485206
"11441",0.015,0.015,0.279564592330305,0.794737727262449,0.894258908610304,-6.9464747934243
"33177",-0.00906666666666667,-0.00906666666666667,-0.279557834479079,0.794742528976022,0.894258908610304,-6.94647712395629
"35504",-0.0108666666666667,-0.0108666666666667,-0.279552816222372,0.794746094647992,0.894258908610304,-6.94647885453179
"10467",0.00728666666666667,0.00728666666666667,0.27955165995034,0.794746916226369,0.894258908610304,-6.94647925327482
"33969",0.0203,0.0203,0.279523215524011,0.794767127253921,0.894258908610304,-6.94648906190194
"26686",0.00908333333333334,0.00908333333333333,0.279384185934404,0.794865916825069,0.894326374305831,-6.94653699037557
