comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
WT_6h_ipsilateral_vs_contralateral,Slc25a46,67453,ENSMUSG00000024259,"solute carrier family 25, member 46",-0.5526752039035419,10.878896511552462,-4.489161830558676,0.0018413877571441,0.026225647244491578,-1.3082127197382265,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Ddit4l,73284,ENSMUSG00000046818,DNA-damage-inducible transcript 4-like,0.9271084599827732,7.6804771542462795,4.487553210704233,0.0018454250456774377,0.026266353285920082,-1.3105036272067387,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Lap3,66988,ENSMUSG00000039682,leucine aminopeptidase 3,0.7921198972070478,9.613819187781335,4.486967828644384,0.0018468965983554377,0.02627051195936614,-1.3113373895235245,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ccdc80,67896,ENSMUSG00000022665,coiled-coil domain containing 80,0.7694806775578877,8.348831976565116,4.485875021270905,0.001849647123610534,0.026292845997718344,-1.3128940135743603,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Arhgap30,226652,ENSMUSG00000048865,Rho GTPase activating protein 30,1.2224797559773801,5.937585590632777,4.4853470839345215,0.0018509774911684256,0.026294976795775943,-1.313646083947173,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Dpp8,74388,ENSMUSG00000032393,dipeptidylpeptidase 8,-0.5031644866648826,11.469777863205639,-4.484790504001166,0.0018523811545721892,0.02629814545449045,-1.3144390009351783,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Mtx3,382793,ENSMUSG00000021704,metaxin 3,-0.570999799756871,9.709269711659232,-4.483314416955623,0.0018561093298704017,0.02633429001456255,-1.3165420880424792,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Cd63-ps,626721,ENSMUSG00000121727,"CD63 antigen, pseudogene",0.7013358136890293,9.974610215021809,4.482475148687287,0.0018582326929133676,0.026339071920033593,-1.3177379952193071,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Gipc2,54120,ENSMUSG00000039131,"GIPC PDZ domain containing family, member 2",2.1415721087809416,3.6349836091132177,4.482246642720866,0.001858811270854896,0.026339071920033593,-1.3180636203403298,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Ptk7,71461,ENSMUSG00000023972,PTK7 protein tyrosine kinase 7,0.6562848522643154,9.057526093652712,4.480901050272765,0.0018622222615029798,0.026370629926877862,-1.3199812680015013,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Mllt10,17354,ENSMUSG00000026743,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10",-0.6224036455594284,8.881219273594697,-4.480218173150777,0.001863955894679863,0.026378410135955495,-1.3209545592623186,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Acbd3,170760,ENSMUSG00000026499,acyl-Coenzyme A binding domain containing 3,0.5594283637772399,9.710318038215243,4.478810998075719,0.0018675338118787632,0.026412263910856795,-1.3229603920958883,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Rbms1,56878,ENSMUSG00000026970,"RNA binding motif, single stranded interacting protein 1",0.6712412916715031,8.898743522552355,4.476430657916523,0.0018736030057061013,0.026481142715426814,-1.3263540618354703,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Tcof1,21453,ENSMUSG00000024613,treacle ribosome biogenesis factor 1,0.7403672139726432,8.531865593664723,4.475969343898381,0.0018747816862953125,0.026481142715426814,-1.3270118562293662,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Myo16,244281,ENSMUSG00000039057,myosin XVI,-0.5816465463895604,11.04896613076588,-4.471825486463399,0.0018854053984585844,0.026599304628925784,-1.332922030839689,Down,TRUE
