gene_symbol,mean_log2FC
Camsap2,1.604767436416655
Caps2,-0.7851258061130757
Capsl,0.5795219456476177
Car12,-0.6988298117517051
Car13,1.7593819309520644
Cartpt,0.9450515947183997
Casc4,0.5802808233000001
Casq1,0.7665293744577819
Castor1,0.5080336218632001
Catip,0.8321859400187089
Catspere1,1.6499089072003243
Catsperg1,0.5936774970087181
Cav1,-0.5084433279754247
Cav2,-0.8297655657129285
Cbfa2t3,-0.5793711583124304
Cbx4,1.7956311820876727
Cbx8,0.10239807802246526
Cby1,0.5798177641138584
Ccdc12,0.7163143189519745
Ccdc124,0.6096097181413789
Ccdc125,-1.0013262929755469
Ccdc14,-3.886184882916132
Ccdc142,0.5101155088605327
Ccdc150,1.3865033326735885
Ccdc152,0.7169657660900266
Ccdc153,1.119624848027506
Ccdc180,11.8474805225285
Ccdc33,0.9771879184368222
Ccdc58,0.5598785031789653
Ccdc71l,-0.5176883885652943
Ccdc73,-0.5366553543325139
Ccdc78,6.805857734473229
Ccdc8,0.5208860712727263
Ccdc9,0.5842984827397586
Ccdc9b,10.739682423412603
Ccl17,1.071355200573569
Ccl21b,1.0361320479917597
Ccl6,0.5261558815596764
Ccn1,10.111139239255186
Ccn2,1.2662196543419812
Ccn3,-0.975886659570462
Ccne2,-0.8986013097238539
Ccng1,-0.5130749993589471
Ccni,-0.5719999396284374
Ccno,0.5099995308090597
Ccs,0.8306450564576902
Cd248,0.5152816821877725
Cd44,-0.5220725617056781
Cd46,-0.5008850993240874
Cd53,9.9184636555725
Cd68,0.6011094209644611
Cd86,-0.5338171964330578
Cd93,-0.554178488900487
Cd99,-1.062673684055474
Cda,-1.9684602184905944
Cdan1,3.912796214940217
Cdc42ep2,0.5569490495915729
Cdc45,10.816238877484446
Cdc73,-0.5620822372705668
Cdh11,-0.5118397751428807
Cdh12,0.5068267831825047
Cdh6,0.9060603228319046
Cdk16,2.684821147972282
Cdk17,1.885674951169933
Cdk5r2,-0.57901820140041
Cdkl5,0.8330408341827116
Cdkn1a,0.9162901239040665
Cdkn1c,3.1699903323591885
Cdpf1,0.6175417814877089
Cdr1os,-0.9198431921944472
Cdr2l,2.507241473506574
Ceacam1,-0.5727465556119595
Cebpd,0.6920637034664955
Celf2,0.52778663565
Cenpn,-10.365983137825127
Cenps,0.6678468393981147
Cenpx,0.6151580203221934
Cep131,0.548571604884128
Cep57l1,4.133442486343693
Cfap47,-0.6471699961440875
Cfap70,-0.6802757299103956
Cfap97d2,0.6213161525116402
Cfap99,0.6344256048486708
Cfl1,0.6569250487847478
Cfl2,-0.5486004094275064
Cggbp1,-0.5666568362751818
Cgnl1,9.974542897126367
Chac1,-0.5607779107077584
Chdh,-0.5012541760677138
Chgb,0.6025533970698542
Chic1,-0.6334619692284863
Chka,2.2051057537931635
Chml,-0.5361115984437853
Chordc1,-0.5338519450604566
Chpt1,-0.5960005559722665
Chrna1os,1.5033432257287325
Chrna3,-2.9865438456443574
Chrna7,0.5161731010877812
Ciart,0.7969926660667989
Cidea,0.6584334092470641
Cirbp,0.8909025217445429
Clca3a1,-0.6379375884662691
Clcn7,-1.5001387117238831
Cldn22,0.5911509036274122
Clec2d,0.8845823910218545
Clk1,0.543560088543927
Clspn,0.911969676462742
Cmas,1.729884312168466
Cmbl,0.6365614633770986
Cmc4,-0.8381062593870219
Cmpk1,-0.6299979486180148
Cmtm4,-2.133778698133094
Cnbd2,2.6029022346034094
Cnih2,0.6764281984741085
Cnksr2,1.8917802679586322
Cnnm4,-5.032378808313751
Coa6,0.507295467969875
Cobl,-0.5313293218236295
Col11a2,0.6238128959290032
Col13a1,1.0201112366935396
Col16a1,0.692908101278508
Col1a1,-0.8752777857818763
Col3a1,-1.6722936112307605
Col5a3,0.7865335456894158
Col7a1,0.5664630805388504
Col9a2,1.1434243246811355
Coprs,0.7250404354191753
Cops9,1.0813662493373921
Coq10b,-0.5363265248688914
Coq7,0.5743548979037895
Cort,0.6779100631131623
Cox14,0.6509671735258478
Cox17,0.8078655338149867
Cox20,0.5967508771054633
Cox4i1,0.5222375022430243
