group,accession,region,treatment,gse,kind,symbol,symbol_key,log2FC,padj,direction
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Fkbp5,FKBP5,0.5640280346698718,4.923129477411949e-12,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Rnpep,RNPEP,0.2946648739233339,5.140667828047668e-12,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Fgfr2,FGFR2,-0.4837855028047255,1.1376499686860014e-11,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Plin4,PLIN4,1.0561328680385345,2.5297630161045084e-11,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Arrdc2,ARRDC2,1.0787258531077486,3.041385462885835e-11,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Cdc42ep1,CDC42EP1,-0.4061309418554152,3.041385462885835e-11,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Hif3a,HIF3A,0.6183911907826265,3.1402620401151426e-11,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Fam53b,FAM53B,-0.338641085708456,3.5493079051586404e-10,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Xdh,XDH,0.9166600272826356,7.665466574516036e-10,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Nfkbia,NFKBIA,0.8870098528262664,9.022975429343856e-10,UP
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Map6d1,MAP6D1,-0.4257921555170811,3.192029861994162e-09,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Trim59,TRIM59,-0.7465433730808878,6.3400775960578805e-09,DOWN
Acc3_brainstem_GLP_1,3,brainstem,GLP_1,GSE244607,gene_name,Sall1,SALL1,-0.4873412004267777,7.572030214107304e-09,DOWN
