gene_symbol,n_groups,predominant_direction,n_up,n_down,mean_log2FC,groups
Myh7b,3,UP,3,0,0.5180069246257694,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Myo5b,3,UP,3,0,0.5178419398394515,Acc11_hippocampus_Ex4;Acc11_hippocampus_Ex4_mTBI;Acc3_hypothalamus_GLP_1_MK_801
Asphd1,3,UP,3,0,0.511075417764136,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Pdcd5,3,UP,3,0,0.5110550567760118,Acc11_hippocampus_Ex4_mTBI;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Llph,3,UP,3,0,0.5107377238051677,Acc11_hippocampus_Ex4_mTBI;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Bex3,3,UP,3,0,0.5078566405857678,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Smim3,3,UP,3,0,0.507347934150656,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc5_nts_IP118_PY115
Ndufa8,3,UP,3,0,0.502309117115877,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Tomm6,3,UP,3,0,0.5015799574007335,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ddrgk1,3,UP,3,0,0.4981577420835306,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ndufa12,3,UP,3,0,0.49606460848225115,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Fis1,3,UP,3,0,0.49159693392727744,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Btbd1,3,DOWN,1,2,0.49146897835644876,Acc6_mbh_COMBO;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Gm32970,3,UP,3,0,0.49120672069408516,Acc8_frontalcortex_ST_A_Ex;Acc8_frontalcortex_ST_A_Ex_KD;Acc8_hippocampus_ST_A_Ex_KD
Ankrd17,3,UP,3,0,0.48795394458937863,Acc11_hippocampus_Ex4;Acc11_hippocampus_Ex4_mTBI;Acc3_brainstem_GLP_1_MK_801
Selenow,3,UP,3,0,0.4878614874093863,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Zfand5,3,DOWN,1,2,0.4840146756056529,Acc3_hypothalamus_GLP_1_MK_801;Acc6_mbh_COMBO;Acc8_hippocampus_ST_A_Ex
Rpl35,3,UP,3,0,0.4833815291962618,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Syn3,3,UP,3,0,0.4830211526284513,Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc3_hypothalamus_conjugate_2
5031425e22rik,3,UP,3,0,0.47899837031678366,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Trim3,3,UP,3,0,0.4789506083104211,Acc6_mbh_COMBO;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ccdc124,3,UP,3,0,0.47845075946332055,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ciart,3,UP,3,0,0.4764768602055996,Acc10_hippocampus_Ex4_Po_t_TBI;Acc10_hippocampus_Ex4_Pre_TBI;Acc8_hippocampus_ST_A_Ex_KD
Hcls1,3,UP,3,0,0.4713959815649121,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Mrpl2,3,UP,3,0,0.47055451258829706,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
1700086o06rik,3,UP,3,0,0.469468797972459,Acc8_frontalcortex_ST_A_Ex;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cox7c,3,UP,2,1,0.46848863290226084,Acc3_brainstem_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Slc12a5,3,UP,3,0,0.46672734315516795,Acc11_hippocampus_Ex4;Acc11_hippocampus_Ex4_mTBI;Acc3_brainstem_GLP_1_MK_801
Rpp21,3,UP,3,0,0.4666427493542533,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ndufa6,3,UP,3,0,0.4647226223470977,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Tmem191c,3,UP,3,0,0.4607565554664153,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Dgki,3,UP,3,0,0.45707630239891445,Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc3_hypothalamus_conjugate_2
Tsr3,3,UP,3,0,0.45508412909078705,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Rpl7a,3,UP,3,0,0.45055423949592716,Acc11_hippocampus_Ex4;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Chgb,3,UP,3,0,0.4475281357805166,Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Sdsl,3,UP,3,0,0.4461187195622685,Acc3_brainstem_GLP_1;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
