gene_symbol,group,log2FC,padj,direction
Zfp938,Acc3_hypothalamus_GLP_1_MK_801,-0.5442570973488534,0.0152928072137952,DOWN
Rpl23a,Acc3_hypothalamus_GLP_1_MK_801,0.5128611313709758,0.0152972719159052,UP
Casq1,Acc3_hypothalamus_GLP_1_MK_801,0.7216878834899225,0.0160558681687619,UP
Zfp52,Acc3_hypothalamus_GLP_1_MK_801,-0.6178940619368087,0.0167270069823961,DOWN
Spata9,Acc3_hypothalamus_GLP_1_MK_801,-0.8038274653034383,0.017895749290676,DOWN
Neto2,Acc3_hypothalamus_GLP_1_MK_801,-0.5130755272817701,0.018347688035297,DOWN
Zfp654,Acc3_hypothalamus_GLP_1_MK_801,-0.5567883214544972,0.0185482760862,DOWN
4930447c04rik,Acc3_hypothalamus_GLP_1_MK_801,-0.9382913788085004,0.0206407669964408,DOWN
Hs3st2,Acc3_hypothalamus_GLP_1_MK_801,0.5867468922200401,0.0211294530736584,UP
Uty,Acc3_hypothalamus_GLP_1_MK_801,-0.5636083131541344,0.0214945659934768,DOWN
Irak3,Acc3_hypothalamus_GLP_1_MK_801,0.6180887569190388,0.0221641155333182,UP
A330076h08rik,Acc3_hypothalamus_GLP_1_MK_801,-0.7560964334461734,0.0224505808397905,DOWN
Ppp1r3g,Acc3_hypothalamus_GLP_1_MK_801,0.6471988460998557,0.0248509698921767,UP
Eif4ebp1,Acc3_hypothalamus_GLP_1_MK_801,0.6485434256757058,0.025481375603968,UP
Npy,Acc3_hypothalamus_GLP_1_MK_801,0.5209448482644886,0.0259781584179572,UP
2300009a05rik,Acc3_hypothalamus_GLP_1_MK_801,-0.6758802619617237,0.0260761882581145,DOWN
Plekhf1,Acc3_hypothalamus_GLP_1_MK_801,0.5060151535610028,0.0261906054480456,UP
St8sia4,Acc3_hypothalamus_GLP_1_MK_801,-0.7641504601329789,0.0266327735018634,DOWN
Epm2aip1,Acc3_hypothalamus_GLP_1_MK_801,-0.5918074174462591,0.0277962476615944,DOWN
Calcrl,Acc3_hypothalamus_GLP_1_MK_801,-0.6118058041070503,0.0278141555035695,DOWN
Fmo2,Acc3_hypothalamus_GLP_1_MK_801,0.5164085975980006,0.0316521142500297,UP
Prrg1,Acc3_hypothalamus_GLP_1_MK_801,-0.9263377349930374,0.0326925726306283,DOWN
Glra3,Acc3_hypothalamus_GLP_1_MK_801,-0.6471137718440998,0.0330907474283027,DOWN
Arrdc2,Acc3_hypothalamus_GLP_1_MK_801,0.5280778064533489,0.0333999929761171,UP
4930522l14rik,Acc3_hypothalamus_GLP_1_MK_801,-0.5927637715996622,0.0335302082053999,DOWN
Zxdb,Acc3_hypothalamus_GLP_1_MK_801,-1.281680502234614,0.0339440166891419,DOWN
Gm26691,Acc3_hypothalamus_GLP_1_MK_801,-0.5430207521477506,0.0350986426781316,DOWN
Tmem47,Acc3_hypothalamus_GLP_1_MK_801,-0.6639345346990806,0.0355181339274867,DOWN
1700102p08rik,Acc3_hypothalamus_GLP_1_MK_801,-0.5505451535244577,0.0402067217697418,DOWN
Tlcd4,Acc3_hypothalamus_GLP_1_MK_801,-0.571798213389204,0.0409051936143584,DOWN
Rab39,Acc3_hypothalamus_GLP_1_MK_801,-0.5275314172305079,0.0416191240851624,DOWN
Atp11c,Acc3_hypothalamus_GLP_1_MK_801,-0.5780515537961738,0.044270920202866,DOWN
Gm5141,Acc3_hypothalamus_GLP_1_MK_801,-0.6696786225832865,0.0469772736450771,DOWN
Fam241a,Acc3_hypothalamus_GLP_1_MK_801,-0.6771606065195482,0.0474801557436809,DOWN
Epha6,Acc3_hypothalamus_conjugate_2,0.612077588029612,3.376326842609526e-06,UP
Dgki,Acc3_hypothalamus_conjugate_2,0.5276800099999963,3.376326842609526e-06,UP
Oprm1,Acc3_hypothalamus_conjugate_2,0.6399517139853567,5.456385087566189e-06,UP
Kcnj6,Acc3_hypothalamus_conjugate_2,0.5061137018812915,2.397940970298361e-05,UP
A330074k22rik,Acc3_hypothalamus_conjugate_2,0.5185995861579387,3.422322740910885e-05,UP
Glra1,Acc3_hypothalamus_conjugate_2,0.8121255211368861,4.244219929864711e-05,UP
Shc3,Acc3_hypothalamus_conjugate_2,0.7993394826280767,0.0001230546466294,UP
Gm44256,Acc3_hypothalamus_conjugate_2,-0.7646892359252258,0.0001877796667284,DOWN
Hspa1a,Acc3_hypothalamus_conjugate_2,-0.982091365383572,0.0002295576691359,DOWN
Gucy1a2,Acc3_hypothalamus_conjugate_2,0.6501500731499619,0.0005884438162149,UP
Hspa1b,Acc3_hypothalamus_conjugate_2,-1.473845250635483,0.0030015455706626,DOWN
Kcna3,Acc3_hypothalamus_conjugate_2,0.5262685660078289,0.0062074710328777,UP
Aff2,Acc3_hypothalamus_conjugate_2,0.5071483218764927,0.0062730882620443,UP
