gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp1r,predominant_direction_glp1r,mean_log2FC_glp1r,direction_concordant
Ddah2,5,UP,-0.3455845377550455,2,UP,0.0423817112096074,True
Ppp3r1,5,DOWN,-0.3524703163875443,2,DOWN,-0.4061278084901559,True
Celf1,5,DOWN,-0.566601228117035,2,DOWN,-0.2134182495,True
Miga1,5,DOWN,-0.5890039537167088,2,DOWN,-0.232555018760492,True
Gnaq,5,DOWN,-0.633297419530081,2,DOWN,-0.258039892525,True
Rnft2,5,DOWN,-0.6547332600630085,2,DOWN,-1.5840591103711024,True
Top2b,5,DOWN,-0.6928031728303713,2,DOWN,-0.2395760917245498,True
Whrn,5,UP,-0.7175200010759936,2,UP,-0.1675723133997749,True
Rfx3,5,DOWN,-0.7341589591627902,2,DOWN,-0.3676722424767961,True
Cbfa2t3,5,DOWN,-0.7379142917259424,2,DOWN,-0.5793711583124304,True
Fbxl16,5,DOWN,-0.8140885278952673,2,DOWN,-0.2823394850023744,True
Kantr,5,DOWN,-0.8438220014842553,2,DOWN,-0.4865773755709259,True
Abhd13,5,DOWN,-0.8522352203261525,2,DOWN,-0.311143513251003,True
Ppp3cb,5,DOWN,-0.9789786600760176,2,DOWN,-0.3568469574864998,True
Egr3,5,DOWN,-1.209492075201164,2,DOWN,-0.4693621337448677,True
Neurod1,5,DOWN,-1.421500836673372,2,DOWN,-0.4009544343692677,True
Adam23,5,DOWN,-1.7057129539176128,2,DOWN,-0.2825778079897692,True
Fam189a1,5,DOWN,-1.755471379696258,2,DOWN,-0.244366584918374,True
Dio2,5,DOWN,-1.7588274243705413,2,DOWN,-0.4614803094425637,True
Opcml,5,DOWN,-1.9396223989352104,2,DOWN,-0.2684625938371594,True
Fam126b,4,DOWN,-0.9369317046724444,7,DOWN,-0.261061696183388,True
Homer1,4,DOWN,-1.4938692684858368,7,DOWN,-0.2666180143701608,True
Ube3a,4,DOWN,-0.614562719296651,6,DOWN,-0.3264348010205303,True
Sobp,4,DOWN,-1.7477229245897563,6,DOWN,-0.2119120327350117,True
Snx5,4,UP,-0.0032856959391518,5,UP,0.0573165512359764,True
Lrrtm2,4,DOWN,-0.5480094450521724,5,DOWN,-0.3665663425336878,True
Lrrc8b,4,DOWN,-0.5496467542910564,5,DOWN,-0.2113349376045936,True
P2ry12,4,DOWN,-2.5650177321631507,5,DOWN,0.0131322797641002,True
Il1r1,4,UP,2.040283914208114,4,UP,0.1899734862103059,True
Nrros,4,UP,0.9761481043750287,4,UP,0.5215856964019265,True
