ID,logFC
Cnot4,0.0622188676499999
Atp5l,0.052829350832298
Clk1,0.0494265389788625
Zhx1,0.04830808205008
Snap91,0.041762495835418
Setd7,0.0401829096209903
Rapgef2,0.0398452698665421
Notch1,0.0346765940213301
Lias,0.0316065034016384
Hivep1,0.0315113577512816
Strn3,0.0301443111944706
Mta3,0.0199821671149894
Insig2,0.0186080256791169
Mtus1,0.0147188725918676
Atg2b,0.0077470176112763
Il1rap,0.0050369926424983
Irs1,0.0046654067060645
Stt3b,0.0005307687566804
Ube2e3,-0.005794710224528
Dnajb9,-0.0076011759136511
Adcy5,-0.0076767807299314
Garem1,-0.0094014651310169
Bet1,-0.0121304803890251
Mcmbp,-0.0238547454963809
Snx12,-0.0287712033632716
Trp53inp1,-0.0300161405005143
Sema6c,-0.0316193668223608
Flrt1,-0.0357576611647739
Nufip2,-0.0368697803708664
Tubb2b,-0.0370766506822742
Cfl2,-0.040536271610253
Tug1,-0.0462249017644779
Ncor2,-0.0511523453857304
Ankrd34a,-0.0624033727871869
Kif26b,-0.0761014420386309
Fam222b,-0.0871441270662832
Inka2,-0.0877751416807565
Dek,-0.1026547641130407
Rbm14,-0.1035071372235234
Ep300,-0.1069378270211256
Vamp3,-0.1095065272253762
Fam168a,-0.1103527147529912
Hspa4l,-0.1106675488804883
2610301b20rik,-0.1135869852719384
Luzp1,-0.1142478326601523
2610008e11rik,-0.118120430467441
Ube2q2,-0.1182045177198737
1810013l24rik,-0.1217559066804975
Nras,-0.124610379651837
Rbm18,-0.1252785253024806
Togaram1,-0.1262261774019145
Asah1,-0.1268194816701993
Sos1,-0.1272521698270753
Ncan,-0.1277563104984565
Megf9,-0.1304618051516689
Plxdc2,-0.1308474641408969
Pnrc2,-0.1321025839815962
Dok6,-0.1322205044104618
Rasa2,-0.1339879681737983
Fam13b,-0.1342166962068564
Hps3,-0.1348272815114261
Pde7a,-0.1349231807649637
Thap2,-0.135609768340347
Trhde,-0.1357148535741462
Npat,-0.1363274068572987
Dnm3,-0.1365244802763942
Map1b,-0.1370937983184138
Rhobtb3,-0.1374308257300367
Cpeb4,-0.1392097765270509
Rb1cc1,-0.1417345102166409
Herpud2,-0.1430189532193017
Ttll7,-0.1431770597796786
Cnep1r1,-0.1437723409735583
Abca5,-0.143862876780615
Sik2,-0.1440923181681968
Morc3,-0.1448316725168798
Scn1a,-0.1450132442370913
Gpcpd1,-0.1452105197694947
Frmd4b,-0.1453928135155137
Pdpk1,-0.1468596272299211
Arhgef26,-0.1482275209586526
Uhmk1,-0.1495374747782695
Marchf6,-0.1497808507484377
Cand1,-0.1504176196382732
Lrrc8c,-0.150451997043633
Gnptab,-0.150544788367785
Amot,-0.1513228628241275
Rims1,-0.1519780212819367
Snx13,-0.1524961361380738
Tab3,-0.1525465781554076
Gm46430,-0.1532167494451192
Smarcad1,-0.1535652536133391
Zfp748,-0.15428158476917
Selenot,-0.1558207751355417
Rock1,-0.1564810623872492
Glcci1,-0.1567418342015497
Fmr1,-0.1569886088595943
Pgm2l1,-0.1571762768785319
Hint3,-0.1581406117511702
Ncam2,-0.1601098245522856
Megf10,-0.160690792745056
Vps54,-0.1610924436663903
Foxn2,-0.1612913583803548
Mfap3l,-0.1618987281279874
Abhd10,-0.1621051982124923
Esco1,-0.1631320929336371
Hccs,-0.1633495433984178
Rock2,-0.1634041574305709
Rnf13,-0.1640325767576293
Tank,-0.1652373538895386
Mib1,-0.1655781375723698
Rc3h1,-0.1681277140352179
Cdh12,-0.1685586549719727
Krit1,-0.1705500615599139
Zfp280d,-0.1720553900202265
Prrx1,-0.173289391362484
Creg2,-0.1737133526711098
Mier3,-0.1741157891418771
Rps6ka5,-0.1753510950293771
Larp4,-0.175582500338858
Fgd4,-0.1756769002386045
Gspt1,-0.1769672565883435
Lin54,-0.1782623846818515
Ltn1,-0.1792702147125066
Sirt1,-0.1811436145372131
Zc3h13,-0.1820634613373941
Slc39a10,-0.1823464767792782
Ahdc1,-0.1837188351091902
Ulk2,-0.1863758925244281
Ptpn4,-0.189383102603538
Etaa1,-0.1908722052062815
Shank1,-0.1920307365015998
Nab1,-0.1923387778858616
Tnpo1,-0.1925031625773546
Zfp943,-0.1925184911981352
Csgalnact2,-0.193405607328294
Zfp873,-0.1934280812017275
Zbtb6,-0.1935838361741206
Itch,-0.1936231013877753
Pcdh9,-0.1944054334345462
Ston2,-0.1945165453409461
Gca,-0.1962508885074658
Nkrf,-0.1963740813409328
Abca1,-0.1983663984598399
Pcdh19,-0.1996573848830367
Rab27b,-0.2019686668597379
Spopl,-0.2023250937170663
Sash1,-0.2029492939668643
Frmpd1,-0.2046258870251079
Inpp4b,-0.2052005398558767
Marf1,-0.2061970103574698
Ythdf3,-0.2069433794162858
Agps,-0.2085324423520201
Ubqln2,-0.2090394766051488
Adgrl4,-0.2103305709088064
Senp8,-0.2104540787545696
Ube2g1,-0.2109484051072845
Zfp326,-0.2112175287391345
Slitrk4,-0.2184089826271133
Tnks2,-0.2214384365506114
Manea,-0.2230802540075116
Tent2,-0.2263897373042076
Ackr1,-0.2277976117683022
Gm20300,-0.2293829854240586
Med14,-0.2304677721565396
Ahsa2,-0.2304825824111738
Gpm6a,-0.2306953458194732
Zfp983,-0.2320435623592609
Klhl28,-0.2321635110198955
Ndufaf4,-0.2331119713780913
Ing3,-0.2336875712050665
Orc4,-0.2337617557507496
Zscan30,-0.2349770374233951
Mybl1,-0.2389419235714944
Gpr34,-0.2415542917743181
Abi1,-0.2423717619426615
Eps15,-0.2430078994725883
2010315b03rik,-0.2440190942696373
Crbn,-0.2462592924964011
Rab10,-0.2483095254831011
Zbtb7a,-0.2483864690496949
Kdm6a,-0.2487167533396418
Bc024063,-0.2489869432820795
Nudt5,-0.2496408721601221
Dpy19l1,-0.2497910711663845
Ptpn12,-0.2504890146696596
Lrif1,-0.2513607754911222
Negr1,-0.2514959481647039
Olfm3,-0.2536187798903827
Rnf138,-0.2542745923502336
