Category,ID,Term,Genes,adj_pval
BP,GO:0038089,Positive Regulation Of Cell Migration By Vascular Endothelial Growth Factor Signaling Pathway,"KDR, VEGFA",0.0004471328562170076
BP,GO:0030155,Regulation Of Cell Adhesion,"ROCK1, ROCK2, ADAM10, VEGFA",0.0004471328562170076
BP,GO:0006468,Protein Phosphorylation,"ROCK1, ROCK2, KDR, MAPK1, ADAM10, FYN",0.0004612487000033108
BP,GO:0001933,Negative Regulation Of Protein Phosphorylation,"OCLN, LRP1, CAV1, ENG",0.0004907547973183415
BP,GO:0031623,Receptor Internalization,"LRP1, TFRC, CAV1",0.0004907547973183415
BP,GO:0042127,Regulation Of Cell Population Proliferation,"TJP1, CLDN5, TFRC, KDR, ADAM10, VEGFA, ENG",0.0005066589439926582
BP,GO:0002040,Sprouting Angiogenesis,"KDR, VEGFA, ENG",0.0005066589439926582
BP,GO:0051128,Regulation Of Cellular Component Organization,"TJP1, TFRC, ROCK1, ROCK2",0.0005162188386025812
BP,GO:0043410,Positive Regulation Of MAPK Cascade,"ROCK1, ROCK2, KDR, ADAM9, VEGFA",0.0005162188386025812
BP,GO:0120192,Tight Junction Assembly,"CLDN5, OCLN, CLDN12",0.0005162188386025812
BP,GO:1901550,Regulation Of Endothelial Cell Development,"ROCK1, ROCK2",0.0005261340906887632
BP,GO:0048762,Mesenchymal Cell Differentiation,"ROCK1, ROCK2, HIF1A",0.0005261340906887632
BP,GO:0043535,Regulation Of Blood Vessel Endothelial Cell Migration,"KDR, HIF1A, VEGFA",0.0005261340906887632
BP,GO:1901653,Cellular Response To Peptide,"LRP1, CAV1, FYN",0.0005799028609088935
BP,GO:0018107,Peptidyl-Threonine Phosphorylation,"ROCK1, ROCK2, MAPK1",0.0006304380853921976
BP,GO:0031953,Negative Regulation Of Protein Autophosphorylation,"CAV1, ENG",0.0006304380853921976
BP,GO:0034105,Positive Regulation Of Tissue Remodeling,"ROCK1, ROCK2",0.0006304380853921976
BP,GO:0032092,Positive Regulation Of Protein Binding,"CLDN5, LRP1, CAV1",0.0006471453088914257
BP,GO:0060055,Angiogenesis Involved In Wound Healing,"KDR, VEGFA",0.0007608767623847898
BP,GO:0090557,Establishment Of Endothelial Intestinal Barrier,"TJP1, F11R",0.0007608767623847898
BP,GO:0001952,Regulation Of Cell-Matrix Adhesion,"ROCK1, ROCK2, FYN",0.0008362041174745774
BP,GO:0018210,Peptidyl-Threonine Modification,"ROCK1, ROCK2, MAPK1",0.0008562412950228567
BP,GO:0000302,Response To Reactive Oxygen Species,"MAPK1, FYN, HIF1A",0.0008562412950228567
