term,db,padj_hibi,padj_glp,n_genes_hibi,n_genes_glp,jaccard_genes,score_hibi,score_glp,frac_up_hibi,frac_up_glp,opposite,combined_sig
Intracellular Signaling By Second Messengers,Reactome,0.0002437938430021,0.0125796614554634,73,98,0.16260162601626016,-0.2788093641052405,-0.02775208032645988,0.3424657534246575,0.46938775510204084,False,5.513308313148796
Signaling By TGFB Family Members,Reactome,0.0028773795969827,0.0012923484749141,31,48,0.11290322580645161,0.16775420987768916,0.31823188041727213,0.4838709677419355,0.375,False,5.42962320557522
Cell Morphogenesis Involved In Neuron Differentiation,GO-BP,9.48851189437212e-05,0.0393332936056149,28,32,0.3076923076923077,-0.9875053552984376,-0.014082787145334466,0.17857142857142858,0.46875,False,5.4280415797196495
Disease,Reactome,0.003993128288054,0.0012423027327589,294,482,0.09983079526226735,0.0065189017970477435,0.12385864139212048,0.4523809523809524,0.5435684647302904,False,5.304459296349773
Dendrite Morphogenesis,GO-BP,0.0001504338567976,0.0370704494302557,18,18,0.36363636363636365,-1.2542638185592028,-0.2791281332321829,0.1111111111111111,0.3333333333333333,False,5.253626558674925
Gap junction,KEGG,0.0008118670786859,0.0257794663397293,29,33,0.21951219512195122,-1.1339666847876793,-0.04490386482795808,0.034482758620689655,0.3939393939393939,False,4.679241146146292
Thyroid hormone signaling pathway,KEGG,0.0018041965920011,0.0149492100317275,40,44,0.14285714285714285,-0.6533044351121807,0.20451125821823313,0.275,0.38636363636363635,True,4.569097898231133
Neurotrophin signaling pathway,KEGG,0.0077025422788126,0.0059244631111792,33,45,0.18867924528301888,-0.5679807411326827,0.1590384450968899,0.24242424242424243,0.5111111111111111,True,4.340716909511945
Spinocerebellar ataxia,KEGG,0.0011685756743632,0.0408961603543133,36,48,0.2033898305084746,-0.9452523724773003,0.050993327420824054,0.1388888888888889,0.4791666666666667,True,4.320660623396515
Cellular Response To Heat Stress,Reactome,0.0111908877638248,0.0045477985355806,26,40,0.2391304347826087,0.6499655009230755,0.10217637121388363,0.6538461538461539,0.4,False,4.293334242396686
RHOB GTPase Cycle,Reactome,0.0064379081177441,0.0125796614554634,29,29,0.19444444444444445,-0.28872720394140106,-0.0659913730228496,0.3448275862068966,0.3103448275862069,False,4.091586272376426
Signaling By NOTCH1,Reactome,0.0044037239101116,0.0186901762761592,26,30,0.15384615384615385,-0.414894949097511,-0.050747023849583316,0.34615384615384615,0.26666666666666666,False,4.084566519342295
Signaling By TGF-beta Receptor Complex,Reactome,0.0255788466530783,0.0062874571099945,22,37,0.08333333333333333,0.18825972204190092,0.29399498888017533,0.5,0.3783783783783784,False,3.793644006172289
Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process,GO-BP,0.0042691787985336,0.0378279041296135,24,34,0.13636363636363635,0.4272225281098265,0.0691576652881242,0.5,0.47058823529411764,False,3.7918433763232873
Developmental Biology,Reactome,0.0108777537618028,0.0148719535793981,192,300,0.1178082191780822,-0.47518322156810594,0.2365173050058588,0.2864583333333333,0.5733333333333334,True,3.7910927552932767
