gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp,predominant_direction_glp,mean_log2FC_glp,concordant,recur
Mxd4,4,DOWN,-1.1500074579181323,5,UP,0.5406631255339737,False,9
Dusp4,3,UP,1.9349735867403663,6,DOWN,-0.2519729761134183,False,9
Trim59,3,UP,-0.4286221608117158,6,DOWN,-0.3747044300342443,False,9
Cav1,3,UP,-0.8319229300948822,6,DOWN,-0.3991277453283162,False,9
Tmem47,2,UP,-1.9597367084949815,7,DOWN,-0.3527687699904739,False,9
Apln,6,UP,2.23246399387869,2,DOWN,-0.563260489002948,False,8
Cd86,6,UP,1.9234872758659496,2,DOWN,-0.5048130897636812,False,8
Mcam,6,UP,0.9907640854731944,2,DOWN,-0.2981442379482157,False,8
Eaf1,6,UP,0.7692057615132134,2,DOWN,-0.3011591167881454,False,8
Elovl5,6,UP,0.6737635320386198,2,DOWN,-0.2197129996027529,False,8
Vegfa,6,UP,0.62261703631614,2,DOWN,-0.2128985320070028,False,8
Rap2b,6,DOWN,0.2594360328412217,2,UP,0.2754783553286518,False,8
Atf6,6,DOWN,0.0342671984609178,2,UP,-0.00080966204533,False,8
Eng,6,UP,0.0337957555366662,2,DOWN,-0.548489459895924,False,8
Uhrf1bp1l,6,DOWN,-0.3508001101169228,2,UP,-0.0079717486859931,False,8
Crim1,6,DOWN,-0.5058530169612883,2,UP,-0.0294464122956465,False,8
Fam107a,6,DOWN,-0.5218323764185663,2,UP,0.4296380269825871,False,8
Rapgef1,6,DOWN,-0.5618502566221051,2,UP,0.0042086683728401,False,8
Ap2b1,6,DOWN,-0.594654875441913,2,UP,-0.0088672226739612,False,8
Clcn4,6,DOWN,-0.6010017661619216,2,UP,0.414599425425,False,8
Neo1,6,DOWN,-0.6078531291016667,2,UP,0.0222066772115036,False,8
Lrrn1,6,DOWN,-0.6804599038771123,2,UP,-0.032031699017197,False,8
Fam131a,6,DOWN,-0.7739140604457532,2,UP,0.3192232432451501,False,8
Wdfy3,6,DOWN,-0.778809571731613,2,UP,0.1159659850050657,False,8
Pacsin1,6,DOWN,-0.8164958036408972,2,UP,-0.1184979238815179,False,8
Large1,6,DOWN,-0.8319538489082529,2,UP,0.0093132271882175,False,8
Ppp1r16b,6,DOWN,-0.8412013672199915,2,UP,0.2307479611113146,False,8
Ssh2,6,DOWN,-0.8910051132517604,2,UP,0.7329360826352694,False,8
Grid1,6,DOWN,-0.9087873855328612,2,UP,-0.0382625396422298,False,8
Thsd7a,6,DOWN,-0.908889837673046,2,UP,-0.0097629220216974,False,8
Adgrl1,6,DOWN,-0.916886721446468,2,UP,-0.1116811221556191,False,8
Slitrk1,6,DOWN,-0.9221399873696228,2,UP,-0.0273473207121483,False,8
Atrn,6,DOWN,-0.9272194656477896,2,UP,0.0117905460216602,False,8
Nbea,6,DOWN,-0.9313011274855318,2,UP,0.0205197891677996,False,8
Tmem132b,6,DOWN,-0.9597296865157242,2,UP,0.000467476785161,False,8
Arfgef3,6,DOWN,-1.021601253165649,2,UP,0.638109863589499,False,8
Agt,6,DOWN,-1.0706297373897975,2,UP,-0.0277482307697688,False,8
Kcnj3,6,DOWN,-1.073247550491727,2,UP,0.0584232989076081,False,8
Mrtfb,6,DOWN,-1.0901972883901925,2,UP,-0.045166214653364,False,8
Dock4,6,DOWN,-1.1313442903722315,2,UP,0.0591203334603765,False,8
Pcdhgc5,6,DOWN,-1.48761006563455,2,UP,0.0667713705797227,False,8
Fbxo41,6,DOWN,-1.4991391550657225,2,UP,-0.0758771378773306,False,8
Galnt17,6,DOWN,-1.5430153862680551,2,UP,-0.0011902358217468,False,8
Slc6a17,6,DOWN,-1.6885099943385835,2,UP,-0.0503826749226193,False,8
Sez6l,6,DOWN,-1.7246385962270037,2,UP,-0.0068976317488212,False,8
Chd5,6,DOWN,-1.7586633031065415,2,UP,-0.0485208774624278,False,8
Shank2,6,DOWN,-1.759045191177002,2,UP,-0.0370595425933866,False,8
Abtb2,5,UP,1.6968448789383133,3,DOWN,-0.0919832826328693,False,8
Sh3pxd2b,5,UP,1.4117358849679955,3,DOWN,-0.3476970545623603,False,8
Tpm4,5,UP,0.9172155807902962,3,DOWN,-0.0476372470076027,False,8
Hspd1,5,UP,0.8934041956521913,3,DOWN,-0.2818580722000003,False,8
Srsf7,5,UP,0.4777812501314382,3,DOWN,-0.1845991111623617,False,8
Itga6,5,UP,0.0416531817429522,3,DOWN,-0.2914071414050737,False,8
Pde3b,5,UP,-0.1580043672135958,3,DOWN,-0.3141151876672837,False,8
Pdzd2,5,DOWN,-0.6405412979169703,3,UP,0.1616993306760205,False,8
Neurl1a,5,DOWN,-0.8096541551215019,3,UP,1.3495447159561225,False,8
Sipa1l1,5,DOWN,-0.8565104532714292,3,UP,0.094445779006852,False,8
Sptb,5,DOWN,-1.059824164782485,3,UP,0.2959059089454499,False,8
Cep170b,5,DOWN,-1.092543056467447,3,UP,0.011673861735869,False,8
Dlg4,5,DOWN,-1.171184959404605,3,UP,0.0257287897559305,False,8
Faxc,5,DOWN,-1.2538547430147775,3,UP,0.1740019291235452,False,8
Dock3,5,DOWN,-1.4256974954007275,3,UP,0.2928890114989229,False,8
Tenm3,5,DOWN,-1.6170225140966543,3,UP,0.4376381113777821,False,8
Dgkg,5,DOWN,-1.652975258087519,3,UP,0.1749764518813811,False,8
Slc12a5,5,DOWN,-1.7020940274814926,3,UP,0.4667273431551679,False,8
Snn,5,DOWN,-1.705309772106283,3,UP,0.2550014133855727,False,8
Chuk,4,UP,0.7764763803711996,4,DOWN,-0.3395622059967075,False,8
Sirt1,4,UP,0.733230121858337,4,DOWN,-0.1811436145372131,False,8
Vamp3,4,UP,0.4525512176926639,4,DOWN,-0.1095065272253762,False,8
Nfatc3,4,UP,-0.0067537780935124,4,DOWN,-0.3266157095800343,False,8
Hcfc1,4,DOWN,-0.5205779825958059,4,UP,0.3107238386900491,False,8
Camsap2,4,DOWN,-0.5888091849685275,4,UP,0.3653515478063787,False,8
Rhou,4,DOWN,-0.6284260184541979,4,UP,0.3657175784093952,False,8
Kif26b,4,DOWN,-0.6307780582281501,4,UP,-0.0761014420386309,False,8
Inka2,4,DOWN,-0.8190679774482654,4,UP,-0.0877751416807565,False,8
Nwd2,4,DOWN,-0.838678296826938,4,UP,8.440975333889975,False,8
Nptx2,4,DOWN,-0.878978726839978,4,UP,0.5483559578609287,False,8
Kcnj6,4,DOWN,-0.9563059048929836,4,UP,0.2322889853815884,False,8
Slc5a3,3,UP,1.0982727773253618,5,DOWN,-0.4652836990931009,False,8
D16ertd472e,3,UP,0.7472760179580744,5,DOWN,-0.1502252764053233,False,8
Rnd3,3,UP,0.6786692864017697,5,DOWN,-0.0399066554704453,False,8
Edem1,3,UP,0.4366504811010102,5,DOWN,-0.1227009185661278,False,8
Rorb,3,UP,-0.7533684466183205,5,DOWN,-0.3536343288356122,False,8
Glul,3,DOWN,-1.4821851663038628,5,UP,0.3600742019952799,False,8
Ctnnd2,3,DOWN,-3.2327987618989744,5,UP,0.1275076149981272,False,8
Eif4g2,2,UP,0.056712774339991,6,DOWN,-0.0617806099733843,False,8
Klf15,2,DOWN,-0.810610128815326,6,UP,0.3696180465096692,False,8
Rap1b,2,DOWN,-0.8359644055360831,6,UP,0.4718863794350271,False,8
Pom121,2,DOWN,-0.8838291009363495,6,UP,0.1256597474684767,False,8
Rps9,2,DOWN,-0.9655154045830208,6,UP,0.3308949533586159,False,8
Creb5,5,UP,3.0483677181708546,2,DOWN,-0.4242962901558127,False,7
Ccr5,5,UP,1.3428565451146188,2,DOWN,-0.3979358343034023,False,7
Gpr4,5,UP,0.9959593622890636,2,DOWN,-0.6602226242674907,False,7
Wnt7a,5,UP,0.8370613586867712,2,DOWN,-0.5861534240155631,False,7
Tex10,5,UP,0.8286440228565063,2,DOWN,-0.3215108544883502,False,7
Spry4,5,UP,0.8199530636605001,2,DOWN,-0.3871509763750737,False,7
Myo10,5,UP,0.7960126465271014,2,DOWN,-0.289128843837693,False,7
Tnc,5,UP,0.6504282705292458,2,DOWN,-21.914105068488237,False,7
Prkd3,5,UP,0.477992741252713,2,DOWN,-0.4130858025008697,False,7
Ago4,5,UP,0.1218689588205246,2,DOWN,-0.2321463425645233,False,7
Cdk2ap2,5,UP,-0.0913161043626854,2,DOWN,-0.2437372645168226,False,7
Aldh1b1,5,DOWN,-0.1222921187244072,2,UP,0.5038386983291644,False,7
Ogdh,5,DOWN,-0.3205408904350755,2,UP,-0.0318471491485438,False,7
Fkrp,5,DOWN,-0.4175980386760661,2,UP,0.052874287601403,False,7
Xylt1,5,DOWN,-0.4938978147316842,2,UP,0.0325605593765102,False,7
Tulp4,5,DOWN,-0.5056947994367622,2,UP,-0.0012254128415056,False,7
Myo9a,5,DOWN,-0.5410851392984835,2,UP,-0.0057543006460264,False,7
Abl2,5,DOWN,-0.561470440316518,2,UP,0.026281695432995,False,7
Calm3,5,DOWN,-0.5787405823519779,2,UP,0.2462950686463986,False,7
Dip2c,5,DOWN,-0.6008210179853357,2,UP,0.0138216921011053,False,7
Mdga2,5,DOWN,-0.6299990484693504,2,UP,0.0090059638892392,False,7
Dmxl2,5,DOWN,-0.6575137877270357,2,UP,0.0375451945392219,False,7
Slc8a2,5,DOWN,-0.6591945012568433,2,UP,-0.0870555202580883,False,7
Kcnc3,5,DOWN,-0.7357805296115828,2,UP,-0.0978997532290031,False,7
Arhgef28,5,DOWN,-0.7383264642871907,2,UP,0.3709076880430829,False,7
Pcdhb19,5,DOWN,-0.7414543925720259,2,UP,0.4261895457130603,False,7
Strn,5,DOWN,-0.7489832301213735,2,UP,0.0111618793247652,False,7
Erbb4,5,DOWN,-0.7764217122412471,2,UP,0.052638476441306,False,7
Atrnl1,5,DOWN,-0.7972601329772449,2,UP,0.0072603351578179,False,7
Chd3,5,DOWN,-0.8291881539730609,2,UP,-0.1079492116257096,False,7
D5ertd579e,5,DOWN,-0.8591192485426102,2,UP,0.2841572719749995,False,7
Hectd4,5,DOWN,-0.8605000501306392,2,UP,0.018525188090953,False,7
Pde10a,5,DOWN,-0.8821344408218892,2,UP,-0.0112100903154709,False,7
Robo2,5,DOWN,-0.903858392738601,2,UP,0.0243626662107031,False,7
Dgkb,5,DOWN,-0.9708966449348484,2,UP,-0.0278145562739226,False,7
Cpm,5,DOWN,-1.0562344323074655,2,UP,0.2691313831393546,False,7
Plcl2,5,DOWN,-1.075820715835357,2,UP,0.2472193100364378,False,7
Nr3c2,5,DOWN,-1.2135425466930865,2,UP,-0.0779321158516724,False,7
Maml3,5,DOWN,-1.2587757259615977,2,UP,-0.1487622780307588,False,7
Jph3,5,DOWN,-1.3603548857290304,2,UP,-0.0119939490499466,False,7
Dlgap2,5,DOWN,-1.399150470084101,2,UP,0.4191752528969436,False,7
Sult4a1,5,DOWN,-1.4240504746620342,2,UP,0.252770000269928,False,7
Phyhip,5,DOWN,-1.4333390637304506,2,UP,0.0008670269215975,False,7
Lonrf2,5,DOWN,-1.4839703201494612,2,UP,-0.0328163905023138,False,7
Prickle2,5,DOWN,-1.535325268512266,2,UP,0.0283700516267254,False,7
Unc80,5,DOWN,-1.5590611517564583,2,UP,0.14095027966892,False,7
Plcb1,5,DOWN,-1.76993700464771,2,UP,-0.0389332290514308,False,7
Pak6,5,DOWN,-2.1164330400959206,2,UP,-0.0200644404056115,False,7
Ppp1r1b,5,DOWN,-2.1211299092170983,2,UP,-0.1386897616596042,False,7
Ifit1,4,UP,2.6892201720466296,3,DOWN,-0.3387970813873418,False,7
Arhgap29,4,UP,1.1669961022744806,3,DOWN,-0.3906227079014737,False,7
Cobll1,4,UP,1.067293011897262,3,DOWN,-0.3372242858730362,False,7
Ackr3,4,UP,1.059002110739338,3,DOWN,-0.3053295343683419,False,7
Etv6,4,UP,1.0079814222254364,3,DOWN,-0.3018092581940665,False,7
Ptbp3,4,UP,0.9766940797565368,3,DOWN,-0.4460615689167042,False,7
Zfp948,4,UP,0.873304477232764,3,DOWN,-0.3191766161311895,False,7
Dipk2a,4,UP,0.6717031398260489,3,DOWN,-0.3510210818345842,False,7
Mynn,4,UP,0.6665415011548478,3,DOWN,-0.0787707644760965,False,7
Stk17b,4,UP,0.4426338022546494,3,DOWN,-0.408374553869642,False,7
Heatr5a,4,UP,0.3333674871504848,3,DOWN,-0.2752571948333384,False,7
Mtor,4,DOWN,-0.1511222284786067,3,UP,0.0810233980225103,False,7
Cav2,4,UP,-0.1535649668070181,3,DOWN,-0.4875022468409685,False,7
Huwe1,4,DOWN,-0.4890815455499471,3,UP,0.5405882174265151,False,7
Cdh8,4,DOWN,-0.5157609308716342,3,UP,0.3256365016183387,False,7
Tmem64,4,UP,-0.627916671444518,3,DOWN,-0.3701030046689452,False,7
Slc4a8,4,DOWN,-0.6440663444835244,3,UP,0.1315655805241338,False,7
Mef2d,4,DOWN,-0.6653147200583018,3,UP,0.7119408279474534,False,7
Sox21,4,UP,-0.6914387854929911,3,DOWN,-0.4324020000157762,False,7
Pcdhga2,4,DOWN,-0.7421412701745447,3,UP,0.1521914201165274,False,7
Neto1,4,DOWN,-0.9555722946223816,3,UP,0.1214080037510386,False,7
Kcnj4,4,DOWN,-1.0179764129222295,3,UP,0.3034910772785095,False,7
Slit1,4,DOWN,-1.528549290818329,3,UP,0.1375552488351273,False,7
Tppp,4,DOWN,-1.6262056172686423,3,UP,0.2297245835225788,False,7
Chgb,4,DOWN,-2.662661916129907,3,UP,0.4475281357805166,False,7
Camkv,4,DOWN,-2.780173410303697,3,UP,0.0836687230668725,False,7
