Category,Term,padj_hibi,padj_glp,nlp_hibi,nlp_glp,combined
KEGG,FoxO signaling pathway,6.209021387310854e-05,0.0350195709916604,4.206976844200548,1.4556891785579928,5.662666022758541
KEGG,Cocaine addiction,4.9178475199573344e-05,0.0459542860926106,4.308224940881509,1.337673976344014,5.645898917225523
BP,Negative Regulation Of Gene Expression,8.527739315568062e-05,0.0344240877541834,4.0691660840610195,1.4631375598168257,5.532303643877845
Reactome,Intracellular Signaling By Second Messengers,0.0002437938430021,0.0125796614554634,3.612977266658482,1.9003310464903143,5.513308313148796
Reactome,Signaling By TGFB Family Members,0.0028773795969827,0.0012923484749141,2.5410028402298956,2.8886203653453246,5.42962320557522
BP,Cell Morphogenesis Involved In Neuron Differentiation,9.48851189437212e-05,0.0393332936056149,4.022801893656851,1.4052396860627983,5.4280415797196495
Reactome,Disease,0.003993128288054,0.0012423027327589,2.398686736913362,2.905772559436411,5.304459296349773
BP,Dendrite Morphogenesis,0.0001504338567976,0.0370704494302557,3.8226544099836053,1.4309721486913194,5.253626558674925
KEGG,Gap junction,0.0008118670786859,0.0257794663397293,3.090515068934442,1.5887260772118497,4.679241146146292
KEGG,Thyroid hormone signaling pathway,0.0018041965920011,0.0149492100317275,2.7437161418664178,1.825381756364716,4.569097898231133
KEGG,Neurotrophin signaling pathway,0.0077025422788126,0.0059244631111792,2.113365909186988,2.2273510003249575,4.340716909511945
KEGG,Spinocerebellar ataxia,0.0011685756743632,0.0408961603543133,2.9323431584157804,1.3883174649807348,4.320660623396515
Reactome,Cellular Response To Heat Stress,0.0111908877638248,0.0045477985355806,1.9511354598847668,2.342198782511919,4.293334242396686
Reactome,RHOB GTPase Cycle,0.0064379081177441,0.0125796614554634,2.1912552258861115,1.9003310464903143,4.091586272376426
Reactome,Signaling By NOTCH1,0.0044037239101116,0.0186901762761592,2.3561799167833106,1.7283866025589842,4.084566519342295
Reactome,Signaling By TGF-beta Receptor Complex,0.0255788466530783,0.0062874571099945,1.5921190416984996,2.2015249644737893,3.793644006172289
BP,Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process,0.0042691787985336,0.0378279041296135,2.369655656020502,1.422187720302785,3.7918433763232873
Reactome,Developmental Biology,0.0108777537618028,0.0148719535793981,1.9634607764732894,1.8276319788199875,3.7910927552932767
MF,Ubiquitin Protein Ligase Binding,0.040669334533082,0.0049246888785623,1.3907329338401841,2.3076212012255803,3.6983541350657645
BP,Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process,0.0098512313265089,0.0378279041296135,2.0065094827118757,1.422187720302785,3.4286972030146607
KEGG,Longevity regulating pathway,0.008644821467994,0.0454029808871983,2.0632439713045376,1.34291563303798,3.4061596043425175
Reactome,MAPK1/MAPK3 Signaling,0.0100163972441754,0.044799970967317,1.9992884599391305,1.348722267446903,3.3480107273860336
BP,Regulation Of mRNA Stability,0.0216599835584551,0.0251825797157099,1.6643418773725145,1.598899782611365,3.2632416599838794
Reactome,EPH-Ephrin Signaling,0.0255788466530783,0.0214257847349118,1.5921190416984996,1.669063262762956,3.261182304461456
BP,Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process,0.0379578589994463,0.014906024373602,1.4206982917913455,1.8266381729680923,3.247336464759438
KEGG,mTOR signaling pathway,0.0230316216488674,0.0285073123563298,1.6376754824282875,1.5450437256521745,3.182719208080462
Reactome,Clathrin-mediated Endocytosis,0.0186641826337352,0.0357725749411827,1.7289910245124531,1.4464497978298276,3.1754408223422805
Reactome,HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand,0.0156354052471735,0.046247808245514,1.8058908579880164,1.3349088443181123,3.1407997023061287
Reactome,MAP Kinase Activation,0.0419802213687137,0.0209218566187214,1.3769552756402943,1.6793997785290462,3.0563550541693405
Reactome,Vesicle-mediated Transport,0.047015396352102,0.0209761787233167,1.3277598983238197,1.6782736253193435,3.006033523643163
Reactome,CLEC7A (Dectin-1) Signaling,0.046579969517298,0.0259257819900246,1.3318008000107329,1.5862681352733203,2.918068935284053
BP,Regulation Of Synapse Organization,0.0452660820836912,0.0476364539258058,1.3442270933790046,1.3220605750182717,2.6662876683972763
