group,accession,region,treatment,gse,kind,symbol,symbol_key,log2FC,padj,direction
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Plcb1,PLCB1,-1.2044324933445836,0.0282598270460216,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Fkrp,FKRP,-1.0595133159970356,0.0282598270460216,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Cdkn1a,CDKN1A,0.8276067539539937,0.0282598270460216,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ddr2,DDR2,1.4478484406365295,0.0283053286392103,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ago1,AGO1,-1.0029733165698325,0.0283053286392103,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ch25h,CH25H,2.4945168273952336,0.0284220551614075,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Procr,PROCR,2.0939407874481413,0.0284220551614075,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Ctsl,CTSL,1.2251409362156558,0.0284220551614075,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Tmem170b,TMEM170B,-0.9197231826353534,0.0284220551614075,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Epcam,EPCAM,2.634861737636834,0.0284476603513562,UP
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Scn2b,SCN2B,-1.539980145203902,0.028549945215614,DOWN
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,Prss23,PRSS23,1.3024012001658134,0.0285560940895407,UP
