arm,term,db,padj
HIBI,T Cell Migration,GO-BP,0.0003155555524407
HIBI,Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress,GO-BP,0.0003155555524407
HIBI,Locomotor Rhythm,GO-BP,0.0003220110178091
HIBI,Actin Binding,GO-MF,0.0003363776351066
HIBI,Chaperone Cofactor-Dependent Protein Refolding,GO-BP,0.0003370483224126
HIBI,Ventricular Septum Morphogenesis,GO-BP,0.0003370483224126
HIBI,Positive Regulation Of Tumor Necrosis Factor Production,GO-BP,0.0003370483224126
HIBI,VEGF signaling pathway,KEGG,0.0003379717690833
HIBI,Myeloid Leukocyte Differentiation,GO-BP,0.0003412467263604
HIBI,Plasma Membrane Bounded Cell Projection Organization,GO-BP,0.0003412467263604
HIBI,Blood Vessel Endothelial Cell Migration,GO-BP,0.0003461393168319
HIBI,Positive Regulation Of Cellular Component Biogenesis,GO-BP,0.0003461393168319
HIBI,Inhibitory Synapse Assembly,GO-BP,0.0003494909867461
HIBI,PI3K-Akt signaling pathway,KEGG,0.0003495540279654
HIBI,Negative Regulation Of MAP Kinase Activity,GO-BP,0.0003559572155975
HIBI,Apoptotic Process,GO-BP,0.0003831911427425
HIBI,Positive Regulation Of mRNA Catabolic Process,GO-BP,0.0003859971871416
HIBI,Second-Messenger-Mediated Signaling,GO-BP,0.0003995577819547
HIBI,GABA-gated Chloride Ion Channel Activity,GO-MF,0.0004032965184499
HIBI,Positive Regulation Of Hydrolase Activity,GO-BP,0.0004200742600566
HIBI,Human immunodeficiency virus 1 infection,KEGG,0.0004230939700687
HIBI,Positive Regulation Of Cell Projection Organization,GO-BP,0.0004324042183885
HIBI,Negative Regulation Of Programmed Cell Death,GO-BP,0.0004324042183885
HIBI,Sprouting Angiogenesis,GO-BP,0.0004363716036966
HIBI,Cytokine Activity,GO-MF,0.0004413083229933
HIBI,Establishment Of Endothelial Barrier,GO-BP,0.0004506759129606
HIBI,Extra-nuclear Estrogen Signaling,Reactome,0.0004544152741258
HIBI,GABA Receptor Activation,Reactome,0.0004544152741258
HIBI,VEGFR2 Mediated Cell Proliferation,Reactome,0.0004544152741258
HIBI,Voltage-Gated Monoatomic Cation Channel Activity,GO-MF,0.0004558165316333
HIBI,Pertussis,KEGG,0.0004862947277052
HIBI,Brain Development,GO-BP,0.000491465533873
HIBI,Axon Extension,GO-BP,0.0004966028062884
HIBI,Synaptic Vesicle Endocytosis,GO-BP,0.0005049619354742
HIBI,Positive Regulation Of Myeloid Leukocyte Differentiation,GO-BP,0.0005049619354742
HIBI,Viral protein interaction with cytokine and cytokine receptor,KEGG,0.0005056693119643
HIBI,Blood Vessel Morphogenesis,GO-BP,0.0005348692730178
HIBI,Calcium Ion Binding,GO-MF,0.0005553836903003
HIBI,Positive Regulation Of Developmental Process,GO-BP,0.0005769416972204
