gene_symbol,n_groups,predominant_direction,n_up,n_down,mean_log2FC,groups
Ctla2a,9,UP,9,0,2.618176083132692,HIBI144455_forebrain_HI_vs_naive_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Klf4,9,UP,8,1,2.546161584884059,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d
Slc15a3,9,UP,9,0,2.5009599158671514,HIBI144455_forebrain_HI_vs_naive_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Fosb,9,UP,8,1,2.4093470680389477,HIBI144455_forebrain_HI_vs_naive_3h;HIBI144456_forebrain_P5_HI_vs_control_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Gadd45b,9,UP,9,0,2.3693014375979216,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Rgs16,9,UP,9,0,2.1616559860408735,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Fas,9,UP,8,1,2.1299687186797605,HIBI23317_cortex_HI_vs_Sham_3h;HIBI23319_striatum_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Junb,9,UP,9,0,1.8695812760196528,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Ppp1r15a,9,UP,9,0,1.6775519128209138,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Litaf,9,UP,9,0,1.560448623259624,HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
